Country,Year,Rank,Total discretized,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Colombia,2015,58th,elevated warning,108.5,7.3,7.6,8,3.8,7.5,6.7,7.1,6,7.3,6.9,7.8,6.5,1.9,5.5,0.7,7.4,8.6,2
Madagascar,2015,59th,elevated warning,108.5,7.1,7.6,4.6,7.6,8.5,6.1,7.2,9.1,6.1,8.5,3.9,7.3,4.2,9,1.9,4.3,3.4,2.1
Algeria,2015,60th,elevated warning,108.4,8,7.7,8.2,6.4,6,5.1,7.8,5.8,7.1,5.7,6.4,5.4,2.8,5.2,1.4,7.2,8.9,3.2
Nicaragua,2015,61st,elevated warning,108.3,5.6,6.8,6.5,6.2,7.9,8.1,7.3,7.2,5.3,6.2,4.6,7.3,2.2,6.8,2.6,7.5,6.1,4.1
Swaziland,2015,62nd,elevated warning,107.7,6,6.8,3.7,9.3,8.1,6.9,8.5,7.5,8.5,8.5,4.9,7.6,3.1,7.2,2.1,2.4,6,0.6
Honduras,2015,63rd,elevated warning,107.7,6.7,6.6,6.4,6.3,7.7,6.9,6.7,6.7,6.3,6.8,3.7,7.4,2.5,6.3,2.9,6.8,8.4,2.6
Bolivia,2015,64th,elevated warning,107.6,6.6,8,6.5,5.4,8.6,6.4,7,6.9,5.9,6.7,3.8,6.2,2.9,6.5,1.5,5.5,7.9,5.3
Venezuela,2015,65th,elevated warning,107.5,6.5,8.1,7.3,6.5,6.7,5.2,8.6,7.2,8.3,5.1,4.8,4.3,2.3,6.8,1.8,7.6,8.6,1.7
Turkmenistan,2015,66th,elevated warning,107.4,6.8,7.8,7.1,5,6.9,5.1,9.7,6.1,8.8,5.7,3.9,4.6,2.9,5.6,3.5,5.5,9.8,2.6
Tanzania,2015,67th,elevated warning,106.8,5.5,5.7,5.7,6.7,7,7,6,8.7,6,8.8,6.4,7.3,5.1,8.5,0.9,4.2,3.7,3.6
Lebanon,2015,68th,elevated warning,106.2,8.8,9.3,8.6,5.9,5.7,5.4,7.8,5.4,7.2,5.7,9.1,9.2,1.7,4.8,3,8.4,0,0.3
Equatorial Guinea,2015,69th,elevated warning,105.7,7,8.2,6.3,5.2,9,6,9.8,7.1,9.7,7.7,3.3,5.5,4.8,6.7,1.9,2,3.1,2.4
Bhutan,2015,70th,elevated warning,105.5,5,7.5,7.9,5.7,6.9,6.8,5,6.6,6.5,6,6.9,7.9,2.1,6.1,2.7,5.1,9.8,0.9
Thailand,2015,71st,elevated warning,105.4,8.9,10,8.5,4,5.8,4.1,8,4.9,7.7,6.9,6,4.3,1.5,4.2,2.6,7.7,9.7,0.6
Papua New Guinea,2015,72nd,elevated warning,105.4,6.9,7.1,6.3,6.2,9,7.1,6.9,8.7,6.6,7.3,4.6,6.7,3.7,8.5,2,4.5,2.9,0.3
Georgia,2015,73rd,elevated warning,105.3,7.3,9.1,7.8,5.8,5.9,5.4,8.8,4.8,5.8,3.9,7.4,7.3,2,4.1,2.8,7.2,8.7,1.1
Lesotho,2015,74th,elevated warning,105.3,5.6,7.3,4.4,8.3,7.3,7.4,6.4,8,4.8,7.7,4.9,7.8,3.1,7.7,4.2,1.1,6.6,2.5
Ecuador,2015,75th,warning,104.8,6.7,8.2,7.8,5.3,6.8,6.2,7,6.3,5.1,5.7,5.2,5.6,2.5,5.8,0.7,7.7,8,4.2
Jordan,2015,76th,warning,104.8,5.5,6.9,7.7,6.3,5.9,3.6,6.1,4.7,7.6,7,8.8,6.8,3.4,4,2.7,6.8,9.7,1.2
India,2015,77th,warning,104.4,7.9,7.3,8.3,5.6,7.5,5.5,5.2,7.5,5.9,8,5.4,5.3,2.4,7.2,0.6,5.1,8.5,1.2
Belarus,2015,78th,warning,104.2,6.6,8.3,6.8,6.1,5.2,3.4,8.6,4.7,8.4,5.6,4.1,7.8,1.7,4,2.6,7.7,9.9,2.7
Bosnia and Herzegovina,2015,79th,warning,104.1,6.2,8.7,7.1,5.8,5.6,5.5,7,4.1,5.8,6.1,7.3,8.2,1.3,3.3,2.4,7.8,9.8,2.1
Maldives,2015,80th,warning,103.8,6.1,7.8,4.6,6.4,4.1,5.6,8.5,6.1,7.5,5.8,4.7,7,2.1,5.6,3.9,7.5,10,0.6
Russia,2015,81st,warning,103.7,9.1,8.1,9.3,4.4,6.4,4.5,7.9,4.7,8.9,5.1,5.7,5.9,1.8,4,0.6,7,9,1.4
China,2015,82nd,warning,103.5,5.9,7.2,8.3,3.4,7.4,4.6,8,6.2,9.2,7.4,5.6,3.2,1.6,5.7,0.4,7.3,9.6,2.4
Benin,2015,83rd,warning,103.5,6.2,6.1,3.9,6.6,7.5,6.8,6.2,8.6,5.6,8.2,6,7.1,5,8.4,1.6,2.9,6,0.7
Mexico,2015,84th,warning,103.2,8,5.1,6.4,4.6,6.6,5.8,5.9,6.8,6.5,6.2,4.4,5.5,2.2,6.4,1.5,7.8,9.4,4.2
Tunisia,2015,85th,warning,103.2,7.8,8.1,7.8,6.6,5.4,5.5,7,4.9,7,4.7,4.1,6.9,2.2,4.2,2.3,7.3,8.3,3.1
Vietnam,2015,86th,warning,102.9,5.1,6.9,6.5,5.8,5.5,5.6,8.1,5.2,7.8,6.1,4.7,5.1,2,4.5,4.3,8.2,9.1,2.4
Fiji,2015,87th,warning,102.3,6.7,7.9,7,6.7,6.8,7.6,7.4,4.5,6.9,4.7,3.4,7.2,2.5,3.8,2.6,6.1,8.9,1.6
Serbia,2015,88th,warning,102.1,6,8,8.1,6.7,5.3,5.3,5.7,4.7,4.9,5.5,7,6.6,1.5,4,2.5,7.4,9.5,3.4
Cape Verde,2015,89th,warning,102,5.7,5.5,4,6.2,7.5,8.6,5.7,6.5,4.5,7.1,4.1,8.1,2.4,6,4.2,6.4,7.4,2.1
Ukraine,2015,90th,warning,101.3,7.9,8,7,6.5,4.7,5.5,8.5,3.8,6.4,4.5,4.4,9.1,1.5,3,2.4,6.9,10,1.2
Uzbekistan,2015,91st,warning,101.2,7.6,8.8,7.6,6.8,7,6.3,9.6,5.4,9.1,6.1,6,5.1,2.5,4.8,0.6,6.3,0,1.6
Azerbaijan,2015,92nd,warning,100.8,6.7,7.9,6.4,4.1,5.9,4.3,8.6,5.4,8.4,5.1,7.6,6.9,2,4.8,1.3,6.5,7.2,1.7
Turkey,2015,93rd,warning,100.8,7.7,7.3,9,5,6.2,3.7,6.3,4.9,6.4,5.5,7.5,5,2.1,4.2,0.9,7.6,10,1.5
Micronesia,2015,94th,warning,100.5,5.1,5.6,4,8.1,8.4,9,6,5.7,3.1,7.1,3.2,8.3,3.2,5.1,4.8,5.2,8.6,0
El Salvador,2015,95th,warning,100.3,6.5,4.3,6.3,5.9,6.6,6.9,4.8,6.7,6.1,6.9,5.1,5.3,2.1,6.3,1.7,7.3,8.3,3.2
Paraguay,2015,96th,warning,99.7,6.5,7.8,5.9,5.1,8.4,5.2,7.1,6.7,6.1,5.9,2.2,4.4,2.5,6.3,1.7,6.6,9.8,1.5
Moldova,2015,97th,warning,99.4,6.6,7.8,6.5,6.3,5.3,6.4,6.3,5.4,5.4,5.3,4.4,7.3,1.2,4.8,3.5,6.8,7.9,2.2
Morocco,2015,98th,warning,99.1,5.7,6.6,7.1,5.3,6.3,7.6,6.5,5.7,7,5.5,5.3,6,2.5,5.1,1.7,7,6.4,1.7
Namibia,2015,99th,warning,98.9,4.9,3.5,5.9,7.1,8.1,6.5,3.8,7.3,4.3,7,5.5,6.9,3.5,6.9,3.2,4.2,6.3,4.1
Dominican Republic,2015,100th,warning,98.9,5.2,6.2,5.8,5.3,6.3,7.6,6,6.8,5.5,6.8,3.8,5.9,2.5,6.4,1,7.1,8.6,2.1
Indonesia,2015,101st,warning,98.7,6.2,7,7.3,5.2,6.3,6.3,5.6,6,6.8,7.1,5.9,5.3,2.4,5.5,0.6,5.5,8.1,1.7
Guyana,2015,102nd,warning,98.6,5.8,5.1,6.5,6.2,6.2,9.1,5.9,6.1,3.9,5.6,3.6,6.5,2.5,5.6,2.9,4.8,9.3,3
Peru,2015,103rd,warning,98.4,7.1,6.7,7.5,3.7,7.3,6.7,7.1,7.1,4.6,5.3,4.8,4,2.4,6.7,0.7,7.3,7.2,2.2
Sao Tome and Principe,2015,104th,warning,98.1,5.5,6.3,4.5,8.4,6.5,7.9,6.1,5.8,3.8,6.7,4.3,7.9,4.5,5.2,0.7,4.7,7.4,1.8
Ghana,2015,105th,warning,97,4.1,4.9,4.6,6.3,7.1,7.6,5,7.9,5.2,7.1,5.5,6.6,4,7.6,2.5,3.3,6.6,1.1
Suriname,2015,106th,warning,96.3,5.4,5.8,5.8,6.8,6.6,7.3,5.5,5.8,4.9,5.3,3,6.2,2.4,5.2,2.5,6.4,8.8,2.6
Samoa,2015,107th,warning,96.2,5.2,5.1,4.5,6.5,5.4,8.9,6.2,5,4.5,6.2,2.1,8.6,4,4.3,2.1,7.4,9.5,0.6
Cuba,2015,108th,warning,95.7,5.7,7,4.5,4.5,5.9,5.7,7,4.7,7.3,5.6,4.5,5,1.7,4,0.2,8.5,9,4.9
Armenia,2015,109th,warning,94.6,5.3,7,5.4,6,5,6,7,4.1,6.5,3.6,7,6.8,1.6,3.3,1.7,7.3,9.9,1.1
Gabon,2015,110th,warning,94.2,5,7.1,3.7,4.8,6.9,5.5,7.4,6.8,6.9,7.1,5,5.1,3.9,6.4,1,4.4,5.9,1.4
Kazakhstan,2015,111th,warning,93.7,5.7,7.6,7,6.5,4.7,3.6,8,4.5,7.5,5,3.5,4.7,2.7,3.8,0.8,7.1,8.4,2.6
Macedonia,2015,112th,warning,93.1,5.4,7,7,5.7,5.6,5.5,5.5,4.4,3.9,3.3,5.3,5.9,1.5,3.6,3,7.3,9.8,3.3
Cyprus,2015,113th,warning,92.4,4.4,7.9,7,6.7,6.4,4.5,5.3,3,3.3,4,4.5,9.2,1.4,2,2.8,8.7,10,1.3
Belize,2015,114th,warning,92.2,5.8,4.3,4.1,5.9,6.2,6.5,5.7,5.8,4.1,5.9,4.1,6.9,2.5,5.2,3.1,6,9.6,0.3
Malaysia,2015,115th,warning,92,6.8,6.5,6.2,3.6,5.3,4.5,6.9,4.7,7.2,5.8,4.2,4.2,2.1,4,2.9,7.3,8.9,1
Jamaica,2015,116th,warning,91.4,6.3,3.7,3.9,7.1,5.9,7.8,5.3,5.8,4.9,5.2,3,5.7,2,5.2,1.9,7.5,8.8,1.3
South Africa,2015,117th,warning,90.9,5.3,5.6,5.5,6.3,7.4,4.9,5.3,6.4,4.3,7,5.9,3.1,2.5,5.9,1.2,3.9,6.3,4.2
Albania,2015,118th,stable,88.4,4.7,6.2,5,5.2,4.2,7.1,6.2,4.5,5.5,4.1,3.1,6.1,1.7,3.8,1.9,8.1,9,2.1
Saudi Arabia,2015,119th,stable,87.5,6.4,8,7.4,4.4,5.8,3.7,7.8,3.7,9.2,5.8,4.6,4.8,2.6,2.8,1.6,6.9,0,2
Brazil,2015,120th,stable,87.3,5.9,4.9,5.9,3.9,7.7,4.1,5.1,5.9,5.8,7.6,3.1,2.7,1.7,5.3,0.2,7.7,8.7,1
Botswana,2015,121st,stable,85,3.5,3.3,5.4,6.3,7.7,5.1,3.8,6,4.4,7.5,5.2,4.6,2.8,5.5,2.4,4.8,5.8,1
Brunei Darussalam,2015,122nd,stable,84.8,5.6,7.4,5.9,2.8,7.8,4.6,8,2.2,7.7,4.2,2.7,4.1,1.9,1.1,1.2,7.6,9.9,0
Panama,2015,123rd,stable,83.3,5.1,2.5,5.6,3.4,7.3,4,4,5.5,4.8,5.7,3.5,3.2,2.5,4.9,2.5,8.3,8.7,1.8
Bulgaria,2015,124th,stable,82.6,4.1,5.3,5.2,6.2,4.9,4.6,5,4.2,3.4,4.2,3.5,4.8,1.5,3.4,2.9,7.4,9.9,2
Montenegro,2015,125th,stable,80.8,4,6.3,7.3,4.6,2.9,3.6,4,3.6,4.2,3.3,4.5,5.9,1.7,2.7,2.8,7.8,9.9,1.7
Grenada,2015,126th,stable,80.3,5.6,5.6,3.8,5.9,5.3,8.4,5.9,3.7,3.7,5.2,3.2,7.1,2.1,2.8,1.8,6.8,0,3.3
Romania,2015,127th,stable,80,3.5,5.2,6.8,5.2,4.7,4.5,5.6,4.3,3.9,3.7,2.7,4.1,1.5,3.5,1.7,7.6,10,1.4
Mongolia,2015,128th,stable,80,4,5.5,4.3,4.3,6.4,3.1,4.5,5.7,4.8,5.5,2.4,6.5,2.8,5.1,1.9,6.1,5.6,1.5
Greece,2015,129th,stable,79.3,4.5,3.7,5,6.5,4.2,3.8,6.5,3.9,3.4,3.6,1.6,5.9,1.3,3.1,1.2,9.2,10,2
Bahrain,2015,130th,stable,79.1,6.7,7.1,7.7,3.2,5.1,3.5,8.4,2.3,7.8,4.6,2.6,5.3,2.1,1.3,3.4,7.4,0,0.8
Seychelles,2015,131st,stable,78.8,6.6,5.7,4.5,4.6,6,5.5,5.7,3.2,4.6,5.1,3.1,7.5,2.3,2.3,0.3,7.5,0,4.4
Trinidad and Tobago,2015,132nd,stable,76,5.7,5.6,4.1,4.3,5.5,7.5,5,4.8,4.6,5,3,3.6,1.8,4.1,2.1,6.3,0,3.1
Croatia,2015,133rd,stable,76,4,4.4,5.7,5.3,3.8,4.5,3.4,2.9,4.1,3.6,4.9,4.4,1.5,1.9,2,8.1,10,1.5
Hungary,2015,134th,stable,75.8,2.4,5.3,4.7,5.9,4.3,3.3,6.6,3.3,4.5,2.3,2.5,4,1.4,2.4,3.9,7.9,10,1
Oman,2015,135th,stable,75.7,4.7,6.6,3,4.5,4.2,1.9,6.6,3.8,7.5,5,2,2.2,2.7,3,2.3,7.8,7.8,0.1
Costa Rica,2015,136th,stable,75.3,3.1,3.8,4.7,4.3,5.5,3.5,2.9,4.5,2.1,4.1,3.9,4.3,1.8,3.8,1.2,8.6,10,3.3
Latvia,2015,137th,more stable,74.9,3.5,4.3,7.4,4,4.6,4.4,3.9,3.4,3,3.4,2.9,3.8,1.6,2.5,2.7,7.8,9.8,1.8
United Arab Emirates,2015,138th,more stable,74.3,3.1,3.6,3.9,2.9,4.2,2.5,6.6,2.7,7.1,4.5,2.2,2.9,1.8,1.7,4.7,7.6,10,2.3
Antigua and Barbuda,2015,139th,more stable,73.8,5.2,3.7,3.9,5,5,7.3,5.9,3.9,4.5,4.6,3,5.8,2.1,3.1,2.1,7.6,0,1.1
Estonia,2015,140th,more stable,72.3,3.1,5.5,6.5,3.6,3.7,3.5,3.2,3.4,2,3.3,2.9,3.1,1.5,2.5,3.6,8.6,9.9,2.4
Argentina,2015,141st,more stable,71.5,3.6,2.8,5,4.9,5.4,3,4.7,4.3,4.1,3.8,2,4,2.3,3.5,0.1,8,10,0
Lithuania,2015,142nd,more stable,71.2,3,3,4.3,5,5,4.2,3.2,4,2.4,3.3,2.6,3,1.6,3.2,3.6,8.2,9.3,2.3
Malta,2015,143rd,more stable,71,3.4,2,3.9,4.2,2.9,4,3.9,2.3,3.3,2.8,4.6,3.6,1.4,1.3,6.9,9.2,10,1.3
Mauritius,2015,144th,more stable,70.7,2.8,3.2,3.8,4.7,4.3,4.2,3.5,3.8,3.4,4.1,2.2,5.2,1.4,3,2.7,7.4,10,1.2
Slovak Republic,2015,145th,more stable,70.2,2.3,3.7,5.9,5.1,4,4.2,3.7,2.9,2.7,2.8,2,3.3,1.4,1.9,4.4,8.2,9.7,1.9
Kuwait,2015,146th,more stable,69.9,3.9,7.5,4.7,3,4.7,3.1,7.3,2.5,7.3,5.1,4,4.4,2,1.5,1.9,6.8,0,0.2
Italy,2015,147th,more stable,69.5,4.4,4.9,4.9,5.6,3.4,2,4.2,2.3,2.5,3.1,3.7,2.2,1.4,1.3,0.9,9.7,10,3.1
Spain,2015,148th,more stable,68.9,3.3,6.1,5.8,5,4,2.4,3.3,2.7,1.9,2.5,1.7,2.2,1.3,1.7,1.1,9.8,10,4.1
Chile,2015,149th,more stable,68.2,3.1,1.7,4.1,3.6,5.1,3.2,3,4.5,3.4,5.1,2.1,2.6,1.8,3.8,1.1,8.5,10,1.6
Bahamas,2015,150th,more stable,67.9,4,4.5,4.1,4.7,5,5,4.3,4.4,3,6.1,2.8,3.7,1.8,3.6,2,7.6,0,1.3
Poland,2015,151st,more stable,65.8,2.3,3.8,4.4,4.1,3.5,4.4,3.2,2.8,2.5,3.3,2.8,2.7,1.3,1.8,2,8.6,9.6,2.7
Czech Republic,2015,152nd,more stable,65.5,2.6,4.3,3.8,4.8,3.2,2.8,4.2,3.1,2.1,1.9,2,2.6,1.5,2.2,3.6,8.8,10,2
Barbados,2015,153rd,more stable,63.9,4.3,4.2,4.1,5.7,5.1,5.4,3,2.7,2.9,3.8,2.7,5.4,1.8,1.7,2,7.4,0,1.7
Uruguay,2015,154th,more stable,60.9,3.7,2.7,3,3.2,4.2,4.4,1.4,3.4,2.2,3.5,1.9,2.9,2,2.5,0.7,8.2,9.4,1.6
