Country,Year,Rank,Total discretized,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
South Sudan,2015,1st,alert,141,10,10,10,9,8.8,6.9,10,10,10,9.8,10,10,4.9,10,2.6,1.5,4.8,2.7
Syria,2015,2nd,alert,139.1,10,9.9,10,7.5,7,7.4,9.9,8.2,10,8.1,10,9.9,3,8,2.6,7.1,9.4,1.2
Somalia,2015,3rd,alert,137.4,9.7,10,9.5,9.1,9,9.2,9.3,9.3,10,9.6,9.8,9.5,6.4,9.2,2.8,1.6,2,1.4
Sudan,2015,4th,alert,136.3,9.5,9.8,9.7,8.6,7.9,8.8,9.6,8.8,9.6,8.7,10,9.8,4.6,8.6,0,3.9,5.2,3.1
Afghanistan,2015,5th,alert,135.7,10,9.3,8.9,8.6,7.2,8.1,9.7,9.3,8.6,9.3,9.1,9.8,4.8,9.2,2.1,3.6,5.3,2.8
Iraq,2015,6th,high warning,133.9,10,9.6,10,6.9,7.8,8.1,9.2,7.5,8.9,8.2,8.9,9.4,4.4,7.2,1.7,5.7,7.8,2.7
Congo Democratic Republic,2015,7th,high warning,132.6,9.5,9.5,9.5,7.9,8.8,7.1,9,9.7,10,9.5,9.4,9.8,6.2,9.7,1.6,2.5,2.1,0.9
Central African Republic,2015,8th,high warning,132.5,9.8,10,9.6,8.3,9.7,6.9,9.5,9.9,10,8.4,10,9.8,4.9,9.9,1.3,0.3,4.1,0
Guinea,2015,9th,high warning,131.8,8.9,9.6,8.7,9.2,7.6,7.2,9.9,9.8,8.2,9,8.7,8.1,4.9,9.8,2.2,2.3,5.5,2.2
Yemen,2015,10th,high warning,131.2,10,9.4,9.4,9.3,8.1,7.5,9.3,8.2,9.1,9.2,9.1,9.5,4.1,8,0.7,4.1,6.3,0
Chad,2015,11th,high warning,130.8,8.8,9.5,8.2,7.8,9.1,8.6,9.3,9.7,9.4,9.7,10,8.3,6.1,9.7,1.5,0.5,3.2,1.5
Pakistan,2015,12th,high warning,129.6,9.6,9.2,10,7.7,7.3,7,8.6,7.9,8.4,9,8.9,9.3,3.6,7.6,0.4,4.4,8.7,2.1
Liberia,2015,13th,high warning,127.1,6.9,8.3,6.2,8.6,8.3,6.6,7.3,9.7,6.7,9.5,9.2,10,4.7,9.7,5.3,3.1,6,1.1
Haiti,2015,14th,high warning,126.8,7.5,9.1,6.7,9.1,9.3,9.3,9.4,9.1,7.4,9.5,8.2,9.9,3,9,2.2,3.8,4,0.4
Zimbabwe,2015,15th,high warning,125.1,7.9,9.7,7.8,8,8.1,8,9,8.5,8.3,8.7,8.4,7.6,3.8,8.3,1.5,2.9,5.4,3.2
North Korea,2015,16th,high warning,124.5,8.6,8.5,6.3,9,8,4.2,10,8.9,9.7,7.5,4.3,8.8,2,8.8,2.7,6.2,9.4,1.7
Burundi,2015,17th,high warning,123.8,7.7,7.9,8,8.5,7.7,6.8,8.4,8.3,8.2,9.2,9,8.4,5.8,8.1,1.1,2,5.2,3.6
Guinea Bissau,2015,18th,high warning,123.7,8.8,9.6,5.7,8.7,8.4,8.5,9,9.2,7.2,8.2,7.8,8.8,4.7,9.1,1.3,1.9,5.4,1.4
Timor-Leste,2015,19th,high warning,123.6,7.7,8.3,6.5,8.4,6.7,7,7.4,8.4,5.8,8.9,6.8,8.7,5.6,8.2,4,5.3,6,3.9
Nigeria,2015,20th,high warning,123.5,9.9,9.8,9.9,7.6,8.8,7.1,9.1,9.1,8.8,8.8,7.5,6,5.6,9,0,0.5,5.4,0.6
Niger,2015,21st,high warning,123.3,8.7,8.9,7.5,8.2,8.4,6.9,7.5,9.3,6.8,9.6,7.9,8.1,7.3,9.2,1.6,2.5,3.6,1.3
Ethiopia,2015,22nd,high warning,122.5,8.4,8.6,8.5,6.9,7.1,7,7.4,8.6,8.5,9.2,9.4,7.9,4.3,8.4,1.1,4.3,3,3.9
Mauritania,2015,23rd,high warning,122.4,7.4,8.8,6.9,8,7.1,6.3,7.9,8.9,8,8.6,8.5,8.5,4.7,8.8,3.4,3.6,4.5,2.5
Cote d Ivoire,2015,24th,high warning,122.2,8.3,9.1,8.7,7.1,7.9,6.7,8.5,9,7.9,8.1,9,9.7,5,8.9,1.3,0.7,5.4,0.9
Kenya,2015,25th,high warning,121.8,8.4,8.9,9,7.5,8.3,7.5,8.1,7.9,6.5,9,8.3,8,3.9,7.6,0.9,4.9,5,2
Uganda,2015,26th,high warning,121.2,7.6,8.9,8.7,7,7.3,7.3,8,8.3,7.9,8.9,8.8,8.3,5.7,8.1,1,2.8,3.2,3.5
Bangladesh,2015,27th,high warning,120.5,7.7,9.6,8.4,6.7,7.2,7.5,8.5,8.1,7.7,8.1,6.6,5.7,2.1,7.8,0.8,6.3,9.7,2
Eritrea,2015,28th,elevated warning,118.6,7.7,8.1,6.1,8.3,7.2,7.6,9.1,8.7,9.3,8.8,7.8,8.2,4.2,8.5,1.9,4.2,0.6,2.2
Rwanda,2015,29th,elevated warning,118.5,6.2,8,8.8,6.3,8.2,7.5,6.5,7.3,7.7,8,7.9,7.8,4,6.9,1.4,4.8,4.9,6.4
Nepal,2015,30th,elevated warning,118.3,7,8.3,9.1,6.8,7.5,7,7.1,7.1,7.7,7.9,7.6,7.4,2.2,6.7,1.7,5.6,8.7,3
Myanmar,2015,31st,elevated warning,118.3,8.3,8.3,9.7,6.5,8.2,5.7,9,8.6,8.3,6.8,8.3,7,2.2,8.4,0.9,4.8,6,1.3
Cameroon,2015,32nd,elevated warning,118.1,7.6,9.1,8.1,6.2,7.8,7.5,8.4,8.8,8,8,7.8,7,4.8,8.6,1.1,1.9,4.3,3.1
Mali,2015,33rd,elevated warning,118.1,8.7,4.9,7.6,8.2,7.4,8.4,6,9,6.7,9.1,7.8,9.3,6.1,8.9,1.1,1.8,6.3,0.9
Congo Republic,2015,34th,elevated warning,117.5,6.7,6.7,6.6,6.4,8.2,6.8,8.7,9.1,7.9,7.8,8.3,7.6,4.7,9,4.7,3.9,3.7,0.7
Libya,2015,35th,elevated warning,116.4,9.3,9.1,7.8,8,6.1,6.4,9.8,7.5,9,5.4,7.4,9.5,2.3,7.2,3.5,6.5,0,1.6
Sri Lanka,2015,36th,elevated warning,115.8,7.9,9.1,9.3,5.9,7.6,7.8,8,5.6,8.8,6,8.2,6.4,2.1,5,1,7.5,9.1,0.5
Cambodia,2015,37th,elevated warning,115.2,6.7,8.2,7.4,6.4,7.1,7.5,8.4,7.7,8.3,7,5.8,7.4,2.6,7.4,3.1,5.3,7,2
Egypt,2015,38th,elevated warning,114.6,8.2,9,8.7,8.1,6.5,4.7,8.7,5.4,9.8,7.1,6.7,7.1,3.3,4.8,0.6,6.2,9.8,0
Philippines,2015,39th,elevated warning,114.5,9.1,8,8.3,6,6.2,6.2,7.5,7.2,5.9,8.2,7.4,6.3,3,6.8,1.3,5.9,8.6,2.7
Mozambique,2015,40th,elevated warning,113.9,7,6.9,5.9,7.8,8.6,7.4,7.2,9,6.1,8.7,5,7.3,5.3,8.9,3.4,2.2,3.2,4
Sierra Leone,2015,41st,elevated warning,113.6,4.8,7.7,6.2,8.7,8.8,8.4,6.9,9.3,5.6,9.5,8.2,7.8,4.6,9.2,2,0,4.7,1.2
Angola,2015,42nd,elevated warning,113.5,6,7.2,7.3,5.6,9.6,6,8.3,8.9,7.3,8.7,7.6,5.6,5.8,8.8,1.4,3.5,2.3,3.7
Senegal,2015,43rd,elevated warning,112.8,6.2,6.6,6.3,7.3,7.3,7.4,5.5,7.9,6.2,8,7.8,6.5,4.8,7.6,2,4.8,6.3,4.3
Burkina Faso,2015,44th,elevated warning,112.6,7.4,7.8,5,7.1,8.1,6.9,8.1,8.9,6.2,9.1,7.1,7.5,5.4,8.8,1.6,2.4,4.3,0.9
Malawi,2015,45th,elevated warning,112.2,4.8,7.7,5.4,8.6,8.4,8.1,6.9,7.8,6.2,8.8,6.1,8.1,4.6,7.5,1.4,3.8,6.3,1.7
Togo,2015,46th,elevated warning,111.7,7,7.6,4.5,6.8,8.1,7.3,8.1,8.6,7.2,8,7.1,6.5,4.5,8.4,3.1,2.5,4.5,1.8
Djibouti,2015,47th,elevated warning,111.7,6.9,7.3,6.6,7.4,7.8,5.8,7.6,7.8,7.2,8.2,7.1,8.4,2.9,7.5,2.9,3.4,5.5,1.3
Solomon Islands,2015,48th,elevated warning,111,6.4,8.2,6.5,7.6,8.9,6.3,7.3,7.6,5.7,8.5,4.9,8,3.9,7.3,2.4,5.7,5.6,0.2
Laos,2015,49th,elevated warning,110.8,6,8.3,6.3,5.5,6.9,7.4,9,7.7,8.1,7.1,5.6,6.6,2.8,7.4,1.8,4.5,7.3,2.5
Kyrgyz Republic,2015,50th,elevated warning,110.5,6.8,8,8.4,7,6.4,6.4,7.8,5.6,7.2,5.9,5.8,6.9,3.2,5,3.5,6.5,8.2,1.9
Gambia,2015,51st,elevated warning,110.1,6,6.8,3.7,7.8,7.2,7.7,7.8,7.7,8.6,8.2,6.4,7.5,5.5,7.4,1.2,2.9,6.8,0.9
Iran,2015,52nd,elevated warning,110,8,9.4,8.5,6.9,6.1,6.2,8.9,5,9.3,5.4,6.5,7,1.7,4.3,0.5,7.1,8.9,0.3
Israel and West Bank,2015,53rd,elevated warning,110,7,8.1,9.7,3.9,6.9,3.8,6.3,5.3,7.4,6,7.4,7.6,3.1,4.7,0.9,9.2,10,2.7
Comoros,2015,54th,elevated warning,109.4,7.2,7.5,5,8,7,7.8,6.8,8,6.1,7.6,4.5,7.8,4.4,7.7,1.9,3.8,8,0.3
Tajikistan,2015,55th,elevated warning,108.9,6.8,8.4,7.3,7.4,5.6,6.3,9.1,5.9,7.6,7.8,4.8,6.4,3.4,5.3,1.7,6.3,6.8,1.9
Guatemala,2015,56th,elevated warning,108.8,7,6,7.9,6,8,6.7,6.6,7.4,6.6,7.3,5.5,5.4,3,7,1.1,6.9,8.9,1.4
Zambia,2015,57th,elevated warning,108.6,5,5.7,5.7,7.7,8.6,7.8,7.4,7.6,6.8,9.4,6.9,6.6,5,7.3,2,3.4,4.4,1.3
