Country,Year,Rank,Total discretized,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Myanmar,2014,34th,elevated warning,117.2,8,8.6,9.3,7,8.1,5.3,9.3,8.3,8,7.3,8.2,6.9,2.3,8.6,0.7,4.8,5.9,0.6
Cameroon,2014,35th,elevated warning,117,7.7,9.5,7.8,5.9,7.5,7.5,8.2,8.5,8.3,8.1,7.6,6.5,4.8,8.5,1.2,1.9,4.3,3.1
Malawi,2014,36th,elevated warning,116.1,5.1,7.7,5.7,8.3,8.1,8.4,7.6,8.1,6.5,8.8,6.4,8.4,4.7,9,1.8,3.6,6.2,1.7
Iran,2014,37th,elevated warning,115.7,8.3,9.4,8.8,6.4,6.4,5.9,8.7,4.8,9.3,5.3,6.8,7.1,1.7,10,0.5,7.1,8.9,0.3
Nigeria,2014,38th,elevated warning,115.5,9.5,9.5,9.8,7.3,8.9,7,8.8,9,8.7,8.3,6.9,6,5.7,3.7,0.1,0.5,5.2,0.7
Congo Republic,2014,39th,elevated warning,115.1,6.4,6.7,6.3,6.7,8.1,6.5,8.4,8.8,7.6,8.1,8.1,7.9,4.8,8.9,3.7,3.9,3.6,0.7
Israel and West Bank,2014,40th,elevated warning,114.8,6.8,8.1,9.7,4,7.2,3.5,6.6,5.6,7.1,6.3,7.1,7.5,3.1,9.5,1.2,9.2,10,2.3
Tajikistan,2014,41st,elevated warning,114.7,7.1,8.4,7,7.7,5.9,6.1,9,6.2,7.9,7.5,5.1,6.7,3.4,9.7,2.1,6.3,6.8,1.7
Senegal,2014,43rd,elevated warning,113.9,6.5,6.6,6.6,7,7,7.1,6,7.9,6.5,8.1,7.3,6.2,4.9,8.7,2.2,4.7,6.2,4.3
Burkina Faso,2014,44th,elevated warning,113.9,6.9,7.3,5.3,7.4,8.1,6.6,7.8,8.8,6.5,9,7.6,7.7,5.5,9,1.8,2.4,4.3,1.9
Georgia,2014,42nd,elevated warning,113.9,7.6,9.5,8,6.3,6.2,5.5,8.7,5.1,6.1,4.9,7.2,7.6,2,9,3.1,7.3,8.7,1.2
Solomon Islands,2014,45th,elevated warning,113.8,6.7,8,6.8,7.5,8.6,6,7,7.9,6,8.2,5.2,8.5,4,8.6,3.2,5.7,5.8,0.2
Comoros,2014,46th,elevated warning,113.2,7.5,7.5,5.3,8.3,6.7,7.5,7.1,8.2,6.9,7.3,4.8,8,4.5,8.5,3,3.8,8,0.3
Mali,2014,47th,elevated warning,112.9,8,4.9,7.5,7.9,7.1,8.1,5.9,8.6,6.8,9,7.5,8.5,6.2,6.7,1.3,1.7,6.1,1
Togo,2014,48th,elevated warning,112.8,7.1,7.6,4.8,7.1,7.8,7.1,8.4,8.3,7.5,7.9,7.4,6.8,4.6,8.5,3.2,2.5,4.4,1.8
Philippines,2014,49th,elevated warning,112.7,8.8,8,8.3,5.7,6.3,5.9,7.3,6.9,6.4,7.8,7.7,6.2,3,5.9,1.3,5.9,8.5,2.7
Colombia,2014,50th,elevated warning,112.4,7,7.7,7.7,4.1,7.8,7,7.4,6.3,7.1,6.2,8,6.8,1.9,8.9,0.6,7.4,8.5,2
Libya,2014,51st,elevated warning,112.4,9.2,8.1,7.5,6.1,6.4,5.5,8.5,7.4,8.7,5.7,5.7,9,2.3,9.4,4.7,6.6,0,1.6
Laos,2014,52nd,elevated warning,112.2,6.3,8.3,6,5.8,6.6,7.1,8.6,7.4,8,7.4,5.9,6.9,2.8,8.6,2.4,4.5,7.1,2.5
Bolivia,2014,53rd,elevated warning,112.1,6.4,8,6.8,5.9,8.6,6.1,6.9,7,6,6.6,4.3,6.3,3,9.9,1.9,5.5,7.7,5.3
Bhutan,2014,54th,elevated warning,111.7,5.3,7.5,7.6,6,7.2,7.1,5.5,6.6,7,6.3,7.2,7.6,2.1,10,2.9,5.1,9.8,0.9
Algeria,2014,55th,elevated warning,111.6,7.5,7.3,7.9,6.1,5.9,5,7.5,6.1,7.4,5.7,6.7,5.7,2.9,9.5,1.3,7.2,8.8,3.2
Jordan,2014,56th,elevated warning,111.5,5.5,6.9,7.4,6.6,6.2,3.9,6.4,5,7.3,6.7,8.3,6.5,3.5,9.9,3.6,6.9,9.7,1.2
Nicaragua,2014,57th,elevated warning,111.4,5.3,6.8,6.2,6.5,7.6,7.8,7.6,6.9,5.1,5.9,5.1,7.6,2.3,9.9,3.1,7.5,6.1,4.2
Honduras,2014,58th,elevated warning,111.3,6.4,7,6.1,6.6,7.8,6.3,7,6.7,6,6.7,4.2,7.1,2.6,9.7,3.4,6.9,8.3,2.6
Fiji,2014,59th,elevated warning,111.2,7,7.9,7.3,7,7.1,7.3,7.8,4.8,7.2,5,3.7,6.9,2.6,10,3.3,6.1,8.9,1.4
Tunisia,2014,60th,elevated warning,111,7.3,8.1,7.8,6.3,5.7,5.3,8,5.2,8.1,4.7,4.4,6.6,2.2,9.9,2.8,7.3,8.2,3.1
Sierra Leone,2014,61st,elevated warning,110.8,5.1,7.7,5.9,8.3,8.5,8.3,7.2,9.1,5.9,8.7,7.8,7.4,4.7,8,2.6,0,4.5,1.2
Gambia,2014,62nd,elevated warning,110.6,5.2,6.8,3.7,7.5,7.1,7.4,7.5,7.8,8.3,7.9,6.7,7.2,5.5,9.6,1.7,3,6.8,0.9
Maldives,2014,63rd,elevated warning,110.5,5.8,8.3,4.9,6.7,4.2,5.9,8.4,6.4,7.4,5.7,5,6.7,2.2,10,4.8,7.5,10,0.6
China,2014,64th,elevated warning,110.3,6.2,7.2,8.6,3.9,7.7,4.8,7.9,6.5,9.1,7.7,5.9,3.5,1.6,10,0.6,7.4,9.4,2.3
Angola,2014,66th,elevated warning,110.3,5.8,7.2,7.1,5.4,9.5,6,8,9.1,7,9,7.5,5.8,5.8,5.6,1.9,3.5,2.4,3.7
Swaziland,2014,65th,elevated warning,110.3,5.7,7,3.6,8.9,7.8,6.6,8.8,7.7,8,8.7,5.2,7.8,3.2,9.9,2.6,2.3,5.9,0.6
