Country,Year,Rank,Total discretized,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Malta,2014,137th,stable,82.9,3.7,2,4,3.9,3.2,4.3,3.8,2.6,3.6,3.1,4.9,3.9,1.4,10,7.8,9.3,10,1.4
Antigua and Barbuda,2014,138th,stable,82.7,4.9,3.7,4.1,4.5,5.3,7.6,5.8,4.1,4.7,4.9,3.3,6.1,2.1,10,2.9,7.6,0,1.1
Costa Rica,2014,139th,stable,82.6,2.8,3.8,4.4,4.6,5.8,3.2,3.2,4.8,2.3,4.6,4.4,4.6,1.8,9,1.5,8.6,9.9,3.3
Latvia,2014,140th,stable,81.4,3.3,4.3,5.8,4.3,4.6,4.1,4.2,3.7,3.3,3.7,3.2,3.5,1.6,9.1,3.1,7.9,9.8,1.8
Slovak Republic,2014,141st,stable,81,2.6,3.7,5.6,5.4,4.3,4.5,4,3.2,3,3.1,2.3,3.6,1.4,9.7,4.8,8.2,9.7,1.9
Argentina,2014,142nd,stable,80.9,3.3,2.8,5.3,4.3,5.7,2.7,4.3,4.1,4.4,4.2,2.3,3.9,2.3,9.4,0.2,8.1,10,3.7
Estonia,2014,143rd,stable,80.6,2.8,5.5,6.2,3.8,4,3.8,3.5,3.3,2.5,3.6,3.2,3,1.5,9.2,4.2,8.6,9.9,1.9
Mauritius,2014,144th,stable,79.7,3.1,3.2,3.5,4.4,4.6,3.9,3.8,4.1,3.7,4.4,2.5,4.9,1.4,9.7,3.2,7.4,10,1.9
Spain,2014,145th,stable,79.2,3.6,6.1,6.1,5.3,3.8,2.7,3.4,3,2.2,3,2,1.9,1.3,9.7,1.2,9.8,10,4
Kuwait,2014,146th,stable,78.8,4.2,8,4.9,3.3,5,3.4,7.3,2.8,6.9,5.4,3.7,4.1,2,9.5,1.3,6.8,0,0.2
Lithuania,2014,147th,stable,78.1,2.7,3,4,4.8,5.3,4,3.5,3.7,2.7,3.6,2.9,3,1.6,9.2,4.2,8.1,9.3,2.4
Italy,2014,148th,stable,78,4.7,4.9,4.6,5.1,3.3,2.3,4.2,2.6,2.8,3.6,3.4,1.9,1.4,9.5,0.9,9.7,10,3.1
Bahamas,2014,149th,stable,77.5,4.3,4.5,4.4,4.7,5.3,5.3,4.6,4.7,3.1,6.5,2.7,4,1.8,9.6,3.1,7.6,0,1.3
Poland,2014,150th,stable,76,2.6,3.8,4.1,4,3.8,4.7,3.5,3.1,2.8,3.6,3.1,3,1.3,9.9,2.2,8.5,9.6,2.4
Czech Republic,2014,151st,stable,75.3,2.3,4.3,3.8,4.8,3.5,3.1,4.2,3.4,2.4,2.4,2.3,2.9,1.5,9.7,4,8.6,10,2
Chile,2014,152nd,more stable,74.7,2.8,1.7,3.8,3.9,5.4,2.9,3.3,4.2,3.7,4.6,2.6,3.1,1.8,9.5,1.3,8.5,10,1.6
Barbados,2014,153rd,more stable,74.1,4.2,4.2,4.4,5.8,5.4,5.9,3.3,3,2.8,4.1,3,5.3,1.8,9.4,2.3,7.5,0,1.7
Belgium,2014,154th,more stable,71.2,2.3,3.9,4.2,4,3.5,1.9,2,2.4,1.5,2.8,1.6,1.9,1.7,10,4.4,9.2,10,3.9
France,2014,155th,more stable,70.3,2.6,1.9,6.4,4.5,4,2.2,2.1,1.8,2.2,3,2.5,1.6,2,9.9,1.2,9.8,10,2.6
Slovenia,2014,156th,more stable,70,2.4,1.6,3.6,3.9,4.2,2.9,2.9,2.3,2.3,2.4,1.6,2.5,1.6,9.5,3.6,9.2,9.9,3.6
Uruguay,2014,157th,more stable,69.3,3.4,2.7,2.7,3.5,4.5,4.4,1.6,3.7,2.2,3.8,2.2,3.2,2,9.5,0.9,8.2,9.2,1.6
Qatar,2014,158th,more stable,68.8,2.8,5,4.9,2.9,5.1,3.4,6.2,2.3,5.9,4.6,2.1,3.7,2,8.7,1.2,7.9,0,0
Singapore,2014,159th,more stable,68.5,2,4,2.8,2.8,4,3.6,3.5,2.1,4.9,2.8,1.4,2,1.3,9.6,9.8,9.4,0,2.5
Luxembourg,2014,160th,more stable,68.4,2.3,3.4,2.8,1.8,1.8,2.4,1.6,1.6,1.3,2,1.7,1.9,1.5,10,10,9.5,10,2.8
Portugal,2014,161st,more stable,68.4,1.9,1.8,2.3,5.2,3.2,2.5,2.3,3.3,2.6,3.1,1.9,3,1.2,9.9,1.8,9.3,10,3.1
United Kingdom,2014,162nd,more stable,68,2.8,3.5,5.3,4,3.4,2.1,1.7,2.4,2.1,2.8,2.7,1.5,1.8,9.5,1.2,9,10,2.3
United States,2014,163rd,more stable,67.1,2.7,4,4.5,3.1,4.5,1.2,2.4,2.5,3.5,3.3,2.4,1.3,1.9,9.5,0.3,8.4,9.7,1.9
Netherlands,2014,164th,more stable,66.6,2.1,2.6,4.1,3.7,2.4,2.4,1,1.8,1.2,3.3,2.4,1.6,1.7,9.6,3.8,9.1,10,3.9
Germany,2014,165th,more stable,66.1,2.4,2,4.3,2.9,3.6,2.4,1.5,1.9,1.8,2.9,3.3,1.6,1.5,9.5,1.7,9.1,10,3.7
Austria,2014,166th,more stable,64.6,1.4,2.7,4.6,2.2,3.7,1.8,1.6,1.8,2,2.7,2.3,1.7,1.5,9.9,2.4,9.2,10,3.2
Ireland,2014,167th,more stable,63.5,2.1,1.3,1.6,4.2,2.7,3.1,1.8,2.2,1.2,2.5,1.4,2,1.9,9.6,5.3,9.1,9.9,1.6
Iceland,2014,168th,more stable,62.2,1.3,1.8,1,3.9,1.9,3.1,1.2,1.9,1.4,1.9,1.6,4.9,1.9,8.9,2.2,9.3,10,4
Australia,2014,169th,very stable,59.8,2,1.6,3.9,2.4,3,0.9,1,2.1,2.3,3.4,2.4,1.3,1.8,9.1,0.6,9.3,10,2.6
Switzerland,2014,170th,very stable,59.7,1.7,1,3.5,2.2,2.4,2.4,0.9,1.7,1.7,2.4,1.8,1.6,1.5,9.6,2.6,9.6,10,3.1
South Korea,2014,171st,very stable,59.1,2.4,3.6,3.1,2.3,3.2,3.6,2.8,2.1,2.9,2.9,1.8,5.7,2.6,5.7,1.2,2.9,6,4.3
Denmark,2014,172nd,very stable,58.9,1.8,1.4,3.4,2.2,1.8,2,0.8,1.7,1.6,2.8,1.4,1.9,1.7,9.4,2.3,8.9,10,3.9
Sweden,2014,173rd,very stable,58.7,2.4,1.8,1,2,1.8,1.8,0.8,1.8,1.3,2.8,2.6,1.3,1.9,9.9,1.8,9.3,10,4.5
Japan,2014,174th,very stable,58.7,1.9,2.6,4.1,3.6,2.1,2.3,2,2.4,3.3,4.7,3.4,3.9,1.4,9.6,0.5,10,0,0.8
Norway,2014,175th,very stable,58.4,2.8,1.1,3.7,2,1.7,1.9,0.5,1.7,1.6,2.3,2.2,1.5,1.8,9.2,1.2,9.3,10,4
New Zealand,2014,176th,very stable,58.2,1.4,1.1,3.8,3.9,3.1,2.2,0.5,2.1,1.1,2.4,1.2,1.3,1.9,9.2,1,9,10,3
Finland,2014,177th,very stable,55.5,1.3,1.1,1.3,3.5,1.3,2.2,0.8,1.4,1.2,1.8,1.5,1.3,1.7,9.9,1.7,9.2,10,4.3
Canada,2014,178th,very stable,51,2.1,2.5,3.4,2.1,3.2,2.2,1.2,2.3,2.1,2.7,2.3,1.3,1.6,9,1.3,9.2,0,2.5
