Country,Year,Rank,Total,Total discretised,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
United Arab Emirates,2012,134th,85.2,Stable,3.2,3.6,4.3,3.9,5.1,2.7,6.4,3.1,5.9,4.1,2.8,3.8,1.8,9.6,4.9,7.2,9.8,3.1
Antigua and Barbuda,2012,135th,84.6,Stable,4.9,3.7,4.1,4.8,5.6,7.9,5.8,4.3,4.8,4.9,2.7,5.5,2.1,9.9,3.3,7.2,1.3,1.9
Slovak Republic,2012,136th,84.5,Stable,2.6,3.7,5.3,5.1,4.9,4.8,4.2,3.8,3.3,3.5,2,4.2,1.3,10,5,7.6,9.8,3.3
Barbados,2012,137th,83.7,Stable,4.2,4.2,4.4,5.3,6,6.5,3.6,3,2.8,4.1,2.6,5.3,1.8,8.4,2.9,7,9.9,1.8
Panama,2012,138th,83.7,Stable,5.4,2.5,4.9,4.3,7.5,4.8,4.6,5.1,4.4,5.8,3.6,3.3,2.6,8.1,4.6,7.7,3,1.5
Oman,2012,139th,83.6,Stable,5.6,6.6,2.7,4.3,3.3,1.5,6.2,4.7,7.2,5.1,1.8,2.7,2.9,9.9,2.6,7.3,9.1,0.2
Costa Rica,2012,140th,82.9,Stable,2.8,3.5,4.4,4.6,6.4,3.8,3.2,4.5,2.7,4.6,4,5.2,1.9,8.9,2,8,5.5,6.9
Estonia,2012,141st,82.8,Stable,3.2,5.5,5.7,3.8,4.6,4.2,3.8,3,2.7,3.8,3.6,3.6,1.6,9.3,4.8,8,7.9,3.7
Argentina,2012,142nd,82.8,Stable,3,3,4.7,4.1,6.3,3.3,4.3,3.8,3.8,4.4,2.3,3.5,2.3,8.9,0.8,7.6,10,6.6
Latvia,2012,143rd,82.3,Stable,3.6,4.3,5.2,5.3,5.4,4.5,4.8,3.7,3.5,3.9,3.6,4.1,1.4,8.9,3.8,7.3,4.8,4.1
Spain,2012,144th,80.9,Stable,4.4,5.6,5.7,5,4.4,2.3,2.6,2.9,2.5,3.1,2.6,1.7,1.3,9.7,1.7,9,10,6.4
Lithuania,2012,145th,80.3,Stable,2.8,2.8,4,5,5.4,4.4,3.5,3.1,2.9,3.8,2.9,3.5,1.6,9.2,4.6,7.5,8.9,4.4
Mauritius,2012,146th,78.7,Stable,3.6,3.2,3.5,4.2,5.1,3.3,4.4,3.9,3.8,3.6,1.9,4.3,1.5,9.9,3.8,7,8.4,3.3
Greece,2012,147th,78.5,Stable,4,2.5,4.8,5.9,4.6,4.7,5.4,4.2,3.3,3.8,2.3,4.8,1.3,10,1.9,8.5,2.8,3.7
Poland,2012,148th,78.1,Stable,2.8,3.6,3.8,4,4.4,5.3,3.7,3.1,3.2,3.8,3,3.6,1.3,10,2.6,7.9,7.7,4.2
Hungary,2012,149th,77,Stable,2.6,4.7,3.8,5.9,5.2,4.2,5.8,3.4,3.2,2.8,2.8,4,1.3,10,4.6,7.3,3.8,1.6
Italy,2012,150th,76.4,Stable,4.9,4.8,5,4.6,3.8,2.9,5,2.7,3.2,3.3,3.6,2,1.4,9.7,1.6,8.9,5.2,3.8
Malta,2012,151st,76.4,Stable,3.7,2,4,3.8,3.8,4.4,4,2.6,3.2,3.1,5.1,4.1,1.4,10,9.3,8.4,1.9,1.5
Singapore,2012,152nd,76.3,Stable,1.8,4,3,3.3,3.7,3.1,3.5,2.2,5,2.6,0.9,2.5,1.3,9.7,10,8.7,6.6,4.3
Chile,2012,153rd,75.3,Stable,2.8,1.4,3.8,4.6,5.5,3.1,3.7,4.5,3.2,4.6,2.7,3.5,1.8,8.8,1.9,8,8.8,2.5
Czech Republic,2012,154th,74.6,More Stable,2.1,3.8,3.5,4.3,3.5,3.7,3.5,3.6,2.7,2.8,2.5,3.5,1.5,10,4.1,7.9,7.7,3.9
Qatar,2012,155th,74.1,More Stable,2.8,5,4.9,3.2,4.8,2.8,5.9,2.3,5.3,4.2,2.4,4.3,2,9.1,1.7,7.4,6,0
Belgium,2012,156th,73.3,More Stable,2.3,4,4.1,3.6,4.1,1.9,2.4,2.5,1.8,2.6,1.9,2.3,1.8,10,4.7,8.4,8.2,6.7
South Korea,2012,157th,72.8,More Stable,2,3.6,3.4,2.3,2.6,4.2,3.2,2.2,2.8,3,2.5,5.7,1.3,10,2.6,10,8.5,2.9
France,2012,158th,70.9,More Stable,2.2,1.9,5.6,3.9,4.6,1.8,1.9,1.8,2.7,3,2.5,1.7,2,10,1.7,9,9.7,4.8
Uruguay,2012,159th,70.9,More Stable,4,2.7,2.7,3.8,4.6,5,2.2,3.4,2.6,4.1,1.8,3.7,2,9.5,1.7,7.7,7.2,2.1
Japan,2012,160th,70.2,More Stable,2,2.6,3.8,4,2,2.1,2.5,5,3.2,8.3,4,4,1.4,9.7,0.9,9.3,3.9,1.4
United Kingdom,2012,161st,69.6,More Stable,3,3.6,4.7,3.7,3.9,2.4,1.9,2.6,2.1,2.8,3,1.6,1.9,9.5,1.8,8.4,8.7,4
Germany,2012,162nd,69.2,More Stable,2.5,2.1,4.4,2.6,4.1,2.5,1.7,1.8,2,2.5,3.9,1.7,1.4,9.5,2.3,8.4,9.9,5.8
Slovenia,2012,163rd,69,More Stable,2.8,1.6,3.3,3.5,4.4,3.5,2.7,2.4,2.8,2.8,1.5,2.6,1.6,9.6,4,8.5,5.8,5.7
United States,2012,164th,67.8,More Stable,1.9,3.6,3.9,3.4,5.1,1.3,2.6,2.7,3.5,3.3,2.6,1,1.9,9.3,1,7.9,9.5,3.2
Portugal,2012,165th,67.6,More Stable,1.9,1.4,2.3,5.3,3.7,2.9,2,3.8,3,3.1,1.8,3,1.3,9.9,2.2,8.6,6.4,5.1
Netherlands,2012,166th,67.4,More Stable,1.7,2.4,4.1,3.3,2.6,2.5,1,1.8,1.3,2.9,2.7,1.8,1.7,9.7,4.1,8.4,8.5,6.9
Ireland,2012,167th,64.2,More Stable,1.7,1.4,1.6,3.8,2.7,3,2.2,2.2,1.3,2.5,1.7,2.4,2,9.5,5.1,8.4,9.9,2.7
Luxembourg,2012,168th,63.6,More Stable,2.3,3.4,2.8,1.8,1.8,1.8,2.2,1.6,1.3,2,2.1,2.3,1.6,10,8.9,8.6,5.2,3.9
Australia,2012,169th,63.5,More Stable,2,1.6,3.9,2.6,3.6,1.4,1.3,2.1,2.2,4.4,3,1.1,1.9,9.1,1.2,8.7,9,4.4
New Zealand,2012,170th,62.6,More Stable,1.4,1.1,3.8,3.9,3.7,2.7,0.8,2.1,1.5,2.4,1.4,0.8,2.1,9.2,1.6,8.4,10,5.7
Denmark,2012,171st,61.9,More Stable,1.8,1,3,2.2,1.8,2.2,0.8,1.7,1.5,2.8,1.9,2.3,1.7,9.3,2.8,8.2,10,6.9
Sweden,2012,172nd,61.4,More Stable,2.5,1.8,1,1.6,1.9,1.8,0.8,1.8,1.6,2.6,2.6,1.3,1.9,9.9,2.4,8.6,9.5,7.9
Norway,2012,173rd,60.4,More Stable,3,1.2,3.6,2.4,1.8,1.5,0.8,1.7,2.2,2.3,1.8,1.6,1.9,9.5,1.6,8.5,8.1,7
Finland,2012,174th,60.3,More Stable,1.3,1.2,1.4,2.9,1.3,2.6,0.8,1.8,1.4,2.2,1.9,1.2,1.8,10,2.3,8.6,10,7.5
Iceland,2012,175th,59.9,Very Stable,1.3,1.8,1,5.7,1.9,3.1,1.7,1.9,1.6,1.9,1.3,5.7,2,8.7,2.9,8.7,1.6,7.1
Austria,2012,176th,59.9,Very Stable,1.4,2.4,4,2,4.1,1.9,1.3,1.8,1.8,2.6,2.3,1.9,1.4,9.1,2.9,8.6,5.4,5
Canada,2012,177th,59.2,Very Stable,1.8,2.5,3,2.1,3.8,2.4,1,2.2,1.9,2.7,2.2,1.1,1.6,9.5,1.8,8.6,6.6,4.4
Switzerland,2012,178th,56.7,Very Stable,1.7,1,3.2,2.2,2.6,2.2,0.9,1.7,2,2.4,1.8,1.7,1.5,9.6,3.3,8.9,4.8,5.2
