Country,Year,Rank,Total,Total Discretised,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Greece,2013,136th,85.5,Stable,3.9,3,4.8,6.4,4.3,4.4,5.4,3.9,3,4.3,2,5.1,1.3,9.9,3.3,8.4,10,2.1
Costa Rica,2013,137th,85.3,Stable,2.5,3.8,4.1,4.3,6.1,3.5,3.5,4.6,2.4,4.9,4.1,4.9,1.8,9.5,3.4,8.2,9.8,3.9
Oman,2013,138th,85.2,Stable,5.3,6.6,2.7,4.5,3.6,1.8,6.1,4.4,7.5,5,2,2.4,2.8,9.8,5.3,7.9,7.4,0.1
Latvia,2013,139th,85.2,Stable,3.3,4.3,5.4,4,4.9,4.2,4.5,3.4,3.2,3.6,3.3,3.8,1.5,9.4,6.4,7.9,9.8,2.3
Slovak Republic,2013,140th,84.9,Stable,2.3,3.7,5,5.2,4.6,4.5,4.3,3.5,3,3.2,2,3.9,1.3,9.8,9,8,9.7,1.9
Antigua and Barbuda,2013,141st,84.9,Stable,4.9,3.7,4.1,4.5,5.6,7.6,5.8,4,4.4,4.6,3,5.8,2.1,9.9,6,7.8,0,1.1
Estonia,2013,142nd,84.7,Stable,2.9,5.5,5.9,3.5,4.3,3.9,3.8,3,2.4,3.5,3.3,3.3,1.5,9.4,8.3,8.2,9.9,2.1
Kuwait,2013,143rd,82.4,Stable,4.4,7.9,4.6,3.4,5.3,3.7,7.6,2.6,6.8,5.1,3.8,4.4,2,9.9,2.7,7.6,0,0.6
Lithuania,2013,144th,81.8,Stable,2.5,3,3.7,4.5,5.2,4.1,3.8,3.4,2.9,3.8,2.9,3.2,1.6,9.3,8.3,8,9.2,2.4
Mauritius,2013,145th,81.6,Stable,3.3,3.2,3.5,4.1,4.8,3.6,4.1,3.8,3.5,3.8,2.2,4.6,1.4,9.8,6.2,7.8,10,1.9
Bahamas,2013,146th,80.9,Stable,4.3,4.5,4.4,4.5,5.6,5.6,4.9,4.4,2.8,6.6,2.8,4.3,1.8,9.7,5.6,7.8,0,1.3
Spain,2013,147th,80.4,Stable,4.1,6,5.8,5.5,4.1,3,3.3,3.3,2.2,2.8,2.3,2,1.3,9.6,2.9,8.6,10,3.6
Italy,2013,148th,79.9,Stable,5,4.8,4.7,4.8,3.6,2.6,4.7,2.4,2.9,3.8,3.3,2,1.4,9.6,2.7,8.5,10,3.1
Czech Republic,2013,149th,78.4,Stable,2.1,4.2,3.8,4.5,3.8,3.4,4.1,3.7,2.4,2.5,2.2,3.2,1.5,9.8,7.1,8.1,10,2
Argentina,2013,150th,77,Stable,3,2.7,5,4,6,3,4.4,3.9,4.1,4.1,2,3.8,2.3,9.4,1.5,8,9.8,0
Poland,2013,151st,76.7,Stable,2.5,3.6,3.8,3.5,3.9,5,3.4,2.8,2.9,3.5,2.8,3.3,1.3,9.9,4.4,8.1,9.6,2.4
Barbados,2013,152nd,76.1,Stable,4.2,4.2,4.4,5.8,5.7,6.2,3.6,2.7,2.5,3.8,2.7,5,1.8,9.1,4.9,7.8,0,1.7
Chile,2013,153rd,75.9,Stable,2.9,1.4,3.5,4.1,5.5,2.8,3.8,4.3,3.5,4.9,2.4,3.2,1.8,9.1,3.3,8.1,9.9,1.4
Singapore,2013,154th,73,More Stable,1.5,4,2.7,3,3.7,3.3,3.2,1.9,4.9,2.5,1.1,2.2,1.2,9.7,17.2,8.5,0,2.4
Belgium,2013,155th,72.9,More Stable,2,3.9,4.1,3.5,3.8,1.8,2.1,2.2,1.5,2.5,1.6,2,1.8,9.9,8.1,8.3,10,3.8
Slovenia,2013,156th,71.9,More Stable,2.5,1.6,3.3,3.6,4.5,3.2,2.8,2.1,2.5,2.5,1.4,2.3,1.6,9.5,7,8.4,9.9,3.2
Luxembourg,2013,157th,71.5,More Stable,2.3,3.4,2.8,1.5,1.5,2.1,1.9,1.3,1,1.7,1.8,2,1.6,9.9,16,8.4,10,2.3
Uruguay,2013,158th,70.8,More Stable,3.7,2.7,2.8,3.6,4.4,4.7,1.7,3.4,2.3,3.8,1.9,3.5,2,9.4,2.6,8.1,9,1.2
Qatar,2013,159th,69.7,More Stable,2.5,5,4.9,2.9,4.8,3.1,5.9,2,5.6,4.3,2.1,4,2,9.7,3,7.9,0,0
France,2013,160th,68.9,More Stable,2.3,1.9,5.9,4,4.3,1.9,2.2,1.5,2.4,2.7,2.2,1.4,2,9.9,3,8.6,10,2.7
Portugal,2013,161st,68.8,More Stable,1.6,1.3,2.3,5.4,3.4,2.6,2.1,3.5,2.7,2.8,1.6,3.3,1.2,9.8,3.9,8.4,10,2.9
United Kingdom,2013,162nd,68.3,More Stable,2.7,3.5,5,4.1,3.6,2.1,1.6,2.3,1.8,2.5,2.7,1.3,1.8,9.5,3.2,8.3,10,2.3
Netherlands,2013,163rd,67.6,More Stable,1.8,2.6,4.1,3.5,2.3,2.2,1,1.5,1,3,2.4,1.5,1.7,9.7,7.1,8.3,10,3.9
Germany,2013,164th,66.5,More Stable,2.2,2,4.3,2.6,3.9,2.2,1.4,1.8,1.9,2.4,3.6,1.4,1.4,9.5,3.9,8.3,10,3.7
United States,2013,165th,66.1,More Stable,2.2,3.9,4.2,3.2,4.8,1,2.3,2.4,3.2,3,2.3,1,1.9,9.4,1.7,8.1,9.7,1.8
Ireland,2013,166th,64.9,More Stable,1.8,1.3,1.6,3.9,2.5,2.8,1.9,1.9,1.3,2.2,1.4,2.2,2,9.6,8.7,8.3,9.9,1.6
Austria,2013,167th,64.6,More Stable,1.1,2.7,4.3,1.9,4,1.6,1.5,1.5,2,2.3,2.4,1.6,1.4,9.5,5.1,8.4,10,3.3
South Korea,2013,168th,64.3,More Stable,2.1,3.6,3.1,2,2.9,3.9,2.9,1.9,2.6,3,2,5.4,2.6,6.5,3.1,6.1,6.4,4.2
Iceland,2013,169th,62.8,More Stable,1,1.8,1,3.7,1.7,2.8,1.4,1.6,1.3,1.6,1.6,5.2,1.9,9.1,4.7,8.4,10,4
Switzerland,2013,170th,60,More Stable,1.4,1,3.5,2.3,2.3,2.1,0.8,1.4,1.7,2.1,1.5,1.4,1.5,9.6,6,8.5,10,2.9
Denmark,2013,171st,59.9,Very Stable,1.5,1.4,3.4,1.9,1.6,1.9,1,1.4,1.7,2.5,1.6,2,1.7,9.4,4.8,8.2,10,3.9
Australia,2013,172nd,59.5,Very Stable,1.7,1.6,3.6,2.1,3.3,1.1,1,1.8,2.2,3.3,2.7,1,1.9,9.1,2.1,8.4,10,2.6
Japan,2013,173rd,58.4,Very Stable,1.7,2.6,3.8,3.7,1.8,2,2.2,2.5,3,5.4,3.7,3.7,1.4,9.6,1.8,8.7,0,0.8
New Zealand,2013,174th,58.2,Very Stable,1.1,1.1,3.5,3.6,3.4,2.4,0.5,1.8,1.2,2.1,1.1,1,2,9.2,2.7,8.3,10,3.2
Sweden,2013,175th,58.2,Very Stable,2.2,1.8,1,1.7,1.7,1.7,0.5,1.9,1.3,2.5,2.4,1,1.9,9.8,3.9,8.4,10,4.5
Norway,2013,176th,57.9,Very Stable,2.7,1.1,3.6,1.9,1.5,1.6,0.5,1.4,1.9,2,1.9,1.3,1.8,9.4,2.9,8.4,10,4
Finland,2013,177th,56.4,Very Stable,1,1.1,1.4,3.2,1,2.3,1,1.5,1.1,1.9,1.6,1,1.8,9.8,4,8.4,10,4.3
Canada,2013,178th,50.8,Very Stable,1.8,2.5,3.1,1.8,3.5,2.1,1.5,2,2,2.6,2.1,1,1.6,9.1,3.2,8.4,0,2.5
