Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
Somalia,2012,2nd,121.8,High Alert,10,9.8,9.6,9.7,8.1,8.6,9.9,9.8,9.9,9.8,10,9.8,6.7,-2.4,-3.5,-1.5,10,-2.5
Central African Republic,2012,24th,111.2,High Alert,9.6,9.1,8.5,8,8.7,5.6,8.9,9.1,8.5,8.8,9.7,9.3,5.1,-3.1,-1.2,-0.1,8.9,-2.2
South Sudan,2012,5th,110,High Alert,9.7,10,10,7.3,8.8,6.4,9.1,9.5,9.2,8.4,9.9,10,5.2,-4.7,-2.6,-1.4,9.9,-4.7
Chad,2012,23rd,109.3,Alert,8.9,9.8,9.1,8.3,8.6,7.7,9.8,9.5,9.3,9.3,9.5,7.8,6.4,-2.1,-2.4,-0.5,2.9,-2.6
Congo Democratic Republic,2012,8th,108.4,Alert,9.7,9.5,9.3,8.8,8.9,7.4,9.5,9.2,9.7,9.9,9.7,9.6,6.4,-6.8,-2.2,-2.3,3.7,-1.6
Yemen,2012,11th,107.5,Alert,9.7,9.8,9,8.7,8.4,7,9.1,9,8.4,8.8,8.7,8.3,4.4,-5.7,-2.1,-3.9,10,-0.1
Nigeria,2012,49th,106.4,Alert,9.2,9.8,9.7,7.5,8.9,7.6,9.1,9.1,8.6,8.4,6.5,6.6,5.8,-2.4,-0.7,-0.5,4.4,-1.2
Cote d Ivoire,2012,10th,105.8,Alert,8.9,9.9,9,7.4,7.7,7.6,9.6,8.3,8.3,7.9,9,10,5.2,-7.7,-2.5,-0.6,9.6,-1.8
Sudan,2012,1st,105.7,Alert,9.7,9.9,10,7.3,8.8,8.3,9.5,8.5,9.4,8.4,9.9,9.5,4.8,-9.1,-0.9,-3.8,9.9,-4.4
Afghanistan,2012,3rd,105.1,Alert,9.7,9.4,9.4,7.7,8.1,7.4,9.5,8.5,8.5,8.9,9,10,5.4,-5.7,-2.2,-3.3,9.7,-4.9
Haiti,2012,12th,104.9,Alert,8.2,9,7,9.5,8.6,8.8,9.3,9.3,7.7,9.5,8.1,9.7,3.2,-5.7,-3,-3.6,10,-0.7
Zimbabwe,2012,4th,103.5,Alert,8.7,9.8,8.7,8.9,8.9,9,9.4,9.1,8.9,9,8.4,7.5,4,-9.5,-2.7,-1.9,10,-2.7
Niger,2012,19th,99.7,Alert,8.2,8.6,7.7,8.6,7.6,6,8.4,9.2,7.9,9.3,6.9,8.4,7.4,-6.3,-2.2,-2.3,8.7,-2.4
Pakistan,2012,13th,99.4,Alert,9.3,9.1,9.6,7.2,8.2,7.2,8.3,7,8.6,8.5,9,9.4,3.7,-6.4,-1.1,-4.2,10,-4
Iraq,2012,7th,99.3,Alert,9.9,9.6,9.7,7.7,8.7,8.6,8.4,7.8,8.3,8,8.5,9,4.5,-6,-1.7,-5.4,8.2,-4.5
Guinea,2012,22nd,96.3,Alert,9.4,9.2,7.9,8.9,8.1,8,9.5,8.6,8.7,8.3,8,7.3,5.2,-5.1,-3.5,-2.1,3.8,-3.9
Equatorial Guinea,2012,94th,94.9,High Warning,7.8,8.2,6.6,4.8,8.8,6.9,9.4,7.8,9.1,8.2,3,5.7,5,0,-2.6,-2,10,-1.8
Ethiopia,2012,16th,94.6,High Warning,8.1,8.7,8.1,7.4,7.9,7,7.2,8.4,8.6,9.6,8.7,8.2,4.7,-6,-1.8,-3.8,8.5,-4.9
Kenya,2012,15th,94.1,High Warning,7.6,9,8.9,7.3,8.2,7.7,8.6,8.1,7.4,8.9,8.4,8.4,4.2,-9.3,-2,-4.3,8.7,-1.7
Syria,2012,31st,93.5,High Warning,8.5,8.7,9.2,6.3,7.5,6,9.5,7,9.4,5.5,9,7.9,3.1,-2.8,-2.2,-6.7,9.7,-2.1
Burundi,2012,9th,93.3,High Warning,7.4,7.9,8,8.8,7.9,5.9,8.3,8.5,8.1,8.8,8.9,9,6.1,-9.6,-2.1,-1.9,8.7,-5.4
Guinea Bissau,2012,33rd,92.1,High Warning,9.4,9.2,5.7,9,7.8,7.7,9.3,8.5,7.5,8.7,7.5,8.9,4.9,-8.4,-1.4,-1.8,2.1,-2.5
Cameroon,2012,36th,92,High Warning,7.9,9.2,7.5,6.5,8.1,7.5,8.9,8.1,7.8,8.2,7,6.5,5,-8.1,-1.5,-1.8,7.7,-2.5
Uganda,2012,17th,91.6,High Warning,8.3,8.7,7.7,7.5,8.1,6.9,8,8.6,7.8,8.8,8.2,7.9,6,-7.2,-1.9,-2.6,7,-6.2
Eritrea,2012,18th,90,High Warning,7.8,8.1,6.4,8.6,6.9,7.1,8.4,8.2,8.7,8.6,7.1,8.5,4.4,-9.3,-1.3,-3.9,9.6,-3.9
Myanmar,2012,42nd,89.7,High Warning,7.5,8.6,8.7,7.6,8.7,5.7,9.4,8.4,8.6,7.9,8.2,6.9,2.3,-8,-0.6,-4.5,5.4,-1.1
Sierra Leone,2012,40th,89.5,High Warning,5.7,7.9,6.2,8.3,8.2,7.7,7.6,8.7,6.4,8.9,7.8,7.1,4.9,-8.9,-3.5,0,8.7,-2.2
North Korea,2012,21st,89.2,High Warning,8.1,7.7,6.6,9.3,8.6,4.4,9.9,9.4,9.6,7.9,5.3,8.7,2,-9.2,0,-6.1,9.9,-2.9
Congo Republic,2012,30th,88.6,High Warning,7,6.7,6.3,7.5,7.9,6.5,8.6,8.4,7.2,8.3,7.7,7.9,4.9,-8.1,-3.5,-3.4,10,-1.3
Egypt,2012,32nd,86.9,High Warning,7,8.8,8.8,7.1,7.4,5.7,9.2,5.9,9,7.1,6.4,8,3.3,-9.2,-1.4,-5.8,10,-0.4
Zambia,2012,55th,85.7,High Warning,5.3,6,6.3,8.1,7.7,7.1,8,7.7,6.4,9.1,7.3,7,5.2,-7.2,-2.2,-2.8,8.7,-2
Liberia,2012,35th,85.1,High Warning,7,8.4,6.5,8.6,7.7,6.7,6.9,8.8,6.1,8.4,8.9,9.3,4.9,-7.5,-5.1,-2.9,4.4,-2
Togo,2012,48th,84.4,High Warning,7.3,7.5,5.1,7.7,7.6,6.9,8.2,8.2,7.4,8.1,6.8,6.8,4.7,-8,-3.5,-2.3,7.9,-2
Sri Lanka,2012,25th,84.2,High Warning,8.2,9.2,9.1,5.6,8.1,7.1,8.1,5.8,8.7,7.1,8.7,6.5,2.1,-10,-1.8,-7.1,9.8,-1
Malawi,2012,28th,83.6,High Warning,5.1,7.6,5.7,8.5,7.7,7.8,8,7.9,7.1,8.8,6.2,8.4,5,-9.6,-2.4,-3.1,8.9,-4
Angola,2012,38th,82.9,High Warning,5.9,7,6.5,4.8,9.1,5.6,8.2,8.3,7.6,8.9,6.9,6.4,6,-6.8,-2.3,-3.1,10,-6.1
Iran,2012,37th,82.7,High Warning,8.3,9.3,8.6,6.4,6.7,6.4,8.8,5.3,8.9,5.8,7.6,7.4,1.7,-10,-1.2,-6.6,9.9,-0.6
Nepal,2012,20th,82.6,High Warning,7.5,8.2,9,7.6,8.4,5.6,8,7.4,8.2,7.9,7.7,7.4,2.4,-8.8,-1.9,-5.1,9,-5.9
Mauritania,2012,29th,82.5,High Warning,7.7,8.1,7.5,7.6,6.3,5.4,7.6,7.9,7.3,8,6.5,7.6,4.9,-7.5,-4.6,-3.5,9.6,-3.9
Mali,2012,101st,82.4,High Warning,7.1,4.5,6,7.5,6.4,7.3,5.3,8,4.6,8.8,5.5,7,6.4,-5.6,-1.8,-1.7,8.9,-1.8
Papua New Guinea,2012,65th,82.4,High Warning,6.3,7.1,6.9,6.6,8.8,7.2,7.6,8.6,6.1,7.4,4.8,6.1,3.9,-6.7,-3.4,-4.4,10,-0.5
Timor-Leste,2012,6th,81.5,High Warning,8.3,8.3,6.8,8,7,6.1,8.5,8.4,6.3,8.4,7.7,8.9,6,-7.9,-7.2,-4.9,9.6,-6.8
Burkina Faso,2012,60th,81.1,High Warning,7.1,7.3,5.2,7.7,8.2,6,8,8.4,7,8.9,5.9,7.7,5.7,-8.8,-2.1,-2.2,3.9,-2.8
Solomon Islands,2012,39th,80.4,High Warning,6.7,8,6.8,7.9,8.3,5.4,7.6,7.8,6.2,7.6,4.8,8.5,4.1,-10,-3.6,-5.3,10,-0.4
Benin,2012,93rd,80.1,High Warning,6,6.4,3.6,7.6,6.9,6.3,6.4,8.3,5.4,8,6.8,7,5.2,-7.5,-2,-2.8,10,-1.5
Gambia,2012,61st,79.6,Elevated Warning,5.8,6.8,3.7,7.4,6.5,6.8,7.8,7.2,7.5,7.8,6.1,7.2,5.6,-9.9,-2.5,-2.9,10,-1.3
Djibouti,2012,54th,79,Elevated Warning,6.5,7.5,6.5,6.6,7.1,4.9,7.5,7.2,6.8,8.3,6.9,8,3.1,-7.6,-4.4,-3.2,9.8,-2.5
Bangladesh,2012,41st,78,Elevated Warning,7.6,8.9,8.9,7.4,8.1,7.8,8.2,7.8,6.8,8,6.8,5.9,2.2,-9.3,-1.6,-5.7,3.7,-3.5
Madagascar,2012,81st,77.8,Elevated Warning,6.9,7.8,5.2,7.9,7.6,5.2,7.3,8.3,6,8,4.4,8,4.4,-6.1,-2.5,-4,6.5,-3.1
Rwanda,2012,14th,77.7,Elevated Warning,5.5,7.9,8.5,6.8,7.4,7,6.8,7.5,8,8.6,7.6,7.7,4.3,-9.9,-1.8,-4.2,10,-10
Comoros,2012,89th,77.3,Elevated Warning,7.5,7.5,5.3,7.9,6.1,6.9,7.7,7.9,6.3,7.3,4.2,8.4,4.6,-8.3,-3.2,-3.6,5.3,-0.5
Mozambique,2012,45th,77.1,Elevated Warning,6.8,5.6,4.9,7.9,7.7,7.5,7.3,8.3,6.7,8.9,4.3,6.5,5.5,-6.9,-4.5,-1.9,9.5,-7
Uzbekistan,2012,34th,77,Elevated Warning,8.2,8.7,7.7,7.1,7.9,6,8.7,5.7,9.1,7,5.7,5.7,2.2,-10,-1.8,-5.9,8.9,-3.9
Cambodia,2012,46th,76.3,Elevated Warning,6.5,8,7.3,6.9,7.1,7.7,8.2,8.3,7.7,7.5,5.9,7.7,2.7,-8.3,-3.6,-4.9,5.2,-3.6
Swaziland,2012,78th,76.2,Elevated Warning,6.3,7,3.6,8.3,7,5.8,8.6,7.7,8.3,8.9,4.6,7.4,3.4,-9.5,-3.2,-1.8,6.2,-2.4
Georgia,2012,43rd,75.5,Elevated Warning,7.6,9.1,8.3,6.3,6.6,5.2,8.5,5.7,6.7,5.5,7.2,8.2,2,-9.1,-3.3,-6.8,9.9,-2.1
Colombia,2012,57th,75.5,Elevated Warning,7,7.7,7.2,4,8.4,7.6,7.4,5.9,7,6.4,8.4,7.4,1.9,-8.9,-1.1,-6.9,8.2,-2.1
Laos,2012,62nd,75.4,Elevated Warning,6.9,8.6,6.3,6.7,5.8,7.1,8.3,7.4,8.2,7.8,5.5,6.9,3,-7.3,-2.7,-4.2,5.5,-4.4
Indonesia,2012,72nd,75.3,Elevated Warning,7.1,7,7.1,6,7.2,6.6,6.7,6.2,6.8,7.4,6.3,6.2,2.5,-7.9,-1.4,-5.2,10,-3.3
Tanzania,2012,47th,74.6,Elevated Warning,5.8,5.7,5.8,6.9,5.9,6.1,6.5,8.5,6.5,8.2,7.1,7.4,5.3,-9.1,-1.9,-3.6,9.9,-6.4
Lebanon,2012,53rd,74,Elevated Warning,8.4,9.1,8.4,5.5,6.5,6.3,7.5,5.5,6.5,6.2,8.2,7.7,1.7,-7.6,-4.4,-7.8,6.9,-0.6
Bolivia,2012,52nd,73.5,Elevated Warning,6.5,8,7.4,6.5,8.8,6.1,7.1,6.8,6.5,7.5,4.3,6.6,3.1,-9.2,-2.2,-5,9.2,-4.5
Libya,2012,27th,72.8,Elevated Warning,9,8,7,5.5,7,3.9,8.1,7.6,9,5.8,5.1,9,2.4,-9.9,-5.6,-6.2,10,-2.9
Philippines,2012,63rd,72.4,Elevated Warning,8.4,8,7.6,5.3,6.8,6.5,7.9,6.3,7,7.3,6.2,5.8,3.1,-8.5,-1.9,-5.6,6.3,-4.1
Kyrgyz Republic,2012,26th,71.9,Elevated Warning,7.4,8.3,8.4,7.9,7.3,6.7,8.7,5.4,7.8,6.5,5.3,7.6,3.2,-9.6,-5.5,-6.1,6.7,-4.1
