Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
Azerbaijan,2012,77th,71.8,Elevated Warning,6.7,7.8,7.2,5.2,6.6,5.1,8,5.4,7.3,5.6,7.6,7.2,2,-8.7,-1.4,-6.2,9.2,-2.8
Bhutan,2012,76th,71.4,Elevated Warning,5.9,7.5,7.6,6.6,7.8,6.5,6.3,6.6,7.3,6.7,6.6,7,2.2,-9.7,-3.6,-4.7,6.3,-1.5
Guatemala,2012,69th,70.5,Elevated Warning,7.3,6,7.1,6.1,7.6,6.8,6.8,6.7,6.7,7,5.9,5.4,3.2,-9.6,-2.1,-6.4,8.4,-2.4
Senegal,2012,44th,70.5,Elevated Warning,6.3,6.3,6,6.9,6.9,6.3,6,7.5,6.5,7.8,6.7,6,5,-8.9,-2.8,-4.3,9.9,-7.6
Tajikistan,2012,51st,70.5,Elevated Warning,7.1,8.3,6.9,7.7,6.5,5.7,8.8,6.6,8.5,7.3,5.6,6.7,3.5,-9.3,-4,-5.9,3.9,-3.4
India,2012,107th,70.1,Elevated Warning,7.5,6.8,7.9,5.5,8.4,5.9,5.5,6.9,5.8,7.3,5.5,5,2.5,-7.7,-1.8,-4.7,5.8,-2
Turkmenistan,2012,74th,69.9,Elevated Warning,7.2,7.7,6.4,5.7,6.8,4.8,9,6.4,8.4,6.2,3.9,4.9,2.9,-9.7,-2.5,-5.2,10,-3
Ecuador,2012,50th,69.6,Elevated Warning,6.5,8.2,6.9,5.9,7.7,7.1,7.5,7.2,5.2,5.6,6,6.3,2.6,-8.4,-1.8,-7.2,10,-5.7
Fiji,2012,56th,69.1,Elevated Warning,7,7.9,7.6,7,7.7,7.3,8.8,5.2,7,5.1,3.3,6.6,2.6,-10,-3.7,-5.8,8.3,-2.8
Russia,2012,87th,68.9,Elevated Warning,8.2,8,7.9,4,7.3,5.4,7.9,5,8.1,6,5,4.3,1.7,-9.7,-1.2,-6.6,10,-2.4
Venezuela,2012,95th,68.5,Elevated Warning,6.7,7.3,6.7,5.9,7.2,6.1,7.9,6.3,7.7,5.7,4.5,5.2,2.4,-7.6,-1.4,-7.2,8.1,-3
Saudi Arabia,2012,102nd,67.9,Elevated Warning,7.2,7.9,7.7,3.4,6.7,2.9,7.6,4.3,8.6,5.8,5.5,5.9,2.8,-9.9,-1.7,-6.5,9.7,0
China,2012,67th,67.7,Elevated Warning,6,6.9,7.9,3.9,8.3,5.3,7.9,6.3,8.6,7.9,5.9,3.5,1.6,-10,-1.3,-6.9,9.7,-3.8
Sao Tome and Principe,2012,86th,67.4,Elevated Warning,5.8,6.3,4.8,7.4,6.1,7.6,6.7,6.7,4.6,6.8,4,7,4.7,-9.6,-3.3,-4.6,9.6,-3.2
Turkey,2012,82nd,67.2,Elevated Warning,7.7,7.5,8.6,5.6,7.1,4.2,6.2,6,5.3,6,6.5,5.9,2.1,-9.7,-1.6,-7.1,9.4,-2.5
Morocco,2012,70th,66.3,Elevated Warning,6.6,6.6,6.8,5.6,7.2,6.7,6.6,6.2,6.4,6.1,6.2,5.2,2.6,-10,-2.9,-6.6,10,-3
Moldova,2012,59th,65.8,Elevated Warning,7.5,8,6.3,6.2,6.2,7.2,7.4,6,6.2,5.8,4.7,7.2,1.3,-9.1,-4.8,-6.3,9.5,-3.5
Lesotho,2012,92nd,65.8,Elevated Warning,5.5,7,4.7,8.6,6.4,6.5,6.3,8,5.7,8.7,4.6,6.9,3.3,-9.5,-5.8,-1,4.6,-4.7
Micronesia,2012,111th,65.6,Elevated Warning,5.4,5.6,4.2,7,7.5,8.1,6.3,6.6,2.8,6.8,3.4,8.2,3.3,-7.6,-4,-5,7,0
Namibia,2012,103rd,65.5,Elevated Warning,5.2,3.5,5.6,6.4,8.5,6.8,4.4,6.6,5.2,7.1,5.3,6.3,3.6,-8,-3.4,-3.3,10,-4.3
Gabon,2012,114th,65.1,Elevated Warning,5.7,7.1,3.3,5.7,7.6,5.8,7.8,6.9,6.8,6.5,5.9,5.5,4,-7.7,-1.8,-3.9,2.7,-2.8
Dominican Republic,2012,96th,64.8,Warning,5.5,6.5,5.8,5.8,7.2,7.6,5.7,6.5,6,6.5,5.2,5.9,2.5,-8.1,-1.9,-6.7,8.5,-3.7
Samoa,2012,117th,64.6,Warning,5.5,5.1,4.8,5.4,6.3,8.6,6,4.8,4.4,6.7,2.6,8.3,4.2,-5.3,-3,-6.9,7.8,-0.7
Suriname,2012,106th,64.5,Warning,5.8,5.8,6.1,6.6,7.5,7.3,6.4,5,5.3,5.8,3.2,6.4,2.5,-8,-3,-6.1,10,-2.1
Cape Verde,2012,80th,64.4,Warning,5.7,5.7,4.2,6.6,6.6,8.4,6.6,6.6,5.4,7,4,7.9,2.5,-9.3,-3.4,-6.1,9.7,-3.7
Israel and West Bank,2012,71st,64.1,Warning,6.8,8.1,9.5,4,7.8,3.5,7,6.2,7.9,6.5,7.3,7.6,3.1,-9.3,-2,-8.6,2.3,-3.6
Jordan,2012,83rd,63.9,Warning,5.7,6.3,7,6.4,6.8,4.4,6.3,4.6,7.1,6.5,7.3,6.5,3.6,-9.9,-4.3,-6.5,8,-1.9
Ghana,2012,113th,63.3,Warning,3.3,4.7,5.2,6,6.2,7.6,4.8,7.6,4.5,6.7,5.2,5.7,4.2,-9.1,-3,-3.1,8.7,-1.9
El Salvador,2012,85th,62.8,Warning,6.7,4.3,6,6,7.3,7.2,6.2,6.6,6.4,7.7,5.2,4.8,2.2,-9.1,-2.5,-6.8,9.3,-4.7
Armenia,2012,99th,62.8,Warning,5.2,7,5.7,5.6,5.9,6.3,6.8,4.7,6.8,5.2,6.8,6.1,1.7,-9.5,-2.8,-6.8,10,-1.9
Honduras,2012,79th,62.5,Warning,7,6.3,5.6,7.2,8.1,6.9,7,6.7,6.2,7.3,3.6,6.6,2.7,-9.7,-4,-6.4,4.9,-3.5
Belarus,2012,58th,61.8,Warning,6,8,6.5,6.5,6,4.2,9,5.5,8.3,6,3.3,7.3,1.6,-9.9,-4.3,-7,9.5,-4.7
Tunisia,2012,73rd,61.4,Warning,7.5,7.8,5.6,5.5,6.3,5.2,7.8,5,8.3,5.2,4,6,2.2,-9.7,-3.4,-6.9,9.7,-4.7
Bosnia and Herzegovina,2012,91st,61.3,Warning,6.7,8.7,8,5.5,6.5,5.8,7,4.7,6.1,4.7,6.5,7.7,1.3,-9.1,-3.2,-7.3,5.5,-3.8
Algeria,2012,90th,61.3,Warning,7.1,6.8,8.1,5.5,6.5,5.4,7.2,5.9,7.4,6.1,6.5,5.5,2.9,-9.5,-1.6,-6.7,3.8,-5.6
Serbia,2012,75th,60.9,Warning,6.4,8,7.9,6.2,6.2,4.7,6.6,4.6,5.8,5,6.3,7.3,1.5,-8.9,-3.1,-7,9.3,-5.9
Kazakhstan,2012,98th,60.9,Warning,6.3,7.7,6.5,6.5,5.6,3.5,7.5,5.4,7.1,5.6,3.5,5.6,2.6,-10,-1.7,-6.2,9.7,-4.3
Thailand,2012,88th,60.8,Warning,7.3,8.8,7.8,4,6.9,4,6.5,4.7,7.2,8.2,6.7,4.9,1.5,-10,-3.9,-7.2,6.2,-2.8
Mexico,2012,68th,60.1,Warning,7.7,5.2,5.8,5.7,7.5,6.2,6.6,6.1,6.2,6,4.2,6.4,2.3,-10,-1.9,-7.3,9.9,-6.5
Peru,2012,105th,60.1,Warning,6.9,6.6,7.1,4.6,8,6.4,7.1,6.6,4.9,6.1,4.4,4.8,2.5,-9.5,-1.4,-6.8,5.6,-3.8
Botswana,2012,118th,59.8,Warning,3.8,3.3,4.8,6.5,7.7,5.3,4.7,5.9,4.7,8.6,6.1,5.1,2.9,-9.5,-3.5,-3.9,8.7,-1.4
Belize,2012,110th,59.8,Warning,5.5,4.3,4.4,5.4,6.9,7,6,5.9,3.9,6.8,5.1,6,2.6,-9.9,-3.6,-5.8,9.9,-0.6
Maldives,2012,97th,59.5,Warning,5.7,7.6,4.9,6.4,4.7,6.5,7.9,6.6,7.5,5.7,5.6,6.1,2.2,-10,-4.9,-7,5.2,-1.2
Guyana,2012,84th,59,Warning,6.1,5.1,6.2,6.1,7.1,8.6,6.5,5.7,4.7,6.1,3.5,5.7,2.6,-9.7,-5,-4.7,10,-5.6
Paraguay,2012,112th,58.2,Warning,6.1,7.7,6.2,5.6,8.3,5.2,7.6,5.8,6.1,6,2.2,4.2,2.6,-8.4,-2.8,-6.3,4.3,-2.2
Cuba,2012,66th,57.5,Warning,6.6,6.9,4.8,5.5,5.9,6.6,6.4,5,7.4,6,5,7,1.7,-10,-1.1,-8,9.8,-8
Brazil,2012,121st,57,Warning,6.2,4.9,6.2,3.6,8.4,4.2,5.6,5.5,5,7,3.9,3.6,1.8,-9.5,-0.7,-7.2,10,-1.5
Nicaragua,2012,64th,56.6,Warning,5.9,6.8,6.2,6.9,8.2,7.5,7.4,7,5.7,6.5,4.3,7,2.3,-9.9,-3.9,-6.9,2.7,-7.1
Ukraine,2012,124th,56,Warning,4.3,8,6.2,5.7,5.6,6,7.7,3.9,5.4,5,2.9,6.5,1.5,-6.9,-3.2,-6.6,5.7,-1.7
Cyprus,2012,109th,54.8,Warning,5,7.9,7.3,5.4,7,5,5.2,3.1,3.3,4.1,4.7,8.8,1.4,-10,-3.1,-8.2,9.8,-1.9
Grenada,2012,115th,54.3,Warning,5.3,5.6,3.9,6,6.2,8.2,6.2,3.9,4,5.5,2.9,7.4,2.2,-9.7,-2.8,-6.5,8.4,-2.4
Jamaica,2012,116th,53.1,Warning,6.2,3.7,4,6.6,6.2,7,6.4,5.6,5.2,5.9,3.1,6,2.1,-9.6,-3,-7.1,7.1,-2.3
Vietnam,2012,100th,52.4,Warning,5.7,6.9,6,6.1,5.9,6,7.5,6.1,7.4,6.1,4.4,5.9,2,-9.7,-4.4,-7.7,2.5,-4.3
South Africa,2012,131st,51.7,Warning,4.8,5.9,5.6,5.6,8.2,4,5.2,5.8,4.5,8.1,6.4,2.8,2.6,-5.5,-1.8,-3,0,-7.5
Malaysia,2012,119th,51.1,Warning,6.3,6.8,6.4,4.6,6.4,4.4,6.5,4.8,7.4,5.7,4.5,4.7,2.1,-9.7,-3.9,-6.9,2.8,-1.8
Macedonia,2012,108th,50,Warning,5.7,6.7,7.6,5.9,6.5,6.4,6.4,4.2,4.6,4.2,4.9,5.9,1.5,-9.5,-3.8,-6.9,5.5,-5.8
Brunei Darussalam,2012,126th,50,Warning,5.6,7.4,6.2,3.1,7.8,4.3,7.4,2.9,6.6,4.8,3.6,4.4,1.9,-10,-2,-7.2,5,-1.8
Trinidad and Tobago,2012,120th,49,Less Stable,6,5.6,4.4,4.7,6.6,7.7,5.9,5.1,5.5,5.5,2.9,4.5,1.8,-9.1,-2.9,-6,5.9,-5.1
Mongolia,2012,125th,47.9,Less Stable,4.7,5.5,3.7,5.2,6,2.2,5.6,5.6,5.7,5.8,1.9,6.8,2.8,-10,-3.8,-5.7,8.5,-2.6
Kuwait,2012,133rd,47.6,Less Stable,4.7,7.2,4.6,3.7,5.6,4,6.5,2.9,6.5,4.9,3.5,4.7,2.1,-9.9,-1.5,-6.4,5.6,-1.1
Albania,2012,122nd,47.5,Less Stable,5.4,6.6,5.1,5.6,5.1,6.8,7.3,4.9,5.5,5,2.8,6,1.7,-10,-3,-7.6,3.1,-2.8
Bahrain,2012,123rd,46.8,Less Stable,6,7,7.3,3.1,5.7,2.8,7.5,2.7,7,4.6,2.6,5.9,2.1,-10,-4.8,-7,6.1,-1.8
Croatia,2012,127th,44,Less Stable,4.7,4.7,5.6,5.4,4.7,4.7,4.2,3.2,4.6,4,5.2,5.3,1.5,-9.6,-2.3,-7.7,10,-4.2
Romania,2012,132nd,44,Less Stable,4.4,5.2,6,6,5.6,5,6.3,4.4,4.2,4.6,2.9,4.9,1.5,-8.9,-2.4,-7.1,3.8,-2.4
Oman,2012,139th,43.7,Less Stable,5.6,6.6,2.7,4.3,3.3,1.5,6.2,4.7,7.2,5.1,1.8,2.7,2.9,-9.9,-2.6,-7.3,9.1,-0.2
Bahamas,2012,130th,43.6,Less Stable,4.3,4.5,4.4,4.5,5.9,5.9,4.9,4.4,3.1,6.1,2.5,4.6,1.8,-9.9,-3.4,-7.1,9.4,-2.3
Barbados,2012,137th,43.6,Less Stable,4.2,4.2,4.4,5.3,6,6.5,3.6,3,2.8,4.1,2.6,5.3,1.8,-8.4,-2.9,-7,9.9,-1.8
Montenegro,2012,129th,42.3,Less Stable,4.9,6.2,6.5,4.9,3.8,2.7,4.5,3.9,4.7,4.2,4.2,5,1.7,-9.3,-3.9,-7.2,8.6,-3.1
Bulgaria,2012,128th,42,Less Stable,4.6,5.3,4.9,5,5.4,5.2,5.1,4.3,4,4,3.3,5.2,1.5,-9.5,-3.7,-7.1,8.6,-4.1
Seychelles,2012,104th,40.4,Less Stable,6.1,5.7,4.8,4.9,6.9,5.2,6.3,3.8,5.5,5.5,3.6,6.8,2.4,-9.9,-6.3,-7.5,4.4,-7.8
Antigua and Barbuda,2012,135th,40.1,Less Stable,4.9,3.7,4.1,4.8,5.6,7.9,5.8,4.3,4.8,4.9,2.7,5.5,2.1,-9.9,-3.3,-7.2,1.3,-1.9
Panama,2012,138th,39.9,Less Stable,5.4,2.5,4.9,4.3,7.5,4.8,4.6,5.1,4.4,5.8,3.6,3.3,2.6,-8.1,-4.6,-7.7,3,-1.5
Qatar,2012,155th,37.7,Less Stable,2.8,5,4.9,3.2,4.8,2.8,5.9,2.3,5.3,4.2,2.4,4.3,2,-9.1,-1.7,-7.4,6,0
United Arab Emirates,2012,134th,35.7,Less Stable,3.2,3.6,4.3,3.9,5.1,2.7,6.4,3.1,5.9,4.1,2.8,3.8,1.8,-9.6,-4.9,-7.2,9.8,-3.1
Argentina,2012,142nd,34.9,Stable,3,3,4.7,4.1,6.3,3.3,4.3,3.8,3.8,4.4,2.3,3.5,2.3,-8.9,-0.8,-7.6,10,-6.6
Latvia,2012,143rd,34,Stable,3.6,4.3,5.2,5.3,5.4,4.5,4.8,3.7,3.5,3.9,3.6,4.1,1.4,-8.9,-3.8,-7.3,4.8,-4.1
Chile,2012,153rd,32.8,Stable,2.8,1.4,3.8,4.6,5.5,3.1,3.7,4.5,3.2,4.6,2.7,3.5,1.8,-8.8,-1.9,-8,8.8,-2.5
Slovak Republic,2012,136th,32.6,Stable,2.6,3.7,5.3,5.1,4.9,4.8,4.2,3.8,3.3,3.5,2,4.2,1.3,-10,-5,-7.6,9.8,-3.3
Costa Rica,2012,140th,31.3,Stable,2.8,3.5,4.4,4.6,6.4,3.8,3.2,4.5,2.7,4.6,4,5.2,1.9,-8.9,-2,-8,5.5,-6.9
Estonia,2012,141st,31.2,Stable,3.2,5.5,5.7,3.8,4.6,4.2,3.8,3,2.7,3.8,3.6,3.6,1.6,-9.3,-4.8,-8,7.9,-3.7
Mauritius,2012,146th,30.7,Stable,3.6,3.2,3.5,4.2,5.1,3.3,4.4,3.9,3.8,3.6,1.9,4.3,1.5,-9.9,-3.8,-7,8.4,-3.3
