Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
Angola,2014,42nd ,80.9,High Warning,5.8,7.2,7.1,5.4,9.5,6,8,9.1,7,9,7.5,5.8,5.8,-5.6,-1.9,-3.5,2.4,-3.7
Togo,2014,43rd ,80.8,High Warning,7.1,7.6,4.8,7.1,7.8,7.1,8.4,8.3,7.5,7.9,7.4,6.8,4.6,-8.5,-3.2,-2.5,4.4,-1.8
Congo Republic,2014,44th ,80.8,High Warning,6.4,6.7,6.3,6.7,8.1,6.5,8.4,8.8,7.6,8.1,8.1,7.9,4.8,-8.9,-3.7,-3.9,3.6,-0.7
Eritrea,2014,45th ,80.7,High Warning,7.6,8.1,6.4,8,7.2,7.5,8.8,8.4,9.2,8.5,7.3,8.5,4.3,-9.4,-3.9,-4.2,0.6,-2.2
Gambia,2014,46th ,80.2,High Warning,5.2,6.8,3.7,7.5,7.1,7.4,7.5,7.8,8.3,7.9,6.7,7.2,5.5,-9.6,-1.7,-3,6.8,-0.9
Mozambique,2014,47th ,80,High Warning,6.6,6.6,5.4,8.1,8.3,7.4,7.5,8.7,6.4,8.9,4.9,7.1,5.4,-7.5,-4.6,-2.2,3,0
Iran,2014,48th ,79.9,Elevated Warning,8.3,9.4,8.8,6.4,6.4,5.9,8.7,4.8,9.3,5.3,6.8,7.1,1.7,-10,-0.5,-7.1,8.9,-0.3
Swaziland,2014,49th ,79.5,Elevated Warning,5.7,7,3.6,8.9,7.8,6.6,8.8,7.7,8,8.7,5.2,7.8,3.2,-9.9,-2.6,-2.3,5.9,-0.6
Cambodia,2014,50th ,78.6,Elevated Warning,6.3,8.6,7.3,6.1,7.4,7.2,8.4,8,7.9,7.5,6.1,7.7,2.6,-8.6,-3.4,-5.3,6.8,-2
Solomon Islands,2014,51st ,78.5,Elevated Warning,6.7,8,6.8,7.5,8.6,6,7,7.9,6,8.2,5.2,8.5,4,-8.6,-3.2,-5.7,5.8,-0.2
Rwanda,2014,52nd ,77.1,Elevated Warning,5.9,8.2,8.5,6.7,7.9,7.2,6.5,7.5,7.8,8,8.2,8.1,4.1,-9.9,-1.3,-4.7,4.8,-6.4
Laos,2014,53rd ,76.2,Elevated Warning,6.3,8.3,6,5.8,6.6,7.1,8.6,7.4,8,7.4,5.9,6.9,2.8,-8.6,-2.4,-4.5,7.1,-2.5
Benin,2014,54th ,76.1,Elevated Warning,5.9,6.1,3.6,6.9,7.2,6.5,6.1,8.7,5.1,8.2,6.3,7.6,5.1,-7.3,-2.1,-2.9,5.9,-0.8
Guatemala,2014,55th ,76,Elevated Warning,6.7,6,7.6,6.1,7.9,6.8,6.5,7.1,6.7,7.2,6,5.7,3.1,-6.7,-1.4,-6.9,8.9,-1.3
Papua New Guinea,2014,56th ,75.7,Elevated Warning,6.4,7.1,6.6,6.6,9.3,7.3,6.6,9,6.3,7.6,4.9,6.4,3.8,-6.7,-3.5,-4.6,2.9,-0.3
Madagascar,2014,57th ,75.6,Elevated Warning,6.8,7.6,4.9,7.9,8.2,5.8,7.3,8.8,5.8,8.2,4.2,7.6,4.3,-6.7,-2,-4.3,3.3,-2.1
Tajikistan,2014,58th ,75,Elevated Warning,7.1,8.4,7,7.7,5.9,6.1,9,6.2,7.9,7.5,5.1,6.7,3.4,-9.7,-2.1,-6.3,6.8,-1.7
Colombia,2014,59th ,74.6,Elevated Warning,7,7.7,7.7,4.1,7.8,7,7.4,6.3,7.1,6.2,8,6.8,1.9,-8.9,-0.6,-7.4,8.5,-2
Senegal,2014,60th ,74,Elevated Warning,6.5,6.6,6.6,7,7,7.1,6,7.9,6.5,8.1,7.3,6.2,4.9,-8.7,-2.2,-4.7,6.2,-4.3
Bhutan,2014,61st ,73.9,Elevated Warning,5.3,7.5,7.6,6,7.2,7.1,5.5,6.6,7,6.3,7.2,7.6,2.1,-10,-2.9,-5.1,9.8,-0.9
Georgia,2014,62nd ,72.8,Elevated Warning,7.6,9.5,8,6.3,6.2,5.5,8.7,5.1,6.1,4.9,7.2,7.6,2,-9,-3.1,-7.3,8.7,-1.2
India,2014,63rd ,72.4,Elevated Warning,7.9,6.8,7.8,5.7,7.8,5.2,5.3,7,5.6,7.7,5.1,5,2.4,-8.2,-0.9,-5.1,8.4,-1.1
Kyrgyz Republic,2014,64th ,72.1,Elevated Warning,7.1,8,8.2,7.3,6.7,6.1,8.2,5.9,7.3,6,5.5,7.6,3.2,-9.6,-4.7,-6.5,8.1,-2.3
Indonesia,2014,65th ,71.9,Elevated Warning,6.5,7,7.6,5.5,6.6,6,6.5,6,6.2,7.4,5.9,5.6,2.4,-7.3,-0.8,-5.5,8,-1.7
Turkmenistan,2014,66th ,71.7,Elevated Warning,6.8,7.8,6.9,5.3,6.7,5.1,9.6,6.4,8.5,6,4.2,4.9,3,-9.9,-1.1,-5.5,9.6,-2.6
Micronesia,2014,67th ,71.1,Elevated Warning,5.4,5.6,4.2,7.8,8.3,8.7,6.3,6,3.4,7.2,3.5,8.2,3.2,-7.2,-2.8,-5.3,8.6,0
Tanzania,2014,68th ,71,Elevated Warning,5.2,5.7,5.9,6.7,6.7,6.7,6,8.7,6.3,8.6,6.7,7.6,5.1,-9.7,-1.1,-4.1,3.6,-3.6
Lesotho,2014,69th ,70.6,Elevated Warning,4.9,7,4.7,8.2,7,7.1,5.7,8.2,5.1,8,5.2,7.5,3.2,-9.2,-4.7,-1.1,6.5,-2.7
Israel and West Bank,2014,70th ,70.4,Elevated Warning,6.8,8.1,9.7,4,7.2,3.5,6.6,5.6,7.1,6.3,7.1,7.5,3.1,-9.5,-1.2,-9.2,10,-2.3
Sao Tome and Principe,2014,71st ,70.1,Elevated Warning,5.8,6.3,4.8,8.1,6.6,8.2,6.6,6.2,4.1,6.9,4.6,7.6,4.6,-9.5,-1.5,-4.8,7.3,-1.8
China,2014,72nd ,69.7,Elevated Warning,6.2,7.2,8.6,3.9,7.7,4.8,7.9,6.5,9.1,7.7,5.9,3.5,1.6,-10,-0.6,-7.4,9.4,-2.3
Fiji,2014,73rd ,69.7,Elevated Warning,7,7.9,7.3,7,7.1,7.3,7.8,4.8,7.2,5,3.7,6.9,2.6,-10,-3.3,-6.1,8.9,-1.4
Algeria,2014,74th ,69.3,Elevated Warning,7.5,7.3,7.9,6.1,5.9,5,7.5,6.1,7.4,5.7,6.7,5.7,2.9,-9.5,-1.3,-7.2,8.8,-3.2
Uzbekistan,2014,75th ,69.3,Elevated Warning,7.6,8.8,7.4,7.1,7.3,6.6,9.3,5.4,9.3,6.4,5.7,5.4,2.5,-10,-1,-6.3,0,-2.2
Gabon,2014,76th ,68.6,Elevated Warning,5.1,7.1,3.6,5.1,7,5.5,7.7,7.1,6.6,6.9,5.3,5.2,3.9,-6.3,-1.1,-4.3,5.7,-1.5
Lebanon,2014,77th ,68.6,Elevated Warning,8.6,9.3,8.9,5.6,6,5.7,7.3,5.7,6.8,6,8.6,8.4,1.7,-7.7,-3.6,-8.4,0,-0.3
Russia,2014,78th ,68.5,Elevated Warning,8.6,8.1,8.5,3.6,6.7,4.8,7.6,5,8.7,5.4,5.2,4.3,1.8,-9.7,-0.6,-7.1,9,-1.4
Azerbaijan,2014,79th ,68.4,Elevated Warning,7,7.9,6.7,4.4,6.2,4.7,8.3,5.3,7.7,5.4,7.6,6.6,2,-9.4,-0.9,-6.6,7.1,-1.6
Jordan,2014,80th ,68.3,Elevated Warning,5.5,6.9,7.4,6.6,6.2,3.9,6.4,5,7.3,6.7,8.3,6.5,3.5,-9.9,-3.6,-6.9,9.7,-1.2
Libya,2014,81st ,67.8,Elevated Warning,9.2,8.1,7.5,6.1,6.4,5.5,8.5,7.4,8.7,5.7,5.7,9,2.3,-9.4,-4.7,-6.6,0,-1.6
Ukraine,2014,82nd ,67.5,Elevated Warning,4.7,8,6.4,5.5,5,5.4,8,3.9,6.1,4.5,3.4,6.3,1.5,-0.4,-2.5,-7,9.9,-1.2
Venezuela,2014,83rd ,67,Elevated Warning,6.2,7.7,6.8,5.5,6.9,5.5,7.7,7.5,7.8,5.4,5.1,4.6,2.4,-7.3,-4.1,-7.6,8.6,-1.7
Bolivia,2014,84th ,67,Elevated Warning,6.4,8,6.8,5.9,8.6,6.1,6.9,7,6,6.6,4.3,6.3,3,-9.9,-1.9,-5.5,7.7,-5.3
Samoa,2014,85th ,66.9,Elevated Warning,5.5,5.1,4.8,6.2,5.7,8.9,6,5.1,4.8,6.5,2.4,8.3,4.1,-5.4,-2.6,-7.4,9.5,-0.6
Ecuador,2014,86th ,66.8,Elevated Warning,6.4,8.2,7.5,5.6,7.1,6.5,6.9,6.6,5,5.9,5.7,5.9,2.5,-8,-1.1,-7.7,8,-4.2
Thailand,2014,87th ,66.7,Elevated Warning,7.9,9.5,8,3.6,6.1,3.8,7.1,4.9,7.4,7.6,6.5,4.6,1.5,-10,-3.2,-7.7,9.7,-0.6
Turkey,2014,88th ,66.5,Elevated Warning,7.4,7.3,9,5.3,6.5,3.7,6,5.2,5.9,5.4,7.1,5.3,2.1,-9.6,-1,-7.6,9.9,-1.4
Honduras,2014,89th ,66.2,Elevated Warning,6.4,7,6.1,6.6,7.8,6.3,7,6.7,6,6.7,4.2,7.1,2.6,-9.7,-3.4,-6.9,8.3,-2.6
Bosnia and Herzegovina,2014,90th ,65.9,Elevated Warning,6.5,8.7,7.4,5.5,5.9,5.8,6.8,4.4,6.1,4.1,6.8,7.9,1.3,-8.4,-2.8,-7.8,9.8,-2.1
Namibia,2014,91st ,65.5,Elevated Warning,4.6,3.5,5.6,6.8,8.4,6.8,4.1,7,4.6,7.1,5.8,7.2,3.5,-8.6,-3.2,-4,6.3,0
Dominican Republic,2014,92nd ,65,Elevated Warning,4.9,6.5,6.1,5.5,6.6,7.9,5.7,6.5,5.8,6.5,5.6,5.8,2.5,-9,-1.2,-7.1,8.5,-2.1
Paraguay,2014,93rd ,64.9,Warning,6.2,7.8,6.2,5.4,8.7,4.9,7.4,6.4,6,5.8,2.7,4.1,2.5,-8.5,-2,-6.7,9.5,-1.5
Tunisia,2014,94th ,64.8,Warning,7.3,8.1,7.8,6.3,5.7,5.3,8,5.2,8.1,4.7,4.4,6.6,2.2,-9.9,-2.8,-7.3,8.2,-3.1
Maldives,2014,95th ,64.7,Warning,5.8,8.3,4.9,6.7,4.2,5.9,8.4,6.4,7.4,5.7,5,6.7,2.2,-10,-4.8,-7.5,10,-0.6
Ghana,2014,96th ,64.7,Warning,4.1,5,4.9,6,6.8,7.3,4.8,7.9,4.9,6.9,5.8,6.3,4.1,-9.9,-2.3,-3.3,6.5,-1.1
Belarus,2014,97th ,63.8,Warning,6.1,8.3,7.1,6,5.5,3.7,8.8,5,8.1,5.5,3.6,7.3,1.7,-9.7,-2.8,-7.6,9.9,-2.7
Peru,2014,98th ,63.6,Warning,6.7,6.7,7.3,4.2,7.5,6.4,7.4,6.7,4.8,5.8,5,4.4,2.5,-8.6,-0.8,-7.3,7.1,-2.2
Suriname,2014,99th ,63.3,Warning,5.7,5.8,6.1,7.1,6.9,7.4,5.8,5.5,5.2,5.6,3.3,6.2,2.4,-8.2,-2.6,-6.5,8.8,-1.2
Armenia,2014,100th ,62.8,Warning,5.6,7.4,5.7,5.8,5.3,5.7,6.7,4.4,6.8,4.7,6.7,6.5,1.6,-9.2,-2.2,-7.3,9.7,-1.1
Moldova,2014,101st ,62.6,Warning,6.9,7.8,6.2,6.6,5.6,6.6,6.6,5.4,5.7,5.6,4.7,7.4,1.3,-8.9,-4.2,-6.8,7.9,-1.8
Cape Verde,2014,102nd ,62.6,Warning,5.7,5.5,4.2,6.2,7.2,8.6,6,6.8,4.8,6.8,4.4,7.9,2.4,-9.5,-3.1,-6.4,7.2,-2.1
Morocco,2014,103rd ,62.1,Warning,6,6.6,6.8,5.6,6.6,7.3,6.6,5.9,6.5,5.7,5.6,5.2,2.6,-10,-2.2,-7.1,6.1,-1.7
Nicaragua,2014,104th ,62.1,Warning,5.3,6.8,6.2,6.5,7.6,7.8,7.6,6.9,5.1,5.9,5.1,7.6,2.3,-9.9,-3.1,-7.5,6.1,-4.2
Guyana,2014,105th ,61.1,Warning,5.5,5.1,6.2,6.7,6.5,8.8,5.6,6.3,4.1,5.9,4.1,6.2,2.6,-9.9,-3.9,-4.9,9.3,-3.1
Mexico,2014,106th ,61.1,Warning,7.6,5.1,6.1,4.9,6.9,5.6,5.8,6.3,6,6.7,4.3,5.8,2.2,-8.5,-1.4,-7.8,9.2,-3.7
El Salvador,2014,107th ,60.9,Warning,6.1,4.3,6,6.2,6.9,6.6,5.6,6.4,5.8,7.1,5.6,5.4,2.1,-9.4,-2,-7.3,8.2,-2.7
Serbia,2014,108th ,59.9,Warning,6.2,8,8,6.4,5.6,5,5.8,4.4,5.2,4.2,6.5,6.7,1.5,-9.2,-2.7,-7.5,9.2,-3.4
Belize,2014,109th ,59.8,Warning,5.5,4.3,4.4,5.6,6.5,6.8,6,6.1,4.4,6.2,4.6,6.6,2.6,-9.5,-3.4,-6.1,9.5,-0.3
Kazakhstan,2014,110th ,59.7,Warning,6,7.6,6.5,5.9,5,3.9,7.7,4.8,7.2,5.1,3.8,5,2.7,-9.5,-0.9,-6.9,8.3,-2.5
Vietnam,2014,111th ,59,Warning,5.1,6.9,6,5.7,5.8,5.5,8,5.5,7.6,6.2,5,5.4,2,-9.5,-4.5,-8.2,8.9,-2.4
South Africa,2014,112th ,58.9,Warning,4.9,5.6,5.8,5.8,7.7,4.6,5,6.1,4.3,7.4,6.2,3.2,2.5,-7.2,-1.3,-3.7,6.2,-4.2
Cuba,2014,113th ,57.6,Warning,6,7.2,4.8,4.8,5.9,6,6.8,4.9,7,5.9,5,6.5,1.7,-10,-0.4,-8.5,8.9,-4.9
Brunei Darussalam,2014,114th ,56.5,Warning,5.6,7.4,6.2,3.1,7.8,4.9,7.1,2.5,7.4,4.5,3,4.1,1.9,-10,-1.2,-7.7,9.9,0
Cyprus,2014,115th ,56.3,Warning,4.7,7.9,7.3,6.4,6.7,4.8,5.6,3.3,3.6,4.3,4.2,9.1,1.4,-10,-3,-8.7,10,-1.3
Malaysia,2014,116th ,55.9,Warning,6.5,7,6.2,3.9,5.6,4.8,6.6,4.6,6.9,5.5,4.5,4.1,2.1,-9.7,-3.3,-7.3,8.9,-1
Saudi Arabia,2014,117th ,55.5,Warning,6.9,8,7.7,3.9,6.1,3.4,8.1,4,8.8,6,4.9,5.3,2.6,-9.9,-1.4,-6.9,0,-2
Botswana,2014,118th ,55.4,Warning,3.2,3.3,5.1,6.4,7.8,5.3,4.1,6.3,4.6,8,5.5,4.9,2.8,-9.5,-2.6,-4.6,5.8,-1
Jamaica,2014,119th ,55.2,Warning,6,3.7,4,6.8,5.8,7.5,5.6,5.6,5.1,5.5,3.3,6,2,-9.1,-2.6,-7.5,8.8,-1.3
Macedonia,2014,120th ,54.3,Warning,5.7,7,7.3,5.9,5.9,5.8,5.8,4.1,4.2,3.8,5,5.9,1.5,-9.5,-3.3,-7.3,9.8,-3.3
Brazil,2014,121st ,53.8,Warning,5.6,4.9,5.6,3.6,8,3.8,5.4,5.6,5.6,6.7,3.6,3,1.8,-9.2,-0.1,-7.7,8.6,-1
Albania,2014,122nd ,52.1,Warning,5,6.2,4.7,5.5,4.5,6.9,6.5,4.8,5.5,4.4,3.4,6.2,1.7,-9.9,-2.2,-8.1,9,-2
Romania,2014,123rd ,48,Less Stable,3.8,5.2,6.6,5.7,5,4.4,6.1,4.6,4.2,4,3,4.3,1.5,-9.4,-1.9,-7.7,10,-1.4
Panama,2014,124th ,46.1,Less Stable,4.8,2.5,5.3,3.7,7.6,4.2,4.6,5.2,4.7,5.6,4,3.5,2.6,-7.6,-3.1,-8.3,8.7,-1.9
Mongolia,2014,125th ,46,Less Stable,4.3,5.5,4,4.6,6.5,2.8,4.8,6,5.1,5.8,2.5,6.2,2.8,-10,-2.8,-6.1,5.5,-1.5
Montenegro,2014,126th ,45.6,Less Stable,4.3,6.3,7,4.9,3.2,3.3,4.3,3.9,4.5,3.6,4.8,5.6,1.7,-9,-3,-7.8,9.7,-1.7
Grenada,2014,127th ,45.4,Less Stable,5.3,5.6,3.9,6.1,5.6,8.2,6.2,3.9,4,5.5,3.5,7.4,2.1,-9.7,-2,-6.9,0,-3.3
Bahrain,2014,128th ,44.5,Less Stable,6.2,7.1,7.6,3.5,5.4,3.3,7.9,2.5,7.8,4.9,2.9,5.6,2.1,-9.9,-4.2,-7.4,0,-0.8
Bulgaria,2014,129th ,44.3,Less Stable,4.4,5.3,4.9,5.2,4.8,4.9,4.9,4.1,3.7,4.1,3.4,4.7,1.5,-8.6,-3.4,-7.5,9.9,-2
Oman,2014,130th ,43.4,Less Stable,5,6.6,2.7,4.8,3.9,2.1,6.4,4.1,7.4,5.3,2.3,2.5,2.8,-10,-2.2,-7.8,7.6,-0.1
Kuwait,2014,131st ,43.2,Less Stable,4.2,8,4.9,3.3,5,3.4,7.3,2.8,6.9,5.4,3.7,4.1,2,-9.5,-1.3,-6.8,0,-0.2
Trinidad and Tobago,2014,132nd ,42.4,Less Stable,5.4,5.6,4.4,4.6,5.8,7.8,5.3,5.1,4.9,5.2,3.3,3.9,1.8,-9.1,-2.3,-6.4,0,-2.9
Croatia,2014,133rd ,42.2,Less Stable,4.5,4.4,5.6,5,4.1,4.6,3.7,3.2,4.4,3.5,5.2,4.7,1.5,-9.5,-2.1,-8.2,10,-2.4
Greece,2014,134th ,40.6,Less Stable,4.2,3.5,5.1,6.5,4,4.1,6.4,3.6,3.7,3.5,1.9,5.6,1.3,-10,-1.5,-9.2,10,-2.1
Antigua and Barbuda,2014,135th ,39.5,Less Stable,4.9,3.7,4.1,4.5,5.3,7.6,5.8,4.1,4.7,4.9,3.3,6.1,2.1,-10,-2.9,-7.6,0,-1.1
Seychelles,2014,136th ,38.6,Less Stable,6.4,5.7,4.8,4.9,6.3,5.2,6,3.5,4.9,5.4,3.4,7.2,2.3,-10,-5.4,-7.6,0,-4.4
Argentina,2014,137th ,38.2,Less Stable,3.3,2.8,5.3,4.3,5.7,2.7,4.3,4.1,4.4,4.2,2.3,3.9,2.3,-9.4,-0.2,-8.1,10,-3.7
Costa Rica,2014,138th ,37.8,Less Stable,2.8,3.8,4.4,4.6,5.8,3.2,3.2,4.8,2.3,4.6,4.4,4.6,1.8,-9,-1.5,-8.6,9.9,-3.3
Latvia,2014,139th ,37.5,Less Stable,3.3,4.3,5.8,4.3,4.6,4.1,4.2,3.7,3.3,3.7,3.2,3.5,1.6,-9.1,-3.1,-7.9,9.8,-1.8
Hungary,2014,140th ,36.4,Less Stable,2.6,4.9,4.4,5.6,4.6,3.6,6,3.2,4.1,2.8,2.8,3.7,1.4,-10,-4.4,-7.9,10,-1
Mauritius,2014,141st ,35.3,Less Stable,3.1,3.2,3.5,4.4,4.6,3.9,3.8,4.1,3.7,4.4,2.5,4.9,1.4,-9.7,-3.2,-7.4,10,-1.9
United Arab Emirates,2014,142nd ,35.2,Less Stable,3.1,3.6,4,3.4,4.5,2.7,6.7,3.2,6.5,4.2,2.5,3.2,1.8,-10,-4.8,-7.6,10,-1.8
Bahamas,2014,143rd ,34.3,Stable,4.3,4.5,4.4,4.7,5.3,5.3,4.6,4.7,3.1,6.5,2.7,4,1.8,-9.6,-3.1,-7.6,0,-1.3
Qatar,2014,144th ,33.1,Stable,2.8,5,4.9,2.9,5.1,3.4,6.2,2.3,5.9,4.6,2.1,3.7,2,-8.7,-1.2,-7.9,0,0
