Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
Central African Republic,2014,1st ,114.5,High Alert,9.9,9.7,9.5,7.8,9.4,7,9.5,9.7,9.5,8.7,10,9.9,5,-3.4,-1.6,-0.2,4.1,0
South Sudan,2014,2nd,114.5,High Alert,9.9,10,10,8.8,8.9,6.8,9.7,9.9,9.9,9.1,10,9.9,5,-2.4,-1.4,-1.5,4.6,-2.7
Somalia,2014,3rd ,112.1,High Alert,9.4,10,9.3,9.1,8.7,8.9,9.1,9.6,9.8,9.5,10,9.2,6.5,-2.8,-3.1,-1.6,1.9,-1.4
Chad,2014,4th ,112,High Alert,9.1,9.8,8.5,7.7,8.8,8.3,9.4,10,9.5,9.6,9.8,8.2,6.2,-2.2,-1.9,-0.5,3.2,-1.5
Nigeria,2014,5th ,105.6,Alert,9.5,9.5,9.8,7.3,8.9,7,8.8,9,8.7,8.3,6.9,6,5.7,-3.7,-0.1,-0.5,5.2,-0.7
Congo Democratic Republic,2014,6th ,105.5,Alert,9.4,9.5,9.6,8.2,8.5,7.2,9.3,9.4,10,9.4,9.9,9.8,6.3,-7.6,-1.9,-2.5,2.1,-1.1
Sudan,2014,7th ,104,Alert,9.6,10,9.9,8.1,8.2,8.7,9.3,9.1,9.3,8.6,9.7,9.6,4.7,-9.4,0,-4,5,-2.4
Yemen,2014,8th ,103.7,Alert,9.5,9.4,9.3,9.1,7.8,7.3,8.9,8.5,9,9.1,9,8.5,4.2,-6.7,-1.1,-4.1,6,0
Afghanistan,2014,9th ,102.8,Alert,10,9.4,8.7,8.3,7.5,7.8,9.5,9,8.3,8.8,9.3,9.9,5,-5.3,-2.1,-3.6,5.1,-2.8
Guinea,2014,10th ,102.2,Alert,9.2,9.6,8.4,8.9,7.9,7.5,9.9,9.2,8.5,8,8.3,7.3,5,-3.9,-2.6,-2.2,5.4,-2.2
Cote d Ivoire,2014,11th ,102,Alert,8.8,9.4,9,7.4,7.6,7,8.8,8.7,8.7,7.8,9.1,9.4,5,-7.1,-1.4,-0.7,5.4,-0.9
Pakistan,2014,12th ,101.7,Alert,9.9,9.5,10,7.5,7.6,6.9,8.5,7.6,8.6,8.8,8.8,9.3,3.6,-6.6,-0.5,-4.4,8.7,-2.1
Haiti,2014,13th ,101,Alert,7.5,9.1,7,9.4,9.3,9.1,8.9,9.5,7.5,8.7,8.5,9.8,3,-3.5,-2.6,-3.8,4,-0.4
Syria,2014,14th ,100,Alert,10,9.6,10,6.7,6.9,6.9,9.8,7.2,9.9,6,10,8.6,3,-2.9,-2.8,-7.1,9.4,-1.2
Iraq,2014,15th ,98.9,Alert,10,9.6,10,7,8.1,8,8.7,7.7,8.7,8,8.5,7.9,4.5,-5.6,-1.6,-5.7,7.6,-2.5
Guinea Bissau,2014,16th ,97.7,Alert,8.6,9.6,6,8.4,8.1,8.3,9.3,9.1,7.5,8.5,8.1,9.1,4.8,-8.5,-1.2,-1.9,5.3,-1.4
Niger,2014,17th ,97.1,Alert,8.4,8.9,7.5,8.1,7.9,6.6,7.8,9.3,7.3,9.3,8.2,8.6,7.3,-6.1,-1.7,-2.5,3.5,-1.3
Zimbabwe,2014,18th ,95.4,Alert,8.1,10,8.1,8.3,8.3,8.3,9.3,8.8,8.6,8.9,8.4,7.7,3.9,-9,-1.8,-2.7,5.4,-3.2
Burundi,2014,19th ,92.2,High Warning,7.4,7.9,8.1,8.8,7.5,6.5,8.1,8.6,8,8.7,9,8.5,5.9,-9.5,-1.4,-2,5.2,-3.1
Mali,2014,20th ,91.4,High Warning,8,4.9,7.5,7.9,7.1,8.1,5.9,8.6,6.8,9,7.5,8.5,6.2,-6.7,-1.3,-1.7,6.1,-1
Liberia,2014,21st ,90.9,High Warning,6.8,8.3,6.5,8,8,6.9,6.9,9.3,6.3,8.5,9.1,9.7,4.7,-3.8,-6,-3.1,5.9,-1.1
Kenya,2014,22nd ,90.7,High Warning,8.2,9.3,9.3,7.9,8,7.8,8.4,8.2,6.8,8.7,8.2,8.2,4,-9.1,-1.3,-4.9,4.9,-1.9
Uganda,2014,23rd ,90.4,High Warning,7.9,8.9,8.3,7.3,7.6,6.9,7.8,8.3,7.6,8.7,8.7,8,5.8,-7.3,-1,-2.8,3.2,-3.5
Ethiopia,2014,24th ,89.8,High Warning,8.1,8.7,8.9,7.4,7.3,6.7,7.1,8.9,8,9.4,9,8.4,4.4,-7.2,-1.1,-4.2,2.8,-2.8
Myanmar,2014,25th ,87.8,High Warning,8,8.6,9.3,7,8.1,5.3,9.3,8.3,8,7.3,8.2,6.9,2.3,-8.6,-0.7,-4.8,5.9,-0.6
Egypt,2014,26th ,87.8,High Warning,7.9,9.4,8.6,7.9,6.8,5.1,9,5.7,9.7,7.1,6.4,7.4,3.3,-9.4,-0.7,-6.2,9.8,0
Cameroon,2014,27th ,87.5,High Warning,7.7,9.5,7.8,5.9,7.5,7.5,8.2,8.5,8.3,8.1,7.6,6.5,4.8,-8.5,-1.2,-1.9,4.3,-3.1
Sierra Leone,2014,28th ,87.3,High Warning,5.1,7.7,5.9,8.3,8.5,8.3,7.2,9.1,5.9,8.7,7.8,7.4,4.7,-8,-2.6,0,4.5,-1.2
Equatorial Guinea,2014,29th ,87.2,High Warning,7.2,8.2,6.6,4.2,8.8,6.3,9.7,7.4,9.5,8,3.6,5.8,4.9,0,-1.7,-2,3.1,-2.4
North Korea,2014,30th ,86.4,High Warning,8.5,8.2,6.6,9,8,4.4,9.9,9.2,9.6,7.5,4.7,8.4,2,-9.2,-2.4,-6.3,9.9,-1.6
Bangladesh,2014,31st ,85.9,High Warning,7.8,9.3,8.7,7,7.5,7.2,8.4,8.4,8,7.6,6.9,6,2.2,-9.7,-0.9,-6.2,9.7,-2
Mauritania,2014,32nd ,84.6,High Warning,7.7,8.5,7.2,7.7,6.8,6,7.4,8.6,7.7,8.4,8.8,8.2,4.8,-8.1,-3.4,-3.6,4.4,-2.5
Sri Lanka,2014,33rd ,84.4,High Warning,8.2,9.4,9.3,6.2,7.5,7.6,8.3,5.3,9.1,6.5,8.5,6.7,2.1,-10,-1.1,-7.6,9,-0.6
Malawi,2014,34th ,83.9,High Warning,5.1,7.7,5.7,8.3,8.1,8.4,7.6,8.1,6.5,8.8,6.4,8.4,4.7,-9,-1.8,-3.6,6.2,-1.7
Burkina Faso,2014,35th ,83.7,High Warning,6.9,7.3,5.3,7.4,8.1,6.6,7.8,8.8,6.5,9,7.6,7.7,5.5,-9,-1.8,-2.4,4.3,-1.9
Nepal,2014,36th ,82.5,High Warning,7.3,8.3,9,7.1,7.8,6.2,7.6,7.4,7.6,7.8,7.6,7.3,2.2,-9.1,-1.8,-5.5,8.7,-3
Comoros,2014,37th ,82,High Warning,7.5,7.5,5.3,8.3,6.7,7.5,7.1,8.2,6.9,7.3,4.8,8,4.5,-8.5,-3,-3.8,8,-0.3
Djibouti,2014,38th ,81.3,High Warning,6.9,7.6,6.4,7.2,7.5,5.5,7.9,7.7,6.9,8.1,7.4,8,3,-7.3,-2.3,-3.4,5.5,-1.3
Timor-Leste,2014,39th ,81,High Warning,8,8.3,6.8,8.2,6.4,6.7,7.7,8.5,5.7,8.8,7.1,8.8,5.7,-7.2,-5.2,-5.3,5.9,-3.9
Philippines,2014,40th ,81,High Warning,8.8,8,8.3,5.7,6.3,5.9,7.3,6.9,6.4,7.8,7.7,6.2,3,-5.9,-1.3,-5.9,8.5,-2.7
Zambia,2014,41st ,80.9,High Warning,4.7,5.7,6,8,8.3,7.7,7.7,7.9,6.8,9.3,7.2,6.9,5.1,-8.4,-1.9,-3.3,4.3,-1.1
