Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
United Kingdom,2015,159th,31.3,Stable,2.5,3.5,5.6,3.9,3.7,2.1,2,2.1,1.8,2.6,2.4,1.2,1.8,-1,-1,-9,10,-2.9
Slovenia,2015,160th,26.1,Stable,2.1,1.6,3.9,4.2,3.9,2.8,2.6,2,2,2.8,1.4,2.3,1.6,-0.9,-3.2,-9.2,9.9,-3.7
Japan,2015,161st,25.1,Stable,1.4,2.6,4.2,4.6,1.9,2.6,1.7,2.1,3.4,4.8,3.1,3.6,1.5,-1,-0.4,-10,0,-1
Germany,2015,162nd,24.8,Stable,2.1,2,4.6,2.9,3.3,2.1,1.2,1.6,1.5,2.5,3,1.3,1.5,-0.5,-1.6,-9,10,-3.7
Portugal,2015,163rd,24.7,Stable,1.6,1.8,2.6,5.1,2.9,2.2,1.8,2.7,2.3,2.6,1.6,2.5,1.2,-1.7,-1.6,-9.4,10,-3.5
Belgium,2015,164th,24.2,Stable,2,3.9,4.1,4.5,3.2,1.9,1.9,2.1,1.2,2.5,1.6,1.5,1.7,-1,-3.9,-9.1,10,-3.9
Australia,2015,165th,22.6,Stable,2.1,1.6,4.4,2.1,2.7,1,1.1,2,2.4,1.8,2.1,1,1.8,-0.9,-0.6,-9.3,10,-2.7
Austria,2015,166th,22.6,Stable,1.1,2.7,4.3,2.2,3.4,1.5,1.4,1.6,1.7,2.4,2,1.7,1.5,-0.5,-2.1,-9.2,10,-3.1
Netherlands,2015,167th,22.1,Stable,1.8,2.6,3.9,3.4,2.7,2.6,1,1.5,1,3,2.1,1.2,1.7,-0.3,-3.4,-9,10,-3.7
New Zealand,2015,168th,20.9,Stable,1.1,1.1,4.1,3.9,2.8,2.1,0.5,1.9,1,1.9,1.1,1.1,2,-0.8,-0.9,-8.9,10,-3.1
Ireland,2015,169th,20.6,Stable,1.8,1.3,1.9,4.1,2.7,2.8,1.5,1.9,1.2,2.2,1.4,1.9,1.9,-0.8,-4.5,-9,9.9,-1.6
Iceland,2015,170th,19.3,More Stable,1,1.8,1.3,3.6,1.6,2.8,0.9,1.7,1.1,1.6,1.4,4.6,1.9,-0.6,-2,-9.3,10,-4.1
Switzerland,2015,171st,18.7,More Stable,1.4,1,3.6,2,2.7,2.1,1,1.4,1.8,1.9,2.1,1.3,1.5,-0.2,-2.2,-9.5,10,-3.2
Denmark,2015,172nd,18.3,More Stable,1.5,1.4,3.6,2.5,2.1,1.9,0.5,1.4,1.3,2.5,1.4,1.4,1.7,-0.2,-2.1,-8.9,10,-3.7
Norway,2015,173rd,18,More Stable,2.5,1.1,3.7,1.7,2,1.6,0.4,1.4,1.3,2,1.9,1.2,1.8,-0.2,-1.2,-9.2,10,-4
Sweden,2015,174th,16.2,More Stable,2.1,1.8,1.3,2.3,1.8,1.5,1,1.6,1,2.5,2.3,1,1.9,-0.5,-1.7,-9.3,10,-4.4
Singapore,2015,175th,15.3,More Stable,1.6,4,3.1,2.5,4,3.3,3.8,1.8,4.6,2.9,1.1,1.7,1.2,-0.7,-7.8,-9.4,0,-2.4
Finland,2015,176th,14.6,More Stable,1.4,1.1,1.6,3.8,1,2.3,0.5,1.2,0.9,1.5,1.5,1,1.7,0,-1.5,-9.2,10,-4.2
Canada,2015,177th,13.3,More Stable,2.2,2.5,3.9,1.8,3,2.2,0.9,2,1.8,2.4,2,1,1.6,-0.9,-1.3,-9.2,0,-2.6
Luxembourg,2015,178th,11.3,More Stable,2,3.4,3.1,1.5,1.5,2.1,1.3,1.3,1,1.7,1.7,1.6,1.5,-0.1,-10,-9.5,10,-2.8
