Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
Antigua and Barbuda,2013,141st,50.2,Warning,4.9,3.7,4.1,4.5,5.6,7.6,5.8,4,4.4,4.6,3,5.8,2.1,-9.9,-6,-7.8,0,-1.1
Romania,2013,127th,49.7,Stable,4.1,5.2,6.3,5.7,5.3,4.7,6.4,4.3,3.9,4.3,2.7,4.6,1.4,-9.2,-4.1,-7.9,10,-1.3
Bulgaria,2013,123rd,47,Stable,4.7,5.3,4.6,5,5.1,4.9,4.8,4.4,3.7,4.4,3.1,5,1.5,-9.5,-6.5,-7.9,9.9,-2.5
Bahamas,2013,146th,46.8,Stable,4.3,4.5,4.4,4.5,5.6,5.6,4.9,4.4,2.8,6.6,2.8,4.3,1.8,-9.7,-5.6,-7.8,0,-1.3
Montenegro,2013,129th,46.6,Stable,4.6,6.2,6.5,4.6,3.5,3,4.2,3.6,4.4,3.9,4.5,5.3,1.7,-9.4,-6.1,-7.9,9.6,-1.6
Croatia,2013,131st,46,Stable,4.8,4.4,5.3,5.1,4.4,4.4,3.9,2.9,4.7,3.7,5.5,5,1.5,-9.6,-4.3,-8,9.9,-2.4
Oman,2013,138th,44.9,Stable,5.3,6.6,2.7,4.5,3.6,1.8,6.1,4.4,7.5,5,2,2.4,2.8,-9.8,-5.3,-7.9,7.4,-0.1
Barbados,2013,152nd,43.5,Stable,4.2,4.2,4.4,5.8,5.7,6.2,3.6,2.7,2.5,3.8,2.7,5,1.8,-9.1,-4.9,-7.8,0,-1.7
Greece,2013,136th,41.9,Stable,3.9,3,4.8,6.4,4.3,4.4,5.4,3.9,3,4.3,2,5.1,1.3,-9.9,-3.3,-8.4,10,-2.1
Costa Rica,2013,137th,41,Stable,2.5,3.8,4.1,4.3,6.1,3.5,3.5,4.6,2.4,4.9,4.1,4.9,1.8,-9.5,-3.4,-8.2,9.8,-3.9
Latvia,2013,139th,40,Stable,3.3,4.3,5.4,4,4.9,4.2,4.5,3.4,3.2,3.6,3.3,3.8,1.5,-9.4,-6.4,-7.9,9.8,-2.3
Qatar,2013,159th,39.4,Stable,2.5,5,4.9,2.9,4.8,3.1,5.9,2,5.6,4.3,2.1,4,2,-9.7,-3,-7.9,0,0
United Arab Emirates,2013,134th,39.2,Stable,2.9,3.6,4.3,3.5,4.8,2.4,6.5,2.9,6.4,3.9,2.5,3.5,1.8,-9.8,-8.5,-7.8,10,-1.8
Hungary,2013,135th,39.1,Stable,2.3,4.8,4.1,6,4.9,3.9,5.9,3.1,3.4,2.5,2.9,3.8,1.4,-9.9,-7.9,-7.9,10,-0.9
Argentina,2013,150th,38.9,Stable,3,2.7,5,4,6,3,4.4,3.9,4.1,4.1,2,3.8,2.3,-9.4,-1.5,-8,9.8,0
Estonia,2013,142nd,37.4,Stable,2.9,5.5,5.9,3.5,4.3,3.9,3.8,3,2.4,3.5,3.3,3.3,1.5,-9.4,-8.3,-8.2,9.9,-2.1
Slovak Republic,2013,140th,36.7,Stable,2.3,3.7,5,5.2,4.6,4.5,4.3,3.5,3,3.2,2,3.9,1.3,-9.8,-9,-8,9.7,-1.9
Italy,2013,148th,36.4,Stable,5,4.8,4.7,4.8,3.6,2.6,4.7,2.4,2.9,3.8,3.3,2,1.4,-9.6,-2.7,-8.5,10,-3.1
Mauritius,2013,145th,36.1,Stable,3.3,3.2,3.5,4.1,4.8,3.6,4.1,3.8,3.5,3.8,2.2,4.6,1.4,-9.8,-6.2,-7.8,10,-1.9
Spain,2013,147th,36.1,Stable,4.1,6,5.8,5.5,4.1,3,3.3,3.3,2.2,2.8,2.3,2,1.3,-9.6,-2.9,-8.6,10,-3.6
Lithuania,2013,144th,35.3,Stable,2.5,3,3.7,4.5,5.2,4.1,3.8,3.4,2.9,3.8,2.9,3.2,1.6,-9.3,-8.3,-8,9.2,-2.4
Chile,2013,153rd,35,Stable,2.9,1.4,3.5,4.1,5.5,2.8,3.8,4.3,3.5,4.9,2.4,3.2,1.8,-9.1,-3.3,-8.1,9.9,-1.4
Malta,2013,133rd,33.9,More Stable,3.7,2,4,3.6,3.5,4.1,4.1,2.3,3.3,2.8,5.2,3.8,1.4,-9.9,-15.1,-8.4,10,-1.4
Poland,2013,151st,32.4,More Stable,2.5,3.6,3.8,3.5,3.9,5,3.4,2.8,2.9,3.5,2.8,3.3,1.3,-9.9,-4.4,-8.1,9.6,-2.4
Czech Republic,2013,149th,31.6,More Stable,2.1,4.2,3.8,4.5,3.8,3.4,4.1,3.7,2.4,2.5,2.2,3.2,1.5,-9.8,-7.1,-8.1,10,-2
South Korea,2013,168th,31.5,More Stable,2.1,3.6,3.1,2,2.9,3.9,2.9,1.9,2.6,3,2,5.4,2.6,-6.5,-3.1,-6.1,6.4,-4.2
Uruguay,2013,158th,31.1,More Stable,3.7,2.7,2.8,3.6,4.4,4.7,1.7,3.4,2.3,3.8,1.9,3.5,2,-9.4,-2.6,-8.1,9,-1.2
Japan,2013,173rd,27.9,More Stable,1.7,2.6,3.8,3.7,1.8,2,2.2,2.5,3,5.4,3.7,3.7,1.4,-9.6,-1.8,-8.7,0,-0.8
United States,2013,165th,26,More Stable,2.2,3.9,4.2,3.2,4.8,1,2.3,2.4,3.2,3,2.3,1,1.9,-9.4,-1.7,-8.1,9.7,-1.8
Singapore,2013,154th,25.5,More Stable,1.5,4,2.7,3,3.7,3.3,3.2,1.9,4.9,2.5,1.1,2.2,1.2,-9.7,-17.2,-8.5,0,-2.4
United Kingdom,2013,162nd,25.5,More Stable,2.7,3.5,5,4.1,3.6,2.1,1.6,2.3,1.8,2.5,2.7,1.3,1.8,-9.5,-3.2,-8.3,10,-2.3
France,2013,160th,24.8,More Stable,2.3,1.9,5.9,4,4.3,1.9,2.2,1.5,2.4,2.7,2.2,1.4,2,-9.9,-3,-8.6,10,-2.7
Slovenia,2013,156th,24.4,More Stable,2.5,1.6,3.3,3.6,4.5,3.2,2.8,2.1,2.5,2.5,1.4,2.3,1.6,-9.5,-7,-8.4,9.9,-3.2
Portugal,2013,161st,24,More Stable,1.6,1.3,2.3,5.4,3.4,2.6,2.1,3.5,2.7,2.8,1.6,3.3,1.2,-9.8,-3.9,-8.4,10,-2.9
Belgium,2013,155th,22.9,More Stable,2,3.9,4.1,3.5,3.8,1.8,2.1,2.2,1.5,2.5,1.6,2,1.8,-9.9,-8.1,-8.3,10,-3.8
Germany,2013,164th,21.6,More Stable,2.2,2,4.3,2.6,3.9,2.2,1.4,1.8,1.9,2.4,3.6,1.4,1.4,-9.5,-3.9,-8.3,10,-3.7
Netherlands,2013,163rd,18.9,Very Stable,1.8,2.6,4.1,3.5,2.3,2.2,1,1.5,1,3,2.4,1.5,1.7,-9.7,-7.1,-8.3,10,-3.9
Austria,2013,167th,18.8,Very Stable,1.1,2.7,4.3,1.9,4,1.6,1.5,1.5,2,2.3,2.4,1.6,1.4,-9.5,-5.1,-8.4,10,-3.3
Canada,2013,178th,18.5,Very Stable,1.8,2.5,3.1,1.8,3.5,2.1,1.5,2,2,2.6,2.1,1,1.6,-9.1,-3.2,-8.4,0,-2.5
Australia,2013,172nd,18.2,Very Stable,1.7,1.6,3.6,2.1,3.3,1.1,1,1.8,2.2,3.3,2.7,1,1.9,-9.1,-2.1,-8.4,10,-2.6
Iceland,2013,169th,17.5,Very Stable,1,1.8,1,3.7,1.7,2.8,1.4,1.6,1.3,1.6,1.6,5.2,1.9,-9.1,-4.7,-8.4,10,-4
Ireland,2013,166th,17.2,Very Stable,1.8,1.3,1.6,3.9,2.5,2.8,1.9,1.9,1.3,2.2,1.4,2.2,2,-9.6,-8.7,-8.3,9.9,-1.6
New Zealand,2013,174th,15.6,Very Stable,1.1,1.1,3.5,3.6,3.4,2.4,0.5,1.8,1.2,2.1,1.1,1,2,-9.2,-2.7,-8.3,10,-3.2
Luxembourg,2013,157th,15,Very Stable,2.3,3.4,2.8,1.5,1.5,2.1,1.9,1.3,1,1.7,1.8,2,1.6,-9.9,-16,-8.4,10,-2.3
Denmark,2013,171st,14.2,Very Stable,1.5,1.4,3.4,1.9,1.6,1.9,1,1.4,1.7,2.5,1.6,2,1.7,-9.4,-4.8,-8.2,10,-3.9
Norway,2013,176th,13.8,Very Stable,2.7,1.1,3.6,1.9,1.5,1.6,0.5,1.4,1.9,2,1.9,1.3,1.8,-9.4,-2.9,-8.4,10,-4
Switzerland,2013,170th,13.4,Very Stable,1.4,1,3.5,2.3,2.3,2.1,0.8,1.4,1.7,2.1,1.5,1.4,1.5,-9.6,-6,-8.5,10,-2.9
Sweden,2013,175th,11.8,Very Stable,2.2,1.8,1,1.7,1.7,1.7,0.5,1.9,1.3,2.5,2.4,1,1.9,-9.8,-3.9,-8.4,10,-4.5
Finland,2013,177th,10.1,Very Stable,1,1.1,1.4,3.2,1,2.3,1,1.5,1.1,1.9,1.6,1,1.8,-9.8,-4,-8.4,10,-4.3
