Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
Sierra Leone,2013,34th,86.8,High Warning,5.4,7.9,5.9,8.6,8.5,8,7.3,9,6.1,9,8.1,7.4,4.8,-9.2,-5.9,-5.1,4.4,-1.2
Congo Republic,2013,38th,86.4,High Warning,6.7,6.7,6,7,8.2,6.2,8.7,8.7,7.5,8.2,8,8.2,4.8,-8.5,-6.6,-6.4,3.4,-0.7
Angola,2013,52nd,85.3,High Warning,6.1,7.3,6.8,5.1,9.4,5.9,8.6,8.4,7.3,8.9,7.2,6.1,5.9,-7.7,-3.9,-6.3,2.4,-3.4
Bangladesh,2013,20th,85.2,High Warning,7.7,8.9,8.6,7.3,7.8,7.5,8.3,8,7.3,8.1,7.3,5.8,2.2,-9.6,-2.7,-7.3,9.7,-2
Sri Lanka,2013,26th,85.2,High Warning,8.5,9.3,9.5,5.9,7.8,7.3,8.2,5.5,9,6.8,8.4,6.8,2.1,-9.9,-2.9,-7.8,8.9,-0.6
Malawi,2013,35th,85.1,High Warning,5,7.6,5.7,8.4,8,8.1,7.5,8.2,6.8,8.9,6.5,8.4,4.9,-8.9,-4.3,-6.3,6.1,-2.2
Nepal,2013,22nd,84.9,High Warning,7.6,8.2,9,7.3,8.1,5.9,8.1,7.3,7.9,7.6,7.7,7.1,2.3,-9.2,-3.7,-7.1,8.6,-3.3
Egypt,2013,32nd,84.3,High Warning,7.3,8.7,8.5,8.2,7.1,5.4,8.9,5.6,9.6,7.2,6.5,7.7,3.3,-9.7,-2.3,-7.3,9.8,0
Togo,2013,41st,84,High Warning,7.4,7.5,4.8,7.4,7.6,6.8,8.3,8.3,7.8,8.2,7.1,6.5,4.7,-8.4,-7.2,-6,4.3,-1.5
Zambia,2013,58th,83.9,High Warning,5,5.7,6,8.3,8,7.4,8,7.6,6.7,9.3,7.4,7.2,5.2,-7.9,-4.4,-6.2,4.2,-1.2
Rwanda,2013,28th,83.7,High Warning,5.5,8.2,8.2,6.7,7.7,6.9,6.5,7.6,7.7,8.4,7.9,8,4.2,-9.8,-3.2,-6.8,4.8,-6.4
Cambodia,2013,36th,82.3,High Warning,6.2,8,7,6.4,7.3,7.4,8.3,8.1,7.8,7.2,6.2,8,2.7,-8.3,-6.7,-7,6.7,-2
Iran,2013,40th,81.6,High Warning,8.6,9.4,8.8,6.5,6.7,6.1,8.9,5,9.4,5.5,7.3,7.5,1.7,-9.8,-2,-7.6,8.9,-0.3
Papua New Guinea,2013,96th,80.8,High Warning,6.6,7.1,6.6,6.9,9.1,7.5,7.1,8.9,6.2,7.6,5,6.3,3.8,-7.9,0,-6.8,2.9,-0.3
Djibouti,2013,81st,80.4,High Warning,6.6,7.5,6.2,6.9,7.3,5.2,7.8,7.4,7,8.3,7.2,8.1,3.1,-8.2,0,-6.3,5.5,-1.3
Mozambique,2013,51st,80.3,High Warning,6.5,5.6,4.9,8,8,7.2,7,8.5,6.4,9.2,4.6,6.8,5.4,-7.8,-8.4,-5.8,2.9,-3.9
Lebanon,2013,77th,79.9,Elevated Warning,8.5,9.2,8.5,5.3,6.2,6,7.2,5.6,6.8,6.3,8.5,8.2,1.7,-8.1,-7.1,-8.1,0,-0.3
Solomon Islands,2013,44th,79.9,Elevated Warning,6.7,8,6.8,7.8,8.3,5.7,7.3,8,5.9,7.7,4.9,8.2,4,-9.4,-6.7,-7.1,6,-0.2
Comoros,2013,47th,79.9,Elevated Warning,7.5,7.5,5.3,8.2,6.4,7.2,7.4,7.9,6.6,7.4,4.5,8.1,4.6,-8.7,-6,-6.5,8.1,-0.3
Madagascar,2013,79th,79.8,Elevated Warning,7,7.5,4.9,8.2,7.9,5.5,7.2,8.6,5.9,8.1,4.3,7.7,4.4,-7.4,-4.3,-6.6,3.2,-1.8
Uzbekistan,2013,76th,79.4,Elevated Warning,7.9,8.7,7.5,7.2,7.6,6.3,9,5.4,9.2,6.7,6,5.4,2.4,-9.9,-3.1,-7.4,0,-2.2
Kyrgyz Republic,2013,25th,79.2,Elevated Warning,7.4,8,8.4,7.6,7,6.4,8.4,5.9,7.6,6.2,5.6,7.3,3.1,-9.7,-9.2,-7.4,8,-2.3
Tajikistan,2013,37th,79.1,Elevated Warning,7.4,8.3,6.7,8,6.2,5.9,9.1,6.3,8.2,7.4,5.3,6.4,3.5,-9.6,-6.8,-7.4,6.6,-1.9
Swaziland,2013,56th,79,Elevated Warning,6,7,3.6,8.9,7.5,6.3,8.7,7.8,8.3,9,4.9,7.5,3.3,-9.8,-5.3,-5.8,5.8,-0.6
Laos,2013,54th,77.9,Elevated Warning,6.6,8.3,6.1,5.7,6.1,6.8,8.6,7.3,8.3,7.5,5.8,6.6,2.9,-8.7,-4.9,-6.7,6.9,-2.5
Gambia,2013,61st,77.7,Elevated Warning,5.5,6.8,3.7,7.8,6.8,7.1,7.6,7.5,8,7.7,6.4,6.9,5.6,-9.7,-4.1,-6.2,6.8,-0.8
Libya,2013,99th,77.4,Elevated Warning,8.9,8,7.4,5,6.7,4.2,8.4,7.3,9,5.5,5.4,8.8,2.4,-9.6,0,-7.5,0,-1.7
Tanzania,2013,74th,77.2,Elevated Warning,5.5,5.7,6,6.8,6.4,6.4,6.2,8.8,6.2,8.6,6.8,7.7,5.2,-9.1,-3.1,-6.5,3.4,-3.6
Senegal,2013,48th,77.2,Elevated Warning,6.2,6.6,6.3,7.2,6.8,6.8,5.9,7.8,6.2,8.3,7,6.3,5,-9.2,-4.9,-6.8,6,-4.3
