Country,Year,Rank,Total discretized,Total,security apparatus discretized,C1  Security Apparatus,factionalized elites discretized,C2 Factionalized Elites,group grievance discretized,C3 Group Grievance,economy discretized,E1 Economy,economic inequality discretized,E2 Economic Inequality,human flight and brain drain discretized,E3 Human Flight and Brain Drain,state legitimacy discretized,P1 State Legitimacy,public services discretized,P2 Public Services,human rights discretized,P3 Human Rights,demographic pressures discretized,S1 Demographic Pressures,refugees discretized,S2 Refugees and IDPs,External Intervention discretized,X1 External Intervention,"Fertility rate, total (births per woman) discretized","Fertility rate, total (births per woman)","Immunization, DPT discretized","Immunization, DPT",Imports of goods and services discretized,Imports of goods and services ,"Life expectancy at birth, female (years) discretized","Life expectancy at birth, female (years)","People using basic drinking water services, rural  discretized","People using basic drinking water services, rural",Proportion of seats held by women in national parliaments discretized,Proportion of seats held by women in national parliaments 
Guinea Bissau,2015,18th,high warning,123.7,very low,8.8,very low,9.6,neutral,5.7,very high,8.7,very low,8.4,very low,8.5,very low,9,very high,9.2,high,7.2,very low,8.2,low,7.8,very low,8.8,neutral,4.7,very high,9.1,very low,1.3,very low,1.9,neutral,5.4,very low,1.4
Timor-Leste,2015,19th,high warning,123.6,low,7.7,very low,8.3,low,6.5,very high,8.4,low,6.7,low,7,low,7.4,very high,8.4,neutral,5.8,very low,8.9,low,6.8,very low,8.7,neutral,5.6,very high,8.2,neutral,4,neutral,5.3,low,6,low,3.9
Nigeria,2015,20th,high warning,123.5,very low,9.9,very low,9.8,very low,9.9,high,7.6,very low,8.8,low,7.1,very low,9.1,very high,9.1,very high,8.8,very low,8.8,low,7.5,low,6,neutral,5.6,very high,9,very low,0,very low,0.5,neutral,5.4,very low,0.6
Niger,2015,21st,high warning,123.3,very low,8.7,very low,8.9,low,7.5,very high,8.2,very low,8.4,low,6.9,low,7.5,very high,9.3,high,6.8,very low,9.6,low,7.9,very low,8.1,low,7.3,very high,9.2,very low,1.6,low,2.5,high,3.6,very low,1.3
Ethiopia,2015,22nd,high warning,122.5,very low,8.4,very low,8.6,very low,8.5,high,6.9,low,7.1,low,7,low,7.4,very high,8.6,very high,8.5,very low,9.2,very low,9.4,low,7.9,neutral,4.3,very high,8.4,very low,1.1,neutral,4.3,high,3,low,3.9
Mauritania,2015,23rd,high warning,122.4,low,7.4,very low,8.8,low,6.9,very high,8,low,7.1,low,6.3,low,7.9,very high,8.9,very high,8,very low,8.6,very low,8.5,very low,8.5,neutral,4.7,very high,8.8,low,3.4,low,3.6,neutral,4.5,low,2.5
Cote d Ivoire,2015,24th,high warning,122.2,very low,8.3,very low,9.1,very low,8.7,high,7.1,low,7.9,low,6.7,very low,8.5,very high,9,high,7.9,very low,8.1,very low,9,very low,9.7,neutral,5,very high,8.9,very low,1.3,very low,0.7,neutral,5.4,very low,0.9
Kenya,2015,25th,high warning,121.8,very low,8.4,very low,8.9,very low,9,high,7.5,very low,8.3,low,7.5,very low,8.1,high,7.9,high,6.5,very low,9,very low,8.3,low,8,high,3.9,high,7.6,very low,0.9,neutral,4.9,neutral,5,low,2
Uganda,2015,26th,high warning,121.2,low,7.6,very low,8.9,very low,8.7,high,7,low,7.3,low,7.3,very low,8,very high,8.3,high,7.9,very low,8.9,very low,8.8,very low,8.3,neutral,5.7,very high,8.1,very low,1,low,2.8,high,3.2,low,3.5
Bangladesh,2015,27th,high warning,120.5,low,7.7,very low,9.6,very low,8.4,high,6.7,low,7.2,low,7.5,very low,8.5,very high,8.1,high,7.7,very low,8.1,low,6.6,neutral,5.7,high,2.1,high,7.8,very low,0.8,high,6.3,very low,9.7,low,2
