Country,Year,Rank,Total,Total discretised,C1: Security Apparatus,C1: Security Apparatus Discretised,C2: Factionalized Elites,C2: Factionalized Elites Discretised,C3: Group Grievance,C3: Group Grievance Discretised,E1: Economy,E1: Economy Discretised,E2: Economic Inequality,E2: Economic Inequality Discretised,E3: Human Flight and Brain Drain,E3: Human Flight and Brain Drain Discretised,P1: State Legitimacy,P1: State Legitimacy Discretised,P2: Public Services ,P2: Public Services Discretised,P3: Human Rights,P3: Human Rights Discretised,S1: Demographic Pressures,S1: Demographic Pressures Discretised,S2: Refugees and IDPs,S2: Refugees and IDPs Discretised,X1: External Intervention,X1: External Intervention Discretised,"Fertility rate, total (births per woman)","Fertility rate, total (births per woman) Discretised","Immunization, DPT (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months) Discretised",Imports of goods and services (% of GDP),Imports of goods and services (% of GDP) Discretised,"Life expectancy at birth, female (years)","Life expectancy at birth, female (years) Discretised","People using basic drinking water services, rural (% of rural population)","People using basic drinking water services, rural (% of rural population) Discretised",Proportion of seats held by women in national parliaments (%),Proportion of seats held by women in national parliaments (%) Discretised
Laos,2012,62nd,112.7,Elevated warning,6.9,High,8.6,Very Low,6.3,Low,6.7,High,5.8,Neutral,7.1,Low,8.3,Very Low,7.4,High,8.2,Very High,7.8,Low,5.5,Neutral,6.9, Low,3,High,7.3,High,2.7,Low,4.2,Neutral,5.5,Neutral,4.4,Neutral
Philippines,2012,63rd,112.6,Elevated warning,8.4,Very High,8,Low,7.6,Low,5.3,Neutral,6.8,Low,6.5,Low,7.9,Low,6.3,High,7,High,7.3,Low,6.2,Low,5.8,Neutral,3.1,High,8.5,Very High,1.9,Very Low,5.6,Neutral,6.3,Low,4.1,Neutral
Nicaragua,2012,64th,112.3,Elevated warning,5.9,Neutral,6.8,Low,6.2,Low,6.9,High,8.2,Very Low,7.5,Low,7.4,Low,7,High,5.7,Neutral,6.5,Low,4.3,Neutral,7, Low,2.3,High,9.9,Very High,3.9,Low,6.9,High,2.7,High,7.1,HIgh
Papua New Guinea,2012,65th,112.3,Elevated warning,6.3,High,7.1,Low,6.9,Low,6.6,High,8.8,Very Low,7.2,Low,7.6,Low,8.6,Very High,6.1,High,7.4,Low,4.8,Neutral,6.1, Low,3.9,High,6.7,High,3.4,Low,4.4,Neutral,10,Very Low,0.5,Very Low
Cuba,2012,66th,111.8,Elevated warning,6.6,High,6.9,Low,4.8,Neutral,5.5,Neutral,5.9,Neutral,6.6,Low,6.4,Low,5,Neutral,7.4,High,6,Neutral,5,Neutral,7, Low,1.7,Very High,10,Very High,1.1,Very Low,8,High,9.8,Very Low,8,HIgh
China,2012,67th,111.7,Elevated warning,6,Neutral,6.9,Low,7.9,Low,3.9,Low,8.3,Very Low,5.3,Neutral,7.9,Low,6.3,High,8.6,Very High,7.9,Low,5.9,Neutral,3.5,High,1.6,Very High,10,Very High,1.3,Very Low,6.9,High,9.7,Very Low,3.8,Low
Mexico,2012,68th,111.6,Elevated warning,7.7,High,5.2,Neutral,5.8,Neutral,5.7,Neutral,7.5,Low,6.2,Low,6.6,Low,6.1,High,6.2,High,6,Neutral,4.2,Neutral,6.4, Low,2.3,High,10,Very High,1.9,Very Low,7.3,High,9.9,Very Low,6.5,HIgh
Guatemala,2012,69th,111.5,Elevated warning,7.3,High,6,Neutral,7.1,Low,6.1,High,7.6,Low,6.8,Low,6.8,Low,6.7,High,6.7,High,7,Low,5.9,Neutral,5.4,Neutral,3.2,High,9.6,Very High,2.1,Low,6.4,High,8.4,Very Low,2.4,Low
Morocco,2012,70th,111.2,Elevated warning,6.6,High,6.6,Low,6.8,Low,5.6,Neutral,7.2,Low,6.7,Low,6.6,Low,6.2,High,6.4,High,6.1,Low,6.2,Low,5.2,Neutral,2.6,High,10,Very High,2.9,Low,6.6,High,10,Very Low,3,Low
Israel and West Bank,2012,71st,111,Elevated warning,6.8,High,8.1,Very Low,9.5,Very Low,4,Low,7.8,Low,3.5,High,7,Low,6.2,High,7.9,High,6.5,Low,7.3,Low,7.6, Low,3.1,High,9.3,Very High,2,Very Low,8.6,Very High,2.3,High,3.6,Low
Indonesia,2012,72nd,110.9,Elevated warning,7.1,High,7,Low,7.1,Low,6,Neutral,7.2,Low,6.6,Low,6.7,Low,6.2,High,6.8,High,7.4,Low,6.3,Low,6.2, Low,2.5,High,7.9,High,1.4,Very Low,5.2,Neutral,10,Very Low,3.3,Low
Tunisia,2012,73rd,110.8,Elevated warning,7.5,High,7.8,Low,5.6,Neutral,5.5,Neutral,6.3,Low,5.2,Neutral,7.8,Low,5,Neutral,8.3,Very High,5.2,Neutral,4,High,6,Neutral,2.2,High,9.7,Very High,3.4,Low,6.9,High,9.7,Very Low,4.7,Neutral
Turkmenistan,2012,74th,110.8,Elevated warning,7.2,High,7.7,Low,6.4,Low,5.7,Neutral,6.8,Low,4.8,Neutral,9,Very Low,6.4,High,8.4,Very High,6.2,Low,3.9,High,4.9,Neutral,2.9,High,9.7,Very High,2.5,Low,5.2,Neutral,10,Very Low,3,Low
Serbia,2012,75th,110.7,Elevated warning,6.4,High,8,Low,7.9,Low,6.2,High,6.2,Low,4.7,Neutral,6.6,Low,4.6,Neutral,5.8,Neutral,5,Neutral,6.3,Low,7.3, Low,1.5,Very High,8.9,Very High,3.1,Low,7,High,9.3,Very Low,5.9,Neutral
Bhutan,2012,76th,110.5,Elevated warning,5.9,Neutral,7.5,Low,7.6,Low,6.6,High,7.8,Low,6.5,Low,6.3,Low,6.6,High,7.3,High,6.7,Low,6.6,Low,7, Low,2.2,High,9.7,Very High,3.6,Low,4.7,Neutral,6.3,Low,1.5,Very Low
Azerbaijan,2012,77th,110.1,Elevated warning,6.7,High,7.8,Low,7.2,Low,5.2,Neutral,6.6,Low,5.1,Neutral,8,Low,5.4,Neutral,7.3,High,5.6,Neutral,7.6,Low,7.2, Low,2,Very High,8.7,Very High,1.4,Very Low,6.2,High,9.2,Very Low,2.8,Low
Swaziland,2012,78th,109.9,Elevated warning,6.3,High,7,Low,3.6,High,8.3,Very High,7,Low,5.8,Neutral,8.6,Very Low,7.7,High,8.3,Very High,8.9,Very Low,4.6,Neutral,7.4, Low,3.4,High,9.5,Very High,3.2,Low,1.8,Very Low,6.2,Low,2.4,Low
Honduras,2012,79th,109.7,Elevated warning,7,High,6.3,Low,5.6,Neutral,7.2,High,8.1,Very Low,6.9,Low,7,Low,6.7,High,6.2,High,7.3,Low,3.6,High,6.6, Low,2.7,High,9.7,Very High,4,Low,6.4,High,4.9,Neutral,3.5,Low
Cape Verde,2012,80th,109.5,Elevated warning,5.7,Neutral,5.7,Neutral,4.2,Neutral,6.6,High,6.6,Low,8.4,Very Low,6.6,Low,6.6,High,5.4,Neutral,7,Low,4,High,7.9, Low,2.5,High,9.3,Very High,3.4,Low,6.1,High,9.7,Very Low,3.7,Low
Madagascar,2012,81st,109.3,Elevated warning,6.9,High,7.8,Low,5.2,Neutral,7.9,High,7.6,Low,5.2,Neutral,7.3,Low,8.3,Very High,6,Neutral,8,Low,4.4,Neutral,8, Low,4.4,Neutral,6.1,High,2.5,Low,4,Low,6.5,Low,3.1,Low
Turkey,2012,82nd,109.1,Elevated warning,7.7,High,7.5,Low,8.6,Very Low,5.6,Neutral,7.1,Low,4.2,Neutral,6.2,Low,6,Neutral,5.3,Neutral,6,Neutral,6.5,Low,5.9,Neutral,2.1,High,9.7,Very High,1.6,Very Low,7.1,High,9.4,Very Low,2.5,Low
Jordan,2012,83rd,109,Elevated warning,5.7,Neutral,6.3,Low,7,Low,6.4,High,6.8,Low,4.4,Neutral,6.3,Low,4.6,Neutral,7.1,High,6.5,Low,7.3,Low,6.5, Low,3.6,High,9.9,Very High,4.3,Neutral,6.5,High,8,Low,1.9,Very Low
Guyana,2012,84th,109,Elevated warning,6.1,High,5.1,Neutral,6.2,Low,6.1,High,7.1,Low,8.6,Very Low,6.5,Low,5.7,Neutral,4.7,Neutral,6.1,Low,3.5,High,5.7,Neutral,2.6,High,9.7,Very High,5,Neutral,4.7,Neutral,10,Very Low,5.6,Neutral
El Salvador,2012,85th,109,Elevated warning,6.7,High,4.3,Neutral,6,Neutral,6,Neutral,7.3,Low,7.2,Low,6.2,Low,6.6,High,6.4,High,7.7,Low,5.2,Neutral,4.8,Neutral,2.2,High,9.1,Very High,2.5,Low,6.8,High,9.3,Very Low,4.7,Neutral
Sao Tome and Principe,2012,86th,108.8,Elevated warning,5.8,Neutral,6.3,Low,4.8,Neutral,7.4,High,6.1,Low,7.6,Low,6.7,Low,6.7,High,4.6,Neutral,6.8,Low,4,High,7, Low,4.7,Neutral,9.6,Very High,3.3,Low,4.6,Neutral,9.6,Very Low,3.2,Low
Russia,2012,87th,108.7,Elevated warning,8.2,Very High,8,Low,7.9,Low,4,Low,7.3,Low,5.4,Neutral,7.9,Low,5,Neutral,8.1,Very High,6,Neutral,5,Neutral,4.3,Neutral,1.7,Very High,9.7,Very High,1.2,Very Low,6.6,High,10,Very Low,2.4,Low
Thailand,2012,88th,108.6,Elevated warning,7.3,High,8.8,Very Low,7.8,Low,4,Low,6.9,Low,4,High,6.5,Low,4.7,Neutral,7.2,High,8.2,Very Low,6.7,Low,4.9,Neutral,1.5,Very High,10,Very High,3.9,Low,7.2,High,6.2,Low,2.8,Low
Comoros,2012,89th,108.5,Elevated warning,7.5,High,7.5,Low,5.3,Neutral,7.9,High,6.1,Low,6.9,Low,7.7,Low,7.9,High,6.3,High,7.3,Low,4.2,Neutral,8.4,Very Low,4.6,Neutral,8.3,Very High,3.2,Low,3.6,Low,5.3,Neutral,0.5,Very Low
Algeria,2012,90th,108.2,Elevated warning,7.1,High,6.8,Low,8.1,Very Low,5.5,Neutral,6.5,Low,5.4,Neutral,7.2,Low,5.9,Neutral,7.4,High,6.1,Low,6.5,Low,5.5,Neutral,2.9,High,9.5,Very High,1.6,Very Low,6.7,High,3.8,High,5.6,Neutral
Bosnia and Herzegovina,2012,91st,108.1,Elevated warning,6.7,High,8.7,Very Low,8,Low,5.5,Neutral,6.5,Low,5.8,Neutral,7,Low,4.7,Neutral,6.1,High,4.7,Neutral,6.5,Low,7.7, Low,1.3,Very High,9.1,Very High,3.2,Low,7.3,High,5.5,Neutral,3.8,Low
Lesotho,2012,92nd,107.8,Elevated warning,5.5,Neutral,7,Low,4.7,Neutral,8.6,Very High,6.4,Low,6.5,Low,6.3,Low,8,High,5.7,Neutral,8.7,Very Low,4.6,Neutral,6.9, Low,3.3,High,9.5,Very High,5.8,Neutral,1,Very Low,4.6,Neutral,4.7,Neutral
Benin,2012,93rd,107.7,Elevated warning,6,Neutral,6.4,Low,3.6,High,7.6,High,6.9,Low,6.3,Low,6.4,Low,8.3,Very High,5.4,Neutral,8,Low,6.8,Low,7, Low,5.2,Neutral,7.5,High,2,Very Low,2.8,Low,10,Very Low,1.5,Very Low
Equatorial Guinea,2012,94th,107.7,Elevated warning,7.8,High,8.2,Very Low,6.6,Low,4.8,Neutral,8.8,Very Low,6.9,Low,9.4,Very Low,7.8,High,9.1,Very High,8.2,Very Low,3,High,5.7,Neutral,5,Neutral,0,Very Low,2.6,Low,2,Very Low,10,Very Low,1.8,Very Low
Venezuela,2012,95th,106.9,Elevated warning,6.7,High,7.3,Low,6.7,Low,5.9,Neutral,7.2,Low,6.1,Low,7.9,Low,6.3,High,7.7,High,5.7,Neutral,4.5,Neutral,5.2,Neutral,2.4,High,7.6,High,1.4,Very Low,7.2,High,8.1,Very Low,3,Low
Dominican Republic,2012,96th,105.7,Elevated warning,5.5,Neutral,6.5,Low,5.8,Neutral,5.8,Neutral,7.2,Low,7.6,Low,5.7,Neutral,6.5,High,6,Neutral,6.5,Low,5.2,Neutral,5.9,Neutral,2.5,High,8.1,Very High,1.9,Very Low,6.7,High,8.5,Very Low,3.7,Low
Maldives,2012,97th,105.6,Elevated warning,5.7,Neutral,7.6,Low,4.9,Neutral,6.4,High,4.7,Neutral,6.5,Low,7.9,Low,6.6,High,7.5,High,5.7,Neutral,5.6,Neutral,6.1, Low,2.2,High,10,Very High,4.9,Neutral,7,High,5.2,Neutral,1.2,Very Low
Kazakhstan,2012,98th,105.3,Elevated warning,6.3,High,7.7,Low,6.5,Low,6.5,High,5.6,Neutral,3.5,High,7.5,Low,5.4,Neutral,7.1,High,5.6,Neutral,3.5,High,5.6,Neutral,2.6,High,10,Very High,1.7,Very Low,6.2,High,9.7,Very Low,4.3,Neutral
Armenia,2012,99th,104.7,Warning,5.2,Neutral,7,Low,5.7,Neutral,5.6,Neutral,5.9,Neutral,6.3,Low,6.8,Low,4.7,Neutral,6.8,High,5.2,Neutral,6.8,Low,6.1, Low,1.7,Very High,9.5,Very High,2.8,Low,6.8,High,10,Very Low,1.9,Very Low
Vietnam,2012,100th,104.6,Warning,5.7,Neutral,6.9,Low,6,Neutral,6.1,High,5.9,Neutral,6,Neutral,7.5,Low,6.1,High,7.4,High,6.1,Low,4.4,Neutral,5.9,Neutral,2,Very High,9.7,Very High,4.4,Neutral,7.7,High,2.5,High,4.3,Neutral
Mali,2012,101st,104.1,Warning,7.1,High,4.5,Neutral,6,Neutral,7.5,High,6.4,Low,7.3,Low,5.3,Neutral,8,High,4.6,Neutral,8.8,Very Low,5.5,Neutral,7, Low,6.4,Low,5.6,Neutral,1.8,Very Low,1.7,Very Low,8.9,Very Low,1.8,Very Low
Saudi Arabia,2012,102nd,104,Warning,7.2,High,7.9,Low,7.7,Low,3.4,Low,6.7,Low,2.9,High,7.6,Low,4.3,Neutral,8.6,Very High,5.8,Neutral,5.5,Neutral,5.9,Neutral,2.8,High,9.9,Very High,1.7,Very Low,6.5,High,9.7,Very Low,0,Very Low
Namibia,2012,103rd,103.6,Warning,5.2,Neutral,3.5,High,5.6,Neutral,6.4,High,8.5,Very Low,6.8,Low,4.4,Neutral,6.6,High,5.2,Neutral,7.1,Low,5.3,Neutral,6.3, Low,3.6,High,8,High,3.4,Low,3.3,Low,10,Very Low,4.3,Neutral
Seychelles,2012,104th,103.3,Warning,6.1,High,5.7,Neutral,4.8,Neutral,4.9,Neutral,6.9,Low,5.2,Neutral,6.3,Low,3.8,Low,5.5,Neutral,5.5,Neutral,3.6,High,6.8, Low,2.4,High,9.9,Very High,6.3,High,7.5,High,4.4,Neutral,7.8,HIgh
Peru,2012,105th,103.1,Warning,6.9,High,6.6,Low,7.1,Low,4.6,Neutral,8,Low,6.4,Low,7.1,Low,6.6,High,4.9,Neutral,6.1,Low,4.4,Neutral,4.8,Neutral,2.5,High,9.5,Very High,1.4,Very Low,6.8,High,5.6,Neutral,3.8,Low
Suriname,2012,106th,102.9,Warning,5.8,Neutral,5.8,Neutral,6.1,Low,6.6,High,7.5,Low,7.3,Low,6.4,Low,5,Neutral,5.3,Neutral,5.8,Neutral,3.2,High,6.4, Low,2.5,High,8,High,3,Low,6.1,High,10,Very Low,2.1,Low
India,2012,107th,102.4,Warning,7.5,High,6.8,Low,7.9,Low,5.5,Neutral,8.4,Very Low,5.9,Neutral,5.5,Neutral,6.9,High,5.8,Neutral,7.3,Low,5.5,Neutral,5,Neutral,2.5,High,7.7,High,1.8,Very Low,4.7,Neutral,5.8,Neutral,2,Very Low
Macedonia,2012,108th,101.9,Warning,5.7,Neutral,6.7,Low,7.6,Low,5.9,Neutral,6.5,Low,6.4,Low,6.4,Low,4.2,Neutral,4.6,Neutral,4.2,Neutral,4.9,Neutral,5.9,Neutral,1.5,Very High,9.5,Very High,3.8,Low,6.9,High,5.5,Neutral,5.8,Neutral
Cyprus,2012,109th,101.2,Warning,5,Neutral,7.9,Low,7.3,Low,5.4,Neutral,7,Low,5,Neutral,5.2,Neutral,3.1,Low,3.3,Low,4.1,Neutral,4.7,Neutral,8.8,Very Low,1.4,Very High,10,Very High,3.1,Low,8.2,Very High,9.8,Very Low,1.9,Very Low
Belize,2012,110th,99.5,Warning,5.5,Neutral,4.3,Neutral,4.4,Neutral,5.4,Neutral,6.9,Low,7,Low,6,Neutral,5.9,Neutral,3.9,Low,6.8,Low,5.1,Neutral,6,Neutral,2.6,High,9.9,Very High,3.6,Low,5.8,Neutral,9.9,Very Low,0.6,Very Low
Micronesia,2012,111th,98.8,Warning,5.4,Neutral,5.6,Neutral,4.2,Neutral,7,High,7.5,Low,8.1,Very Low,6.3,Low,6.6,High,2.8,Low,6.8,Low,3.4,High,8.2,Very Low,3.3,High,7.6,High,4,Low,5,Neutral,7,Low,0,Very Low
Paraguay,2012,112th,97.7,Warning,6.1,High,7.7,Low,6.2,Low,5.6,Neutral,8.3,Very Low,5.2,Neutral,7.6,Low,5.8,Neutral,6.1,High,6,Neutral,2.2,High,4.2,Neutral,2.6,High,8.4,Very High,2.8,Low,6.3,High,4.3,Neutral,2.2,Low
Ghana,2012,113th,97.5,Warning,3.3,Low,4.7,Neutral,5.2,Neutral,6,Neutral,6.2,Low,7.6,Low,4.8,Neutral,7.6,High,4.5,Neutral,6.7,Low,5.2,Neutral,5.7,Neutral,4.2,Neutral,9.1,Very High,3,Low,3.1,Low,8.7,Very Low,1.9,Very Low
Gabon,2012,114th,97.5,Warning,5.7,Neutral,7.1,Low,3.3,High,5.7,Neutral,7.6,Low,5.8,Neutral,7.8,Low,6.9,High,6.8,High,6.5,Low,5.9,Neutral,5.5,Neutral,4,High,7.7,High,1.8,Very Low,3.9,Low,2.7,High,2.8,Low
Grenada,2012,115th,97.1,Warning,5.3,Neutral,5.6,Neutral,3.9,High,6,Neutral,6.2,Low,8.2,Very Low,6.2,Low,3.9,Low,4,Low,5.5,Neutral,2.9,High,7.4,Low,2.2,High,9.7,Very High,2.8,Low,6.5,High,8.4,Very Low,2.4,Low
Jamaica,2012,116th,97,Warning,6.2,High,3.7,High,4,High,6.6,High,6.2,Low,7,Low,6.4,Low,5.6,Neutral,5.2,Neutral,5.9,Neutral,3.1,High,6,Neutral,2.1,High,9.6,Very High,3,Low,7.1,High,7.1,Low,2.3,Low
Samoa,2012,117th,96.4,Warning,5.5,Neutral,5.1,Neutral,4.8,Neutral,5.4,Neutral,6.3,Low,8.6,Very Low,6,Neutral,4.8,Neutral,4.4,Neutral,6.7,Low,2.6,High,8.3,Very Low,4.2,Neutral,5.3,Neutral,3,Low,6.9,High,7.8,Low,0.7,Very Low
Botswana,2012,118th,96.2,Warning,3.8,Low,3.3,High,4.8,Neutral,6.5,High,7.7,Low,5.3,Neutral,4.7,Neutral,5.9,Neutral,4.7,Neutral,8.6,Very Low,6.1,Low,5.1,Neutral,2.9,High,9.5,Very High,3.5,Low,3.9,Low,8.7,Very Low,1.4,Very Low
Malaysia,2012,119th,95.8,Warning,6.3,High,6.8,Low,6.4,Low,4.6,Neutral,6.4,Low,4.4,Neutral,6.5,Low,4.8,Neutral,7.4,High,5.7,Neutral,4.5,Neutral,4.7,Neutral,2.1,High,9.7,Very High,3.9,Low,6.9,High,2.8,High,1.8,Very Low
Trinidad and Tobago,2012,120th,95.2,Warning,6,Neutral,5.6,Neutral,4.4,Neutral,4.7,Neutral,6.6,Low,7.7,Low,5.9,Neutral,5.1,Neutral,5.5,Neutral,5.5,Neutral,2.9,High,4.5,Neutral,1.8,Very High,9.1,Very High,2.9,Low,6,Neutral,5.9,Neutral,5.1,Neutral
Brazil,2012,121st,94.8,Warning,6.2,High,4.9,Neutral,6.2,Low,3.6,Low,8.4,Very Low,4.2,Neutral,5.6,Neutral,5.5,Neutral,5,Neutral,7,Low,3.9,High,3.6,High,1.8,Very High,9.5,Very High,0.7,Very Low,7.2,High,10,Very Low,1.5,Very Low
Albania,2012,122nd,94.2,Warning,5.4,Neutral,6.6,Low,5.1,Neutral,5.6,Neutral,5.1,Neutral,6.8,Low,7.3,Low,4.9,Neutral,5.5,Neutral,5,Neutral,2.8,High,6,Neutral,1.7,Very High,10,Very High,3,Low,7.6,High,3.1,High,2.8,Low
Bahrain,2012,123rd,93.9,Warning,6,Neutral,7,Low,7.3,Low,3.1,Low,5.7,Neutral,2.8,High,7.5,Low,2.7,Low,7,High,4.6,Neutral,2.6,High,5.9,Neutral,2.1,High,10,Very High,4.8,Neutral,7,High,6.1,Low,1.8,Very Low
Ukraine,2012,124th,92.8,Warning,4.3,Neutral,8,Low,6.2,Low,5.7,Neutral,5.6,Neutral,6,Neutral,7.7,Low,3.9,Low,5.4,Neutral,5,Neutral,2.9,High,6.5,Low,1.5,Very High,6.9,High,3.2,Low,6.6,High,5.7,Neutral,1.7,Very Low
Mongolia,2012,125th,92.1,Warning,4.7,Neutral,5.5,Neutral,3.7,High,5.2,Neutral,6,Neutral,2.2,High,5.6,Neutral,5.6,Neutral,5.7,Neutral,5.8,Neutral,1.9,Very High,6.8, Low,2.8,High,10,Very High ,3.8,Low,5.7,Neutral,8.5,Very Low,2.6,Low
Brunei Darussalam,2012,126th,92,Warning,5.6,Neutral,7.4,Low,6.2,Low,3.1,Low,7.8,Low,4.3,Neutral,7.4,Low,2.9,Low,6.6,High,4.8,Neutral,3.6,High,4.4,Neutral,1.9,Very High,10,Very High ,2,Very Low,7.2,High,5,Neutral,1.8,Very Low
Croatia,2012,127th,91.6,Warning,4.7,Neutral,4.7,Neutral,5.6,Neutral,5.4,Neutral,4.7,Neutral,4.7,Neutral,4.2,Neutral,3.2,Low,4.6,Neutral,4,High,5.2,Neutral,5.3,Neutral,1.5,Very High,9.6,Very High ,2.3,Low,7.7,High,10,Very Low,4.2,Neutral
Bulgaria,2012,128th,90.7,Warning,4.6,Neutral,5.3,Neutral,4.9,Neutral,5,Neutral,5.4,Neutral,5.2,Neutral,5.1,Neutral,4.3,Neutral,4,Low,4,High,3.3,High,5.2,Neutral,1.5,Very High,9.5,Very High,3.7,Low,7.1,High,8.6,Very Low,4.1,Neutral
Montenegro,2012,129th,89.4,Stable,4.9,Neutral,6.2,Low,6.5,Low,4.9,Neutral,3.8,High,2.7,High,4.5,Neutral,3.9,Low,4.7,Neutral,4.2,Neutral,4.2,Neutral,5,Neutral,1.7,Very High,9.3,Very High,3.9,Low,7.2,High,8.6,Very Low,3.1,Low
Bahamas,2012,130th,89.1,Stable,4.3,Neutral,4.5,Neutral,4.4,Neutral,4.5,Neutral,5.9,Neutral,5.9,Neutral,4.9,Neutral,4.4,Neutral,3.1,Low,6.1,Low,2.5,High,4.6,Neutral,1.8,Very High,9.9,Very High,3.4,Low,7.1,High,9.4,Very Low,2.3,Low
South Africa,2012,131st,87.2,Stable,4.8,Neutral,5.9,Neutral,5.6,Neutral,5.6,Neutral,8.2,Very Low,4,High,5.2,Neutral,5.8,Neutral,4.5,Neutral,8.1,Very Low,6.4,Low,2.8,High,2.6,High,5.5,Neutral,1.8,Very Low,3,Low,0,Very High,7.5,HIgh
Romania,2012,132nd,85.7,Stable,4.4,Neutral,5.2,Neutral,6,Neutral,6,Neutral,5.6,Neutral,5,Neutral,6.3,Low,4.4,Neutral,4.2,Neutral,4.6,Neutral,2.9,High,4.9,Neutral,1.5,Very High,8.9,Very High,2.4,Low,7.1,High,3.8,High,2.4,Low
Kuwait,2012,133rd,85.4,Stable,4.7,Neutral,7.2,Low,4.6,Neutral,3.7,Low,5.6,Neutral,4,High,6.5,Low,2.9,Low,6.5,High,4.9,Neutral,3.5,High,4.7,Neutral,2.1,High,9.9,Very High,1.5,Very Low,6.4,High,5.6,Neutral,1.1,Very Low
United Arab Emirates,2012,134th,85.2,Stable,3.2,Low,3.6,High,4.3,Neutral,3.9,Low,5.1,Neutral,2.7,High,6.4,Low,3.1,Low,5.9,Neutral,4.1,Neutral,2.8,High,3.8,High,1.8,Very High,9.6,Very High,4.9,Neutral,7.2,High,9.8,Very Low,3.1,Low
Antigua and Barbuda,2012,135th,84.6,Stable,4.9,Neutral,3.7,High,4.1,Neutral,4.8,Neutral,5.6,Neutral,7.9,Low,5.8,Neutral,4.3,Neutral,4.8,Neutral,4.9,Neutral,2.7,High,5.5,Neutral,2.1,High,9.9,Very High,3.3,Low,7.2,High,1.3,Very High,1.9,Very Low
Slovak Republic,2012,136th,84.5,Stable,2.6,Low,3.7,High,5.3,Neutral,5.1,Neutral,4.9,Neutral,4.8,Neutral,4.2,Neutral,3.8,Low,3.3,Low,3.5,High,2,Very High,4.2,Neutral,1.3,Very High,10,Very High,5,Neutral,7.6,High,9.8,Very Low,3.3,Low
Barbados,2012,137th,83.7,Stable,4.2,Neutral,4.2,Neutral,4.4,Neutral,5.3,Neutral,6,Neutral,6.5,Low,3.6,High,3,Low,2.8,Low,4.1,Neutral,2.6,High,5.3,Neutral,1.8,Very High,8.4,Very High,2.9,Low,7,High,9.9,Very Low,1.8,Very Low
Panama,2012,138th,83.7,Stable,5.4,Neutral,2.5,High,4.9,Neutral,4.3,Neutral,7.5,Low,4.8,Neutral,4.6,Neutral,5.1,Neutral,4.4,Neutral,5.8,Neutral,3.6,High,3.3,High,2.6,High,8.1,Very High,4.6,Neutral,7.7,High,3,High,1.5,Very Low
Oman,2012,139th,83.6,Stable,5.6,Neutral,6.6,Low,2.7,High,4.3,Neutral,3.3,High,1.5,Very High,6.2,Low,4.7,Neutral,7.2,High,5.1,Neutral,1.8,Very High,2.7,High,2.9,High,9.9,Very High,2.6,Low,7.3,High,9.1,Very Low,0.2,Very Low
Costa Rica,2012,140th,82.9,Stable,2.8,Low,3.5,High,4.4,Neutral,4.6,Neutral,6.4,Low,3.8,High,3.2,High,4.5,Neutral,2.7,Low,4.6,Neutral,4,High,5.2,Neutral,1.9,Very High,8.9,Very High,2,Very Low,8,High,5.5,Neutral,6.9,HIgh
Estonia,2012,141st,82.8,Stable,3.2,Low,5.5,Neutral,5.7,Neutral,3.8,Low,4.6,Neutral,4.2,Neutral,3.8,High,3,Low,2.7,Low,3.8,High,3.6,High,3.6,High,1.6,Very High,9.3,Very High,4.8,Neutral,8,High,7.9,Low,3.7,Low
Argentina,2012,142nd,82.8,Stable,3,Low,3,High,4.7,Neutral,4.1,Neutral,6.3,Low,3.3,High,4.3,Neutral,3.8,Low,3.8,Low,4.4,Neutral,2.3,High,3.5,High,2.3,High,8.9,Very High,0.8,Very Low,7.6,High,10,Very Low,6.6,HIgh
Latvia,2012,143rd,82.3,Stable,3.6,Low,4.3,Neutral,5.2,Neutral,5.3,Neutral,5.4,Neutral,4.5,Neutral,4.8,Neutral,3.7,Low,3.5,Low,3.9,High,3.6,High,4.1,Neutral,1.4,Very High,8.9,Very High,3.8,Low,7.3,High,4.8,Neutral,4.1,Neutral
Spain,2012,144th,80.9,Stable,4.4,Neutral,5.6,Neutral,5.7,Neutral,5,Neutral,4.4,Neutral,2.3,High,2.6,High,2.9,Low,2.5,Low,3.1,High,2.6,High,1.7,Very High,1.3,Very High,9.7,Very High,1.7,Very Low,9,Very High,10,Very Low,6.4,HIgh
Lithuania,2012,145th,80.3,Stable,2.8,Low,2.8,High,4,High,5,Neutral,5.4,Neutral,4.4,Neutral,3.5,High,3.1,Low,2.9,Low,3.8,High,2.9,High,3.5,High,1.6,Very High,9.2,Very High,4.6,Neutral,7.5,High,8.9,Very Low,4.4,Neutral
Mauritius,2012,146th,78.7,Stable,3.6,Low,3.2,High,3.5,High,4.2,Neutral,5.1,Neutral,3.3,High,4.4,Neutral,3.9,Low,3.8,Low,3.6,High,1.9,Very High,4.3,Neutral,1.5,Very High,9.9,Very High,3.8,Low,7,High,8.4,Very Low,3.3,Low
Greece,2012,147th,78.5,Stable,4,Low,2.5,High,4.8,Neutral,5.9,Neutral,4.6,Neutral,4.7,Neutral,5.4,Neutral,4.2,Neutral,3.3,Low,3.8,High,2.3,High,4.8,Neutral,1.3,Very High,10,Very High,1.9,Very Low,8.5,Very High,2.8,High,3.7,Low
