Country,Year,Rank,Total,Total discretised,C1: Security Apparatus,C1: Security Apparatus Discretised,C2: Factionalized Elites,C2: Factionalized Elites Discretised,C3: Group Grievance,C3: Group Grievance Discretised,E1: Economy,E1: Economy Discretised,E2: Economic Inequality,E2: Economic Inequality Discretised,E3: Human Flight and Brain Drain,E3: Human Flight and Brain Drain Discretised,P1: State Legitimacy,P1: State Legitimacy Discretised,P2: Public Services ,P2: Public Services Discretised,P3: Human Rights,P3: Human Rights Discretised,S1: Demographic Pressures,S1: Demographic Pressures Discretised,S2: Refugees and IDPs,S2: Refugees and IDPs Discretised,X1: External Intervention,X1: External Intervention Discretised,"Fertility rate, total (births per woman)","Fertility rate, total (births per woman) Discretised","Immunization, DPT (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months) Discretised",Imports of goods and services (% of GDP),Imports of goods and services (% of GDP) Discretised,"Life expectancy at birth, female (years)","Life expectancy at birth, female (years) Discretised","People using basic drinking water services, rural (% of rural population)","People using basic drinking water services, rural (% of rural population) Discretised",Proportion of seats held by women in national parliaments (%),Proportion of seats held by women in national parliaments (%) Discretised
Uganda,2012,17th,127.3,High Warning,8.3,Very High,8.7,Very Low,7.7,Low,7.5,High,8.1,Very Low,6.9,Low,8,Low,8.6,Very High,7.8,High,8.8,Very Low,8.2,Very Low,7.9,Very Low,6,Neutral,7.2,High,1.9,Very Low,2.6,Low,7,Low,6.2,HIgh
Eritrea,2012,18th,126.8,High Warning,7.8,High,8.1,Very Low,6.4,Low,8.6,Very High,6.9,Low,7.1,Low,8.4,Very Low,8.2,Very High,8.7,Very High,8.6,Very Low,7.1,Low,8.5,Very Low,4.4,Neutral,9.3,Very High,1.3,Very Low,3.9,Low,9.6,Very Low,3.9,Low
Niger,2012,19th,126,High Warning,8.2,Very High,8.6,Very Low,7.7,Low,8.6,Very High,7.6,Low,6,Neutral,8.4,Very Low,9.2,Very High,7.9,High,9.3,Very Low,6.9,Low,8.4,Very Low,7.4,Low,6.3,High,2.2,Low,2.3,Low,8.7,Very Low,2.4,Low
Nepal,2012,20th,126,High Warning,7.5,High,8.2,Very Low,9,Very Low,7.6,High,8.4,Very Low,5.6,Neutral,8,Low,7.4,High,8.2,Very High,7.9,Low,7.7,Low,7.4, Low,2.4,High,8.8,Very High,1.9,Very Low,5.1,Neutral,9,Very Low,5.9,Neutral
North Korea,2012,21st,125.5,High Warning,8.1,Very High,7.7,Low,6.6,Low,9.3,Very High,8.6,Very Low,4.4,Neutral,9.9,Very low,9.4,Very High,9.6,Very High,7.9,Low,5.3,Neutral,8.7,Very Low,2,Very High,9.2,Very High,0,Very Low,6.1,High,9.9,Very Low,2.9,Low
Guinea,2012,22nd,125.5,High Warning,9.4,Very High,9.2,Very Low,7.9,Low,8.9,Very High,8.1,Very Low,8,Low,9.5,Very Low,8.6,Very High,8.7,Very High,8.3,Very Low,8,Low,7.3, Low,5.2,Neutral,5.1,Neutral,3.5,Low,2.1,Low,3.8,High,3.9,Low
Chad,2012,23rd,124.6,High Warning,8.9,Very High,9.8,Very Low,9.1,Very Low,8.3,Very High,8.6,Very Low,7.7,Low,9.8,Very Low,9.5,Very High,9.3,Very High,9.3,Very Low,9.5,Very Low,7.8, Low,6.4,Low,2.1,Low,2.4,Low,0.5,Very Low,2.9,High,2.6,Low
Central African Republic,2012,24th,124.4,High Warning,9.6,Very High,9.1,Very Low,8.5,Very Low,8,High,8.7,Very Low,5.6,Neutral,8.9,Very Low,9.1,Very High,8.5,Very High,8.8,Very Low,9.7,Very Low,9.3,Very Low,5.1,Neutral,3.1,Low,1.2,Very Low,0.1,Very Low,8.9,Very Low,2.2,Low
Sri Lanka,2012,25th,124.1,High Warning,8.2,Very High,9.2,Very Low,9.1,Very Low,5.6,Neutral,8.1,Very Low,7.1,Low,8.1,Very Low,5.8,Neutral,8.7,Very High,7.1,Low,8.7,Very Low,6.5, Low,2.1,High,10,Very High,1.8,Very Low,7.1,High,9.8,Very Low,1,Very Low
Kyrgyz Republic,2012,26th,122.6,High Warning,7.4,High,8.3,Very Low,8.4,Very Low,7.9,High,7.3,Low,6.7,Low,8.7,Very Low,5.4,Neutral,7.8,High,6.5,Low,5.3,Neutral,7.6, Low,3.2,High,9.6,Very High,5.5,Neutral,6.1,High,6.7,Low,4.1,Neutral
