Country,Year,Rank,Total discretized,Security Apparatus discretized,Factionalized Elites discretized,Group grievance discretized,Economy discretized,Economic Inequality discretized,human flight discretized,state legitimacy discretized,public services discretized,human rights discretized,demographic pressures discretized,refugees discretized,external intervention,fertility rate discretized,"Immunization, DPT discretized",Imports of goods and services discretized,life expectancy discretized,basic drinking water discretized,seats held by women discretized
Comoros,2014,46th,elevated warning,high,low,neutral,very high,low,low,low,very high,high,low,neutral,very low,neutral,very high,low,high,very low,very low
Mali,2014,47th,elevated warning,very high,neutral,low,high,low,very low,neutral,very high,high,very low,low,very low,low,high,very low,very high,low,very low
Togo,2014,48th,elevated warning,high,low,neutral,high,low,low,very low,very high,high,low,low,low,neutral,very high,low,high,neutral,very low
Philippines,2014,49th,elevated warning,very high,very low,very low,neutral,low,neutral,low,high,high,low,low,low,high,neutral,very low,neutral,very low,low
Libya,2014,51st,elevated warning,very high,very low,low,high,low,neutral,very low,high,very high,neutral,neutral,very low,high,very high,neutral,low,very high,very low
Colombia,2014,50th,elevated warning,high,low,low,neutral,low,low,low,high,high,low,very low,low,very high,very high,very low,low,very low,low
Laos,2014,52nd,elevated warning,high,very low,low,neutral,low,low,very low,high,very high,low,neutral,low,high,very high,low,neutral,low,low
Bolivia,2014,53rd,elevated warning,high,very low,low,neutral,very low,low,low,high,high,low,neutral,low,high,very high,very low,neutral,low,neutral
Bhutan,2014,54th,elevated warning,neutral,low,low,high,low,low,neutral,high,high,low,low,low,high,very high,low,neutral,very low,very low
Algeria,2014,55th,elevated warning,high,low,low,high,neutral,neutral,low,high,high,neutral,low,neutral,high,very high,very low,low,very low,low
Jordan,2014,56th,elevated warning,neutral,low,low,high,low,high,low,neutral,high,low,very low,low,high,very high,low,low,very low,very low
Nicaragua,2014,57th,elevated warning,neutral,low,low,high,low,low,low,high,neutral,neutral,neutral,low,high,very high,low,low,low,neutral
Honduras,2014,58th,elevated warning,high,low,low,high,low,low,low,high,high,low,neutral,low,high,very high,low,low,very low,low
Fiji,2014,59th,elevated warning,high,low,low,high,low,low,low,neutral,high,neutral,high,low,high,very high,low,low,very low,very low
Tunisia,2014,60th,elevated warning,high,very low,low,high,neutral,neutral,very low,neutral,very high,neutral,neutral,low,high,very high,low,low,very low,low
Sierra Leone,2014,61st,elevated warning,neutral,low,neutral,very high,very low,very low,low,very high,neutral,very low,low,low,neutral,very high,low,very high,neutral,very low
Gambia,2014,62nd,elevated warning,neutral,low,high,high,low,low,low,high,very high,low,low,low,neutral,very high,very low,high,low,very low
Maldives,2014,63rd,elevated warning,neutral,very low,neutral,high,neutral,neutral,very low,high,high,neutral,neutral,low,high,very high,neutral,low,very low,very low
Swaziland,2014,65th,elevated warning,neutral,low,high,very high,low,low,very low,high,very high,very low,neutral,low,high,very high,low,high,neutral,very low
China,2014,64th,elevated warning,high,low,very low,low,low,neutral,low,high,very high,low,neutral,high,very high,very high,very low,low,very low,low
Angola,2014,66th,elevated warning,neutral,low,low,neutral,very low,low,very low,very high,high,very low,low,neutral,neutral,neutral,very low,high,high,low
Zambia,2014,67th,elevated warning,neutral,neutral,low,very high,very low,low,low,high,high,very low,low,low,neutral,very high,very low,high,neutral,very low
Djibouti,2014,68th,elevated warning,high,low,low,high,low,neutral,low,high,high,very low,low,very low,high,high,low,high,neutral,very low
Turkmenistan,2014,69th,elevated warning,high,low,low,neutral,low,neutral,very low,high,very high,low,neutral,neutral,high,very high,very low,neutral,very low,low
Thailand,2014,70th,elevated warning,high,very low,very low,low,low,high,low,neutral,high,low,low,neutral,very high,very high,low,low,very low,very low
Belarus,2014,71st,elevated warning,high,very low,low,high,neutral,high,very low,neutral,very high,neutral,high,low,very high,very high,low,low,very low,low
Ecuador,2014,72nd,elevated warning,high,very low,low,neutral,low,low,low,high,neutral,neutral,neutral,neutral,high,very high,very low,low,very low,neutral
Lebanon,2014,73rd,elevated warning,very high,very low,very low,neutral,low,neutral,low,neutral,high,low,very low,very low,very high,high,low,very low,very high,very low
Guatemala,2014,74th,elevated warning,high,low,low,high,low,low,low,high,high,low,low,neutral,high,high,very low,low,very low,very low
Mozambique,2014,75th,elevated warning,high,low,neutral,very high,very low,low,low,very high,high,very low,neutral,low,neutral,high,neutral,high,high,very low
Venezuela,2014,76th,elevated warning,high,low,low,neutral,low,neutral,low,high,high,neutral,neutral,neutral,high,high,neutral,low,very low,very low
Uzbekistan,2014,77th,elevated warning,high,very low,low,high,low,low,very low,neutral,very high,low,neutral,neutral,high,very high,very low,low,very high,low
Tanzania,2014,78th,elevated warning,neutral,neutral,neutral,high,low,low,low,very high,high,very low,low,low,neutral,very high,very low,neutral,high,low
Bosnia and Herzegovina,2014,80th,elevated warning,high,very low,low,neutral,neutral,neutral,low,neutral,high,neutral,low,low,very high,very high,low,low,very low,low
Vietnam,2014,79th,elevated warning,neutral,low,low,neutral,neutral,neutral,very low,neutral,high,low,neutral,neutral,high,very high,neutral,very low,very low,low
Lesotho,2014,81st,elevated warning,neutral,low,neutral,very high,low,low,neutral,very high,neutral,very low,neutral,low,high,very high,neutral,very high,low,low
Russia,2014,82nd,elevated warning,very high,very low,very low,low,low,neutral,low,neutral,very high,neutral,neutral,neutral,very high,very high,very low,low,very low,very low
Moldova,2014,83rd,elevated warning,high,low,low,high,neutral,low,low,neutral,neutral,neutral,neutral,low,very high,very high,neutral,low,low,very low
Papua New Guinea,2014,84th,elevated warning,high,low,low,high,very low,low,low,very high,high,low,neutral,low,high,high,low,neutral,high,very low
Turkey,2014,85th,elevated warning,high,low,very low,neutral,low,high,low,neutral,neutral,neutral,low,neutral,high,very high,very low,low,very low,very low
Madagascar,2014,86th,elevated warning,high,low,neutral,high,very low,neutral,low,very high,neutral,very low,neutral,low,neutral,high,low,neutral,high,low
Serbia,2014,87th,elevated warning,high,very low,very low,high,neutral,neutral,neutral,neutral,neutral,neutral,low,low,very high,very high,low,low,very low,low
Azerbaijan,2014,88th,elevated warning,high,low,low,neutral,low,neutral,very low,neutral,high,neutral,low,low,high,very high,very low,low,low,very low
Sao Tome and Principe,2014,89th,elevated warning,neutral,low,neutral,very high,low,very low,low,high,neutral,low,neutral,low,neutral,very high,very low,neutral,low,very low
Cuba,2014,90th,elevated warning,high,low,neutral,neutral,neutral,low,low,neutral,high,neutral,neutral,low,very high,very high,very low,very low,very low,neutral
Cape Verde,2014,91st,warning,neutral,neutral,neutral,high,low,very low,low,high,neutral,low,neutral,low,high,very high,low,low,low,low
Guyana,2014,92nd,warning,neutral,neutral,low,high,low,very low,neutral,high,neutral,neutral,neutral,low,high,very high,low,neutral,very low,low
Morocco,2014,93rd,warning,high,low,low,neutral,low,low,low,neutral,high,neutral,neutral,neutral,high,very high,low,low,low,very low
Mexico,2014,94th,warning,high,neutral,low,neutral,low,neutral,neutral,high,high,low,neutral,neutral,high,very high,very low,low,very low,low
Dominican Republic,2014,95th,warning,neutral,low,low,neutral,low,low,neutral,high,neutral,low,neutral,neutral,high,very high,very low,low,very low,low
El Salvador,2014,96th,warning,high,neutral,low,high,low,low,neutral,high,neutral,low,neutral,neutral,high,very high,low,low,very low,low
India,2014,97th,warning,high,low,low,neutral,low,neutral,neutral,high,neutral,low,neutral,neutral,high,very high,very low,neutral,very low,very low
Indonesia,2014,98th,warning,high,low,low,neutral,low,low,low,high,high,low,neutral,neutral,high,high,very low,neutral,very low,very low
Armenia,2014,99th,warning,neutral,low,neutral,neutral,neutral,neutral,low,neutral,high,neutral,low,low,very high,very high,low,low,very low,very low
