Country,Year,Rank,Total discretized,Total,Security Apparatus discretized,C1 Security Apparatus,Factionalized Elites discretized,Factionalized elites discretized,Group grievance discretized,C3 Group Grievance,Economy discretized,E1 Economy,Economic Inequality discretized,E2 Economic Inequality,human flight discretized,E3 Human Flight and Brain Drain,state legitimacy discretized,P1 State Legitimacy,public services discretized,P2 Public Services,human rights discretized,P3 Human Rights,demographic pressures discretized,S1 Demographic Pressures,refugees discretized,S2 Refugees and IDPs,external intervention,X1 External Intervention,fertility rate discretized,"Fertility rate, total (births per woman)","Immunization, DPT discretized","Immunization, DPT ",Imports of goods and services discretized,Imports of goods and services,life expectancy discretized,"Life expectancy at birth, female (years)",basic drinking water discretized,"People using basic drinking water services, rural ",seats held by women discretized,Proportion of seats held by women in national parliaments 
Cote d Ivoire,2014,21st,high warning,122.3,very high,8.8,very low,9.4,very low,9,high,7.4,low,7.6,low,7,very low,8.8,very high,8.7,very high,8.7,low,7.8,very low,9.1,very low,9.4,neutral,5,high,7.1,very low,1.4,very high,0.7,neutral,5.4,very low,0.9
Rwanda,2014,22nd,high warning,121.7,neutral,5.9,very low,8.2,very low,8.5,high,6.7,low,7.9,low,7.2,low,6.5,high,7.5,high,7.8,very low,8,very low,8.2,very low,8.1,neutral,4.1,very high,9.9,very low,1.3,neutral,4.7,neutral,4.8,high,6.4
Haiti,2014,23rd,high warning,121.6,high,7.5,very low,9.1,low,7,very high,9.4,very low,9.3,very low,9.1,very low,8.9,very high,9.5,high,7.5,very low,8.7,very low,8.5,very low,9.8,high,3,low,3.5,low,2.6,high,3.8,neutral,4,very low,0.4
Nepal,2014,24th,high warning,121.4,high,7.3,very low,8.3,very low,9,high,7.1,low,7.8,low,6.2,low,7.6,high,7.4,high,7.6,low,7.8,low,7.6,low,7.3,high,2.2,very high,9.1,very low,1.8,neutral,5.5,very low,8.7,low,3
Ethiopia,2014,25th,high warning,120.5,very high,8.1,very low,8.7,very low,8.9,high,7.4,low,7.3,low,6.7,low,7.1,very high,8.9,very high,8,very low,9.4,very low,9,very low,8.4,neutral,4.4,high,7.2,very low,1.1,neutral,4.2,high,2.8,low,2.8
Egypt,2014,26th,high warning,120.4,high,7.9,very low,9.4,very low,8.6,high,7.9,low,6.8,neutral,5.1,very low,9,neutral,5.7,very high,9.7,low,7.1,low,6.4,low,7.4,high,3.3,very high,9.4,very low,0.7,low,6.2,very low,9.8,very low,0
Niger,2014,27th,high warning,120.3,very high,8.4,very low,8.9,low,7.5,very high,8.1,low,7.9,low,6.6,low,7.8,very high,9.3,high,7.3,very low,9.3,very low,8.2,very low,8.6,low,7.3,high,6.1,very low,1.7,high,2.5,high,3.5,very low,1.3
Eritrea,2014,28th,high warning,120,high,7.6,very low,8.1,low,6.4,very high,8,low,7.2,low,7.5,very low,8.8,very high,8.4,very high,9.2,very low,8.5,low,7.3,very low,8.5,neutral,4.3,very high,9.4,low,3.9,neutral,4.2,very high,0.6,low,2.2
Mauritania,2014,29th,elevated warning,119.8,high,7.7,very low,8.5,low,7.2,high,7.7,low,6.8,low,6,low,7.4,very high,8.6,high,7.7,very low,8.4,very low,8.8,very low,8.2,neutral,4.8,very high,8.1,low,3.4,high,3.6,neutral,4.4,low,2.5
Uganda,2014,30th,elevated warning,119.6,high,7.9,very low,8.9,very low,8.3,high,7.3,low,7.6,low,6.9,low,7.8,very high,8.3,high,7.6,very low,8.7,very low,8.7,very low,8,neutral,5.8,high,7.3,very low,1,high,2.8,high,3.2,low,3.5
Liberia,2014,31st,elevated warning,119,high,6.8,very low,8.3,low,6.5,very high,8,very low,8,low,6.9,low,6.9,very high,9.3,high,6.3,very low,8.5,very low,9.1,very low,9.7,neutral,4.7,low,3.8,high,6,high,3.1,neutral,5.9,very low,1.1
Kyrgyz Republic,2014,32nd,elevated warning,118.4,high,7.1,very low,8,very low,8.2,high,7.3,low,6.7,low,6.1,very low,8.2,neutral,5.9,high,7.3,low,6,neutral,5.5,low,7.6,high,3.2,very high,9.6,neutral,4.7,low,6.5,very low,8.1,low,2.3
Cambodia,2014,33rd,elevated warning,117.3,high,6.3,very low,8.6,low,7.3,high,6.1,low,7.4,low,7.2,very low,8.4,very high,8,high,7.9,low,7.5,low,6.1,low,7.7,high,2.6,very high,8.6,low,3.4,neutral,5.3,low,6.8,low,2
Myanmar,2014,34th,elevated warning,117.2,very high,8,very low,8.6,very low,9.3,high,7,very low,8.1,neutral,5.3,very low,9.3,very high,8.3,very high,8,low,7.3,very low,8.2,low,6.9,high,2.3,very high,8.6,very low,0.7,neutral,4.8,neutral,5.9,very low,0.6
Cameroon,2014,35th,elevated warning,117,high,7.7,very low,9.5,low,7.8,neutral,5.9,low,7.5,low,7.5,very low,8.2,very high,8.5,very high,8.3,very low,8.1,low,7.6,low,6.5,neutral,4.8,very high,8.5,very low,1.2,very high,1.9,neutral,4.3,low,3.1
Malawi,2014,36th,elevated warning,116.1,neutral,5.1,low,7.7,neutral,5.7,very high,8.3,very low,8.1,very low,8.4,low,7.6,very high,8.1,high,6.5,very low,8.8,low,6.4,very low,8.4,neutral,4.7,very high,9,very low,1.8,high,3.6,low,6.2,very low,1.7
Iran,2014,37th,elevated warning,115.7,very high,8.3,very low,9.4,very low,8.8,high,6.4,low,6.4,neutral,5.9,very low,8.7,neutral,4.8,very high,9.3,neutral,5.3,low,6.8,low,7.1,very high,1.7,very high,10,very low,0.5,low,7.1,very low,8.9,very low,0.3
Nigeria,2014,38th,elevated warning,115.5,very high,9.5,very low,9.5,very low,9.8,high,7.3,very low,8.9,low,7,very low,8.8,very high,9,very high,8.7,very low,8.3,low,6.9,low,6,neutral,5.7,low,3.7,very low,0.1,very high,0.5,neutral,5.2,very low,0.7
Congo Republic,2014,39th,elevated warning,115.1,high,6.4,low,6.7,low,6.3,high,6.7,very low,8.1,low,6.5,very low,8.4,very high,8.8,high,7.6,very low,8.1,very low,8.1,low,7.9,neutral,4.8,very high,8.9,low,3.7,high,3.9,high,3.6,very low,0.7
