Country,Year,Rank,Total discretized,Total,Security Apparatus discretized,C1 Security Apparatus,Factionalized Elites discretized,Factionalized elites discretized,Group grievance discretized,C3 Group Grievance,Economy discretized,E1 Economy,Economic Inequality discretized,E2 Economic Inequality,human flight discretized,E3 Human Flight and Brain Drain,state legitimacy discretized,P1 State Legitimacy,public services discretized,P2 Public Services,human rights discretized,P3 Human Rights,demographic pressures discretized,S1 Demographic Pressures,refugees discretized,S2 Refugees and IDPs,external intervention,X1 External Intervention,fertility rate discretized,"Fertility rate, total (births per woman)","Immunization, DPT discretized","Immunization, DPT ",Imports of goods and services discretized,Imports of goods and services,life expectancy discretized,"Life expectancy at birth, female (years)",basic drinking water discretized,"People using basic drinking water services, rural ",seats held by women discretized,Proportion of seats held by women in national parliaments 
Moldova,2014,83rd,elevated warning,105.9,high,6.9,low,7.8,low,6.2,high,6.6,neutral,5.6,low,6.6,low,6.6,neutral,5.4,neutral,5.7,neutral,5.6,neutral,4.7,low,7.4,very high,1.3,very high,8.9,neutral,4.2,low,6.8,low,7.9,very low,1.8
Papua New Guinea,2014,84th,elevated warning,105.8,high,6.4,low,7.1,low,6.6,high,6.6,very low,9.3,low,7.3,low,6.6,very high,9,high,6.3,low,7.6,neutral,4.9,low,6.4,high,3.8,high,6.7,low,3.5,neutral,4.6,high,2.9,very low,0.3
Turkey,2014,85th,elevated warning,105.8,high,7.4,low,7.3,very low,9,neutral,5.3,low,6.5,high,3.7,low,6,neutral,5.2,neutral,5.9,neutral,5.4,low,7.1,neutral,5.3,high,2.1,very high,9.6,very low,1,low,7.6,very low,9.9,very low,1.4
Madagascar,2014,86th,elevated warning,105.8,high,6.8,low,7.6,neutral,4.9,high,7.9,very low,8.2,neutral,5.8,low,7.3,very high,8.8,neutral,5.8,very low,8.2,neutral,4.2,low,7.6,neutral,4.3,high,6.7,low,2,neutral,4.3,high,3.3,low,2.1
Serbia,2014,87th,elevated warning,105.5,high,6.2,very low,8,very low,8,high,6.4,neutral,5.6,neutral,5,neutral,5.8,neutral,4.4,neutral,5.2,neutral,4.2,low,6.5,low,6.7,very high,1.5,very high,9.2,low,2.7,low,7.5,very low,9.2,low,3.4
Azerbaijan,2014,88th,elevated warning,105.4,high,7,low,7.9,low,6.7,neutral,4.4,low,6.2,neutral,4.7,very low,8.3,neutral,5.3,high,7.7,neutral,5.4,low,7.6,low,6.6,high,2,very high,9.4,very low,0.9,low,6.6,low,7.1,very low,1.6
Sao Tome and Principe,2014,89th,elevated warning,105.2,neutral,5.8,low,6.3,neutral,4.8,very high,8.1,low,6.6,very low,8.2,low,6.6,high,6.2,neutral,4.1,low,6.9,neutral,4.6,low,7.6,neutral,4.6,very high,9.5,very low,1.5,neutral,4.8,low,7.3,very low,1.8
Cuba,2014,90th,elevated warning,105.2,high,6,low,7.2,neutral,4.8,neutral,4.8,neutral,5.9,low,6,low,6.8,neutral,4.9,high,7,neutral,5.9,neutral,5,low,6.5,very high,1.7,very high,10,very low,0.4,very low,8.5,very low,8.9,neutral,4.9
Cape Verde,2014,91st,warning,104.8,neutral,5.7,neutral,5.5,neutral,4.2,high,6.2,low,7.2,very low,8.6,low,6,high,6.8,neutral,4.8,low,6.8,neutral,4.4,low,7.9,high,2.4,very high,9.5,low,3.1,low,6.4,low,7.2,low,2.1
Guyana,2014,92nd,warning,104.6,neutral,5.5,neutral,5.1,low,6.2,high,6.7,low,6.5,very low,8.8,neutral,5.6,high,6.3,neutral,4.1,neutral,5.9,neutral,4.1,low,6.2,high,2.6,very high,9.9,low,3.9,neutral,4.9,very low,9.3,low,3.1
Morocco,2014,93rd,warning,104,high,6,low,6.6,low,6.8,neutral,5.6,low,6.6,low,7.3,low,6.6,neutral,5.9,high,6.5,neutral,5.7,neutral,5.6,neutral,5.2,high,2.6,very high,10,low,2.2,low,7.1,low,6.1,very low,1.7
Mexico,2014,94th,warning,103.9,high,7.6,neutral,5.1,low,6.1,neutral,4.9,low,6.9,neutral,5.6,neutral,5.8,high,6.3,high,6,low,6.7,neutral,4.3,neutral,5.8,high,2.2,very high,8.5,very low,1.4,low,7.8,very low,9.2,low,3.7
Dominican Republic,2014,95th,warning,103.8,neutral,4.9,low,6.5,low,6.1,neutral,5.5,low,6.6,low,7.9,neutral,5.7,high,6.5,neutral,5.8,low,6.5,neutral,5.6,neutral,5.8,high,2.5,very high,9,very low,1.2,low,7.1,very low,8.5,low,2.1
El Salvador,2014,96th,warning,103.7,high,6.1,neutral,4.3,low,6,high,6.2,low,6.9,low,6.6,neutral,5.6,high,6.4,neutral,5.8,low,7.1,neutral,5.6,neutral,5.4,high,2.1,very high,9.4,low,2,low,7.3,very low,8.2,low,2.7
India,2014,97th,warning,103,high,7.9,low,6.8,low,7.8,neutral,5.7,low,7.8,neutral,5.2,neutral,5.3,high,7,neutral,5.6,low,7.7,neutral,5.1,neutral,5,high,2.4,very high,8.2,very low,0.9,neutral,5.1,very low,8.4,very low,1.1
Indonesia,2014,98th,warning,102.6,high,6.5,low,7,low,7.6,neutral,5.5,low,6.6,low,6,low,6.5,high,6,high,6.2,low,7.4,neutral,5.9,neutral,5.6,high,2.4,high,7.3,very low,0.8,neutral,5.5,very low,8,very low,1.7
Armenia,2014,99th,warning,102.5,neutral,5.6,low,7.4,neutral,5.7,neutral,5.8,neutral,5.3,neutral,5.7,low,6.7,neutral,4.4,high,6.8,neutral,4.7,low,6.7,low,6.5,very high,1.6,very high,9.2,low,2.2,low,7.3,very low,9.7,very low,1.1
Benin,2014,100th,warning,102.3,neutral,5.9,low,6.1,high,3.6,high,6.9,low,7.2,low,6.5,low,6.1,very high,8.7,neutral,5.1,very low,8.2,low,6.3,low,7.6,neutral,5.1,high,7.3,low,2.1,high,2.9,neutral,5.9,very low,0.8
Cyprus,2014,101st,warning,102.3,neutral,4.7,low,7.9,low,7.3,high,6.4,low,6.7,neutral,4.8,neutral,5.6,low,3.3,low,3.6,neutral,4.3,neutral,4.2,very low,9.1,very high,1.4,very high,10,low,3,very low,8.7,very low,10,very low,1.3
Paraguay,2014,102nd,warning,102.3,high,6.2,low,7.8,low,6.2,neutral,5.4,very low,8.7,neutral,4.9,low,7.4,high,6.4,high,6,neutral,5.8,high,2.7,neutral,4.1,high,2.5,very high,8.5,low,2,low,6.7,very low,9.5,very low,1.5
Micronesia,2014,103rd,warning,101.7,neutral,5.4,neutral,5.6,neutral,4.2,high,7.8,very low,8.3,very low,8.7,low,6.3,high,6,low,3.4,low,7.2,high,3.5,very low,8.2,high,3.2,high,7.2,low,2.8,neutral,5.3,very low,8.6,very low,0
Peru,2014,104th,warning,101.3,high,6.7,low,6.7,low,7.3,neutral,4.2,low,7.5,low,6.4,low,7.4,high,6.7,neutral,4.8,neutral,5.8,neutral,5,neutral,4.4,high,2.5,very high,8.6,very low,0.8,low,7.3,low,7.1,low,2.2
Macedonia,2014,105th,warning,101.2,neutral,5.7,low,7,low,7.3,neutral,5.9,neutral,5.9,neutral,5.8,neutral,5.8,neutral,4.1,neutral,4.2,high,3.8,neutral,5,neutral,5.9,very high,1.5,very high,9.5,low,3.3,low,7.3,very low,9.8,low,3.3
Suriname,2014,106th,warning,100.3,neutral,5.7,neutral,5.8,low,6.1,high,7.1,low,6.9,low,7.4,neutral,5.8,neutral,5.5,neutral,5.2,neutral,5.6,high,3.3,low,6.2,high,2.4,very high,8.2,low,2.6,low,6.5,very low,8.8,very low,1.2
Equatorial Guinea,2014,107th,warning,99.4,high,7.2,very low,8.2,low,6.6,neutral,4.2,very low,8.8,low,6.3,very low,9.7,high,7.4,very high,9.5,very low,8,high,3.6,neutral,5.8,neutral,4.9,very low,0,very low,1.7,high,2,high,3.1,low,2.4
Kazakhstan,2014,108th,warning,99.3,high,6,low,7.6,low,6.5,neutral,5.9,neutral,5,high,3.9,low,7.7,neutral,4.8,high,7.2,neutral,5.1,high,3.8,neutral,5,high,2.7,very high,9.5,very low,0.9,low,6.9,very low,8.3,low,2.5
Samoa,2014,109th,warning,98.9,neutral,5.5,neutral,5.1,neutral,4.8,high,6.2,neutral,5.7,very low,8.9,low,6,neutral,5.1,neutral,4.8,low,6.5,high,2.4,very low,8.3,neutral,4.1,neutral,5.4,low,2.6,low,7.4,very low,9.5,very low,0.6
Malaysia,2014,110th,warning,98.5,high,6.5,low,7,low,6.2,low,3.9,neutral,5.6,neutral,4.8,low,6.6,neutral,4.6,high,6.9,neutral,5.5,neutral,4.5,neutral,4.1,high,2.1,very high,9.7,low,3.3,low,7.3,very low,8.9,very low,1
Belize,2014,111th,warning,98.4,neutral,5.5,neutral,4.3,neutral,4.4,neutral,5.6,low,6.5,low,6.8,low,6,high,6.1,neutral,4.4,low,6.2,neutral,4.6,low,6.6,high,2.6,very high,9.5,low,3.4,low,6.1,very low,9.5,very low,0.3
Ghana,2014,112th,warning,97.9,neutral,4.1,neutral,5,neutral,4.9,high,6,low,6.8,low,7.3,neutral,4.8,high,7.9,neutral,4.9,low,6.9,neutral,5.8,low,6.3,neutral,4.1,very high,9.9,low,2.3,high,3.3,low,6.5,very low,1.1
Namibia,2014,113th,warning,97.1,neutral,4.6,high,3.5,neutral,5.6,high,6.8,very low,8.4,low,6.8,neutral,4.1,high,7,neutral,4.6,low,7.1,neutral,5.8,low,7.2,high,3.5,very high,8.6,low,3.2,neutral,4,low,6.3,very low,0
Albania,2014,114th,warning,96.5,neutral,5,low,6.2,neutral,4.7,neutral,5.5,neutral,4.5,low,6.9,low,6.5,neutral,4.8,neutral,5.5,neutral,4.4,high,3.4,low,6.2,very high,1.7,very high,9.9,low,2.2,very low,8.1,very low,9,low,2
Jamaica,2014,115th,warning,96.3,high,6,high,3.7,neutral,4,high,6.8,neutral,5.8,low,7.5,neutral,5.6,neutral,5.6,neutral,5.1,neutral,5.5,high,3.3,low,6,high,2,very high,9.1,low,2.6,low,7.5,very low,8.8,very low,1.3
Saudi Arabia,2014,116th,warning,95.9,high,6.9,very low,8,low,7.7,low,3.9,low,6.1,high,3.4,very low,8.1,neutral,4,very high,8.8,low,6,neutral,4.9,neutral,5.3,high,2.6,very high,9.9,very low,1.4,low,6.9,very high,0,low,2
Gabon,2014,117th,warning,95,neutral,5.1,low,7.1,high,3.6,neutral,5.1,low,7,neutral,5.5,low,7.7,high,7.1,high,6.6,low,6.9,neutral,5.3,neutral,5.2,high,3.9,high,6.3,very low,1.1,neutral,4.3,neutral,5.7,very low,1.5
Brunei Darussalam,2014,118th,warning,94.3,neutral,5.6,low,7.4,low,6.2,low,3.1,low,7.8,neutral,4.9,low,7.1,low,2.5,high,7.4,neutral,4.5,high,3,neutral,4.1,very high,1.9,very high,10,very low,1.2,low,7.7,very low,9.9,very low,0
Seychelles,2014,119th,warning,93.4,high,6.4,neutral,5.7,neutral,4.8,neutral,4.9,low,6.3,neutral,5.2,low,6,low,3.5,neutral,4.9,neutral,5.4,high,3.4,low,7.2,high,2.3,very high,10,neutral,5.4,low,7.6,very high,0,neutral,4.4
South Africa,2014,120th,warning,91.8,neutral,4.9,neutral,5.6,neutral,5.8,neutral,5.8,low,7.7,neutral,4.6,neutral,5,high,6.1,neutral,4.3,low,7.4,low,6.2,high,3.2,high,2.5,high,7.2,very low,1.3,high,3.7,low,6.2,neutral,4.2
Botswana,2014,121st,warning,90.9,low,3.2,high,3.3,neutral,5.1,high,6.4,low,7.8,neutral,5.3,neutral,4.1,high,6.3,neutral,4.6,very low,8,neutral,5.5,neutral,4.9,high,2.8,very high,9.5,low,2.6,neutral,4.6,neutral,5.8,very low,1
Brazil,2014,122nd,stable,89.8,neutral,5.6,neutral,4.9,neutral,5.6,low,3.6,very low,8,high,3.8,neutral,5.4,neutral,5.6,neutral,5.6,low,6.7,high,3.6,high,3,very high,1.8,very high,9.2,very low,0.1,low,7.7,very low,8.6,very low,1
Ukraine,2014,123rd,stable,89.7,neutral,4.7,very low,8,low,6.4,neutral,5.5,neutral,5,neutral,5.4,very low,8,low,3.9,high,6.1,neutral,4.5,high,3.4,low,6.3,very high,1.5,very low,0.4,low,2.5,low,7,very low,9.9,very low,1.2
Grenada,2014,124th,stable,89.3,neutral,5.3,neutral,5.6,high,3.9,high,6.1,neutral,5.6,very low,8.2,low,6.2,low,3.9,neutral,4,neutral,5.5,high,3.5,low,7.4,high,2.1,very high,9.7,low,2,low,6.9,very high,0,low,3.3
Bahrain,2014,125th,stable,89.1,high,6.2,low,7.1,low,7.6,low,3.5,neutral,5.4,high,3.3,low,7.9,low,2.5,high,7.8,neutral,4.9,high,2.9,neutral,5.6,high,2.1,very high,9.9,neutral,4.2,low,7.4,very high,0,very low,0.8
Romania,2014,126th,stable,88.8,low,3.8,neutral,5.2,low,6.6,neutral,5.7,neutral,5,neutral,4.4,low,6.1,neutral,4.6,neutral,4.2,neutral,4,high,3,neutral,4.3,very high,1.5,very high,9.4,very low,1.9,low,7.7,very low,10,very low,1.4
Montenegro,2014,127th,stable,88.6,neutral,4.3,low,6.3,low,7,neutral,4.9,high,3.2,high,3.3,neutral,4.3,low,3.9,neutral,4.5,high,3.6,neutral,4.8,neutral,5.6,very high,1.7,very high,9,low,3,low,7.8,very low,9.7,very low,1.7
Panama,2014,128th,stable,87.9,neutral,4.8,high,2.5,neutral,5.3,low,3.7,low,7.6,neutral,4.2,neutral,4.6,neutral,5.2,neutral,4.7,neutral,5.6,neutral,4,high,3.5,high,2.6,high,7.6,low,3.1,very low,8.3,very low,8.7,very low,1.9
Bulgaria,2014,129th,stable,87.3,neutral,4.4,neutral,5.3,neutral,4.9,neutral,5.2,neutral,4.8,neutral,4.9,neutral,4.9,neutral,4.1,low,3.7,neutral,4.1,high,3.4,neutral,4.7,very high,1.5,very high,8.6,low,3.4,low,7.5,very low,9.9,low,2
Mongolia,2014,130th,stable,86.9,neutral,4.3,neutral,5.5,neutral,4,neutral,4.6,low,6.5,high,2.8,neutral,4.8,high,6,neutral,5.1,neutral,5.8,high,2.5,low,6.2,high,2.8,very high,10,low,2.8,low,6.1,neutral,5.5,very low,1.5
Croatia,2014,131st,stable,86.5,neutral,4.5,neutral,4.4,neutral,5.6,neutral,5,neutral,4.1,neutral,4.6,high,3.7,low,3.2,neutral,4.4,high,3.5,neutral,5.2,neutral,4.7,very high,1.5,very high,9.5,low,2.1,very low,8.2,very low,10,low,2.4
Greece,2014,132nd,stable,86.2,neutral,4.2,high,3.5,neutral,5.1,high,6.5,neutral,4,neutral,4.1,low,6.4,low,3.6,low,3.7,high,3.5,very high,1.9,neutral,5.6,very high,1.3,very high,10,very low,1.5,very low,9.2,very low,10,low,2.1
Trinidad and Tobago,2014,133rd,stable,83.8,neutral,5.4,neutral,5.6,neutral,4.4,neutral,4.6,neutral,5.8,low,7.8,neutral,5.3,neutral,5.1,neutral,4.9,neutral,5.2,high,3.3,high,3.9,very high,1.8,very high,9.1,low,2.3,low,6.4,very high,0,low,2.9
Oman,2014,135th,stable,83.6,neutral,5,low,6.6,high,2.7,neutral,4.8,high,3.9,high,2.1,low,6.4,neutral,4.1,high,7.4,neutral,5.3,high,2.3,high,2.5,high,2.8,very high,10,low,2.2,low,7.8,low,7.6,very low,0.1
United Arab Emirates,2014,134th,stable,83.6,low,3.1,high,3.6,neutral,4,low,3.4,neutral,4.5,high,2.7,low,6.7,low,3.2,high,6.5,neutral,4.2,high,2.5,high,3.2,very high,1.8,very high,10,neutral,4.8,low,7.6,very low,10,very low,1.8
Hungary,2014,136th,stable,83,low,2.6,neutral,4.9,neutral,4.4,neutral,5.6,neutral,4.6,high,3.6,low,6,low,3.2,neutral,4.1,high,2.8,high,2.8,high,3.7,very high,1.4,very high,10,neutral,4.4,low,7.9,very low,10,very low,1
Malta,2014,137th,stable,82.9,low,3.7,high,2,neutral,4,low,3.9,high,3.2,neutral,4.3,high,3.8,low,2.6,low,3.6,high,3.1,neutral,4.9,high,3.9,very high,1.4,very high,10,high,7.8,very low,9.3,very low,10,very low,1.4
Antigua and Barbuda,2014,138th,stable,82.7,neutral,4.9,high,3.7,neutral,4.1,neutral,4.5,neutral,5.3,low,7.6,neutral,5.8,neutral,4.1,neutral,4.7,neutral,4.9,high,3.3,low,6.1,high,2.1,very high,10,low,2.9,low,7.6,very high,0,very low,1.1
Costa Rica,2014,139th,stable,82.6,low,2.8,high,3.8,neutral,4.4,neutral,4.6,neutral,5.8,high,3.2,high,3.2,neutral,4.8,low,2.3,neutral,4.6,neutral,4.4,neutral,4.6,very high,1.8,very high,9,very low,1.5,very low,8.6,very low,9.9,low,3.3
Latvia,2014,140th,stable,81.4,low,3.3,neutral,4.3,neutral,5.8,neutral,4.3,neutral,4.6,neutral,4.1,neutral,4.2,low,3.7,low,3.3,high,3.7,high,3.2,high,3.5,very high,1.6,very high,9.1,low,3.1,low,7.9,very low,9.8,very low,1.8
Slovak Republic,2014,141st,stable,81,low,2.6,high,3.7,neutral,5.6,neutral,5.4,neutral,4.3,neutral,4.5,neutral,4,low,3.2,low,3,high,3.1,high,2.3,high,3.6,very high,1.4,very high,9.7,neutral,4.8,very low,8.2,very low,9.7,very low,1.9
Argentina,2014,142nd,stable,80.9,low,3.3,high,2.8,neutral,5.3,neutral,4.3,neutral,5.7,high,2.7,neutral,4.3,neutral,4.1,neutral,4.4,neutral,4.2,high,2.3,high,3.9,high,2.3,very high,9.4,very low,0.2,very low,8.1,very low,10,low,3.7
Estonia,2014,143rd,stable,80.6,low,2.8,neutral,5.5,low,6.2,low,3.8,neutral,4,high,3.8,high,3.5,low,3.3,low,2.5,high,3.6,high,3.2,high,3,very high,1.5,very high,9.2,neutral,4.2,very low,8.6,very low,9.9,very low,1.9
Mauritius,2014,144th,stable,79.7,low,3.1,high,3.2,high,3.5,neutral,4.4,neutral,4.6,high,3.9,high,3.8,neutral,4.1,low,3.7,neutral,4.4,high,2.5,neutral,4.9,very high,1.4,very high,9.7,low,3.2,low,7.4,very low,10,very low,1.9
Spain,2014,145th,stable,79.2,low,3.6,low,6.1,low,6.1,neutral,5.3,high,3.8,high,2.7,high,3.4,low,3,low,2.2,high,3,high,2,very high,1.9,very high,1.3,very high,9.7,very low,1.2,very low,9.8,very low,10,neutral,4
Kuwait,2014,146th,stable,78.8,neutral,4.2,very low,8,neutral,4.9,low,3.3,neutral,5,high,3.4,low,7.3,low,2.8,high,6.9,neutral,5.4,high,3.7,neutral,4.1,high,2,very high,9.5,very low,1.3,low,6.8,very high,0,very low,0.2
Lithuania,2014,147th,stable,78.1,low,2.7,high,3,neutral,4,neutral,4.8,neutral,5.3,neutral,4,high,3.5,low,3.7,low,2.7,high,3.6,high,2.9,high,3,very high,1.6,very high,9.2,neutral,4.2,very low,8.1,very low,9.3,low,2.4
Italy,2014,148th,stable,78,neutral,4.7,neutral,4.9,neutral,4.6,neutral,5.1,high,3.3,high,2.3,neutral,4.2,low,2.6,low,2.8,high,3.6,high,3.4,very high,1.9,very high,1.4,very high,9.5,very low,0.9,very low,9.7,very low,10,low,3.1
Bahamas,2014,149th,stable,77.5,neutral,4.3,neutral,4.5,neutral,4.4,neutral,4.7,neutral,5.3,neutral,5.3,neutral,4.6,neutral,4.7,low,3.1,low,6.5,high,2.7,neutral,4,very high,1.8,very high,9.6,low,3.1,low,7.6,very high,0,very low,1.3
Poland,2014,150th,stable,76,low,2.6,high,3.8,neutral,4.1,neutral,4,high,3.8,neutral,4.7,high,3.5,low,3.1,low,2.8,high,3.6,high,3.1,high,3,very high,1.3,very high,9.9,low,2.2,very low,8.5,very low,9.6,low,2.4
Czech Republic,2014,151st,stable,75.3,low,2.3,neutral,4.3,high,3.8,neutral,4.8,high,3.5,high,3.1,neutral,4.2,low,3.4,low,2.4,high,2.4,high,2.3,high,2.9,very high,1.5,very high,9.7,neutral,4,very low,8.6,very low,10,low,2
Chile,2014,152nd,more stable,74.7,low,2.8,very high,1.7,high,3.8,low,3.9,neutral,5.4,high,2.9,high,3.3,neutral,4.2,low,3.7,neutral,4.6,high,2.6,high,3.1,very high,1.8,very high,9.5,very low,1.3,very low,8.5,very low,10,very low,1.6
Barbados,2014,153rd,more stable,74.1,neutral,4.2,neutral,4.2,neutral,4.4,neutral,5.8,neutral,5.4,neutral,5.9,high,3.3,low,3,low,2.8,neutral,4.1,high,3,neutral,5.3,very high,1.8,very high,9.4,low,2.3,low,7.5,very high,0,very low,1.7
Belgium,2014,154th,more stable,71.2,low,2.3,high,3.9,neutral,4.2,neutral,4,high,3.5,very high,1.9,high,2,low,2.4,very low,1.5,high,2.8,very high,1.6,very high,1.9,very high,1.7,very high,10,neutral,4.4,very low,9.2,very low,10,low,3.9
France,2014,155th,more stable,70.3,low,2.6,very high,1.9,low,6.4,neutral,4.5,neutral,4,high,2.2,high,2.1,very low,1.8,low,2.2,high,3,high,2.5,very high,1.6,high,2,very high,9.9,very low,1.2,very low,9.8,very low,10,low,2.6
Slovenia,2014,156th,more stable,70,low,2.4,very high,1.6,high,3.6,low,3.9,neutral,4.2,high,2.9,high,2.9,low,2.3,low,2.3,high,2.4,very high,1.6,high,2.5,very high,1.6,very high,9.5,low,3.6,very low,9.2,very low,9.9,low,3.6
Uruguay,2014,157th,more stable,69.3,low,3.4,high,2.7,high,2.7,low,3.5,neutral,4.5,neutral,4.4,very high,1.6,low,3.7,low,2.2,high,3.8,high,2.2,high,3.2,high,2,very high,9.5,very low,0.9,very low,8.2,very low,9.2,very low,1.6
Qatar,2014,158th,more stable,68.8,low,2.8,neutral,5,neutral,4.9,low,2.9,neutral,5.1,high,3.4,low,6.2,low,2.3,neutral,5.9,neutral,4.6,high,2.1,high,3.7,high,2,very high,8.7,very low,1.2,low,7.9,very high,0,very low,0
Singapore,2014,159th,more stable,68.5,low,2,neutral,4,high,2.8,low,2.8,neutral,4,high,3.6,high,3.5,low,2.1,neutral,4.9,high,2.8,very high,1.4,high,2,very high,1.3,very high,9.6,very high,9.8,very low,9.4,very high,0,low,2.5
Luxembourg,2014,160th,more stable,68.4,low,2.3,high,3.4,high,2.8,very low,1.8,very high,1.8,high,2.4,very high,1.6,very low,1.6,very low,1.3,high,2,very high,1.7,very high,1.9,very high,1.5,very high,10,very high,10,very low,9.5,very low,10,low,2.8
Portugal,2014,161st,more stable,68.4,very low,1.9,very high,1.8,high,2.3,neutral,5.2,high,3.2,high,2.5,high,2.3,low,3.3,low,2.6,high,3.1,very high,1.9,high,3,very high,1.2,very high,9.9,very low,1.8,very low,9.3,very low,10,low,3.1
United Kingdom,2014,162nd,more stable,68,low,2.8,high,3.5,neutral,5.3,neutral,4,high,3.4,high,2.1,very high,1.7,low,2.4,low,2.1,high,2.8,high,2.7,very high,1.5,very high,1.8,very high,9.5,very low,1.2,very low,9,very low,10,low,2.3
United States,2014,163rd,more stable,67.1,low,2.7,neutral,4,neutral,4.5,low,3.1,neutral,4.5,very high,1.2,high,2.4,low,2.5,low,3.5,high,3.3,high,2.4,very high,1.3,very high,1.9,very high,9.5,very low,0.3,very low,8.4,very low,9.7,very low,1.9
Netherlands,2014,164th,more stable,66.6,low,2.1,high,2.6,neutral,4.1,low,3.7,high,2.4,high,2.4,very high,1,very low,1.8,very low,1.2,high,3.3,high,2.4,very high,1.6,very high,1.7,very high,9.6,low,3.8,very low,9.1,very low,10,low,3.9
Germany,2014,165th,more stable,66.1,low,2.4,high,2,neutral,4.3,low,2.9,high,3.6,high,2.4,very high,1.5,very low,1.9,very low,1.8,high,2.9,high,3.3,very high,1.6,very high,1.5,very high,9.5,very low,1.7,very low,9.1,very low,10,low,3.7
Austria,2014,166th,more stable,64.6,very low,1.4,high,2.7,neutral,4.6,low,2.2,high,3.7,very high,1.8,very high,1.6,very low,1.8,low,2,high,2.7,high,2.3,very high,1.7,very high,1.5,very high,9.9,low,2.4,very low,9.2,very low,10,low,3.2
Ireland,2014,167th,more stable,63.5,low,2.1,very high,1.3,very high,1.6,neutral,4.2,high,2.7,high,3.1,very high,1.8,low,2.2,very low,1.2,high,2.5,very high,1.4,high,2,very high,1.9,very high,9.6,neutral,5.3,very low,9.1,very low,9.9,very low,1.6
Iceland,2014,168th,more stable,62.2,very low,1.3,very high,1.8,very high,1,low,3.9,very high,1.9,high,3.1,very high,1.2,very low,1.9,very low,1.4,very high,1.9,very high,1.6,neutral,4.9,very high,1.9,very high,8.9,low,2.2,very low,9.3,very low,10,neutral,4
Australia,2014,169th,very stable,59.8,low,2,very high,1.6,high,3.9,low,2.4,high,3,very high,0.9,very high,1,low,2.1,low,2.3,high,3.4,high,2.4,very high,1.3,very high,1.8,very high,9.1,very low,0.6,very low,9.3,very low,10,low,2.6
Switzerland,2014,170th,very stable,59.7,very low,1.7,very high,1,high,3.5,low,2.2,high,2.4,high,2.4,very high,0.9,very low,1.7,very low,1.7,high,2.4,very high,1.8,very high,1.6,very high,1.5,very high,9.6,low,2.6,very low,9.6,very low,10,low,3.1
South Korea,2014,171st,very stable,59.1,low,2.4,high,3.6,high,3.1,low,2.3,high,3.2,high,3.6,high,2.8,low,2.1,low,2.9,high,2.9,very high,1.8,neutral,5.7,high,2.6,neutral,5.7,very low,1.2,high,2.9,low,6,neutral,4.3
Denmark,2014,172nd,very stable,58.9,very low,1.8,very high,1.4,high,3.4,low,2.2,very high,1.8,high,2,very high,0.8,very low,1.7,very low,1.6,high,2.8,very high,1.4,very high,1.9,very high,1.7,very high,9.4,low,2.3,very low,8.9,very low,10,low,3.9
Japan,2014,174th,very stable,58.7,very low,1.9,high,2.6,neutral,4.1,low,3.6,high,2.1,high,2.3,high,2,low,2.4,low,3.3,neutral,4.7,high,3.4,high,3.9,very high,1.4,very high,9.6,very low,0.5,very low,10,very high,0,very low,0.8
Sweden,2014,173rd,very stable,58.7,low,2.4,very high,1.8,very high,1,low,2,very high,1.8,very high,1.8,very high,0.8,very low,1.8,very low,1.3,high,2.8,high,2.6,very high,1.3,very high,1.9,very high,9.9,very low,1.8,very low,9.3,very low,10,neutral,4.5
Norway,2014,175th,very stable,58.4,low,2.8,very high,1.1,high,3.7,low,2,very high,1.7,very high,1.9,very high,0.5,very low,1.7,very low,1.6,high,2.3,high,2.2,very high,1.5,very high,1.8,very high,9.2,very low,1.2,very low,9.3,very low,10,neutral,4
New Zealand,2014,176th,very stable,58.2,very low,1.4,very high,1.1,high,3.8,low,3.9,high,3.1,high,2.2,very high,0.5,low,2.1,very low,1.1,high,2.4,very high,1.2,very high,1.3,very high,1.9,very high,9.2,very low,1,very low,9,very low,10,low,3
Finland,2014,177th,very stable,55.5,very low,1.3,very high,1.1,very high,1.3,low,3.5,very high,1.3,high,2.2,very high,0.8,very low,1.4,very low,1.2,very high,1.8,very high,1.5,very high,1.3,very high,1.7,very high,9.9,very low,1.7,very low,9.2,very low,10,neutral,4.3
Canada,2014,178th,very stable,51,low,2.1,high,2.5,high,3.4,low,2.1,high,3.2,high,2.2,very high,1.2,low,2.3,low,2.1,high,2.7,high,2.3,very high,1.3,very high,1.6,very high,9,very low,1.3,very low,9.2,very high,0,low,2.5
