Country,Year,Rank,Total,Total Discretised,C1: Security Apparatus,C1: Security Apparatus Discretised,C2: Factionalized Elites,C2: Factionalized Elites Discretised,C3: Group Grievance,C3: Group Grievance Discretised,E1: Economy,E1: Economy Discretised,E2: Economic Inequality,E2: Economic Inequality Discretised,E3: Human Flight and Brain Drain,E3: Human Flight and Brain Drain Discretised,P1: State Legitimacy,P1: State Legitimacy Discretised,P2: Public Services,P2: Public Services Discretised,P3: Human Rights,P3: Human Rights Discretised ,S1: Demographic Pressures,S1: Demographic Pressures Discretised,S2: Refugees and IDPs,S2: Refugees and IDPs Discretised,X1: External Intervention,X1: External Intervention Discretised,"Fertility rate, total (births per woman)","Fertility rate, total (births per woman) Discretised","Immunization, DPT (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months) Discretised",Imports of goods and services (% of GDP),Imports of goods and services (% of GDP) Discretised,"Life expectancy at birth, female (years)","Life expectancy at birth, female (years) Discretised","People using basic drinking water services, rural (% of rural population)","People using basic drinking water services, rural (% of rural population) Discretised",Proportion of seats held by women in national parliaments (%),Proportion of seats held by women in national parliaments (%) Discretised
Uzbekistan,2013,76th,111.9,Elevated Warning,7.9,High,8.7,Very Low,7.5,Low,7.2,High,7.6,Low,6.3,Low,9,Very Low,5.4,Neutral,9.2,Very High,6.7,Low,6,Low,5.4,Neutral,2.4,Low,9.9,Very High,3.1,Low,7.4,High,0,Very High,2.2,Low
Lebanon,2013,77th,111.6,Elevated Warning,8.5,Very High,9.2,Very Low,8.5,Very Low,5.3,Neutral,6.2,Low,6,Low,7.2,Low,5.6,Neutral,6.8,High,6.3,Low,8.5,Very Low,8.2,Very Low,1.7,Very Low,8.1,Very High,7.1,High,8.1,Very High,0,Very High,0.3,Very Low
Serbia,2013,78th,110.8,Elevated Warning,6.5,High,8,Very Low,8,Very Low,6.5,High,5.9,Neutral,4.7,Neutral,6.3,Low,4.7,Neutral,5.5,Neutral,4.7,Neutral,6.6,Low,7,Low,1.4,Very Low,9.5,Very High,5.2,Neutral,7.8,High,9.2,Very Low,3.3,Low
Madagascar,2013,79th,110.5,Elevated Warning,7,High,7.5,Low,4.9,Neutral,8.2,Very High,7.9,Low,5.5,Neutral,7.2,Low,8.6,Very High,5.9,Neutral,8.1,Very Low,4.3,Neutral,7.7,Low,4.4,Neutral,7.4,High,4.3,Neutral,6.6,High,3.2,High,1.8,Very Low
Guyana,2013,80th,110.3,Elevated Warning,5.8,Neutral,5.1,Neutral,5.9,Neutral,6.6,High,6.8,Low,8.5,Very Low,6.2,Low,6,High,4.4,Neutral,5.8,Neutral,3.8,High,5.9,Neutral,2.6,Low,9.8,Very High,7.9,High,6.9,High,9.2,Very Low,3.1,Low
Djibouti,2013,81st,109.9,Elevated Warning,6.6,High,7.5,Low,6.2,Low,6.9,High,7.3,Low,5.2,Neutral,7.8,Low,7.4,High,7,High,8.3,Very Low,7.2,Low,8.1,Very Low,3.1,Low,8.2,Very High,0,Very Low,6.3,High,5.5,Neutral,1.3,Very Low
Turkey,2013,82nd,109.5,Elevated Warning,7.9,High,7.3,Low,9,Very Low,5.3,Neutral,6.8,Low,3.9,High,5.9,Neutral,5.5,Neutral,5.5,Neutral,5.7,Neutral,7.4,Low,5.6,Neutral,2.1,Low,9.8,Very High,2.8,Low,7.8,High,9.8,Very Low,1.4,Very Low
Russia,2013,83rd,108.6,Elevated Warning,8.5,Very High,8,Very Low,8.2,Very Low,3.5,Low,7,Low,5.1,Neutral,8.1,Very Low,5.1,Neutral,8.6,Very High,5.7,Neutral,5.3,Neutral,4,Neutral,1.7,Very Low,9.7,Very High,2.1,Low,7.6,High,9,Very Low,1.4,Very Low
Indonesia,2013,84th,108.5,Elevated Warning,6.8,High,7,Low,7.3,Low,5.5,Neutral,6.9,Low,6.3,Low,6.4,Low,6.1,High,6.5,High,7.5,Low,6,Low,5.9,Neutral,2.4,Low,8.5,Very High,2.5,Low,7.1,High,7.9,Low,1.9,Very Low
Azerbaijan,2013,85th,108.2,Elevated Warning,6.9,High,7.8,Low,6.9,Low,4.7,Neutral,6.1,Low,4.7,Neutral,8.2,Very Low,5.1,Neutral,7.6,High,5.3,Neutral,7.9,Low,6.9,Low,2,Low,9.3,Very High,2.7,Low,7.5,High,7,Low,1.6,Very Low
Vietnam,2013,86th,108.2,Elevated Warning,5.4,Neutral,6.9,Low,5.7,Neutral,6.2,High,5.8,Neutral,5.7,Neutral,7.8,Low,5.8,Neutral,7.5,High,5.9,Neutral,4.7,Neutral,5.6,Neutral,2,Low,5.9,Neutral,8.1,Very High,8,Very High,8.8,Very Low,2.4,Low
Cuba,2013,87th,108.1,Elevated Warning,6.3,High,6.9,Low,4.8,Neutral,5.2,Neutral,5.9,Neutral,6.3,Low,6.5,Low,4.7,Neutral,7.5,High,6.6,Low,5.3,Neutral,6.7,Low,1.7,Very Low,9.9,Very High,2,Low,8.1,Very High,8.8,Very Low,4.9,Neutral
Turkmenistan,2013,88th,107.9,Elevated Warning,7.1,High,7.7,Low,6.7,Low,5.4,Neutral,6.5,Low,4.9,Neutral,9.3,Very Low,6.1,High,8.7,Very High,5.9,Neutral,3.9,High,4.6,Neutral,3,Low,9.8,Very High,0,Very Low,7.1,High,9.5,Very Low,1.7,Very Low
El Salvador,2013,90th,107.7,Elevated Warning,6.4,High,4.3,Neutral,5.7,Neutral,6.5,High,7,Low,6.9,Low,5.9,Neutral,6.5,High,6.1,High,7.4,Low,5.5,Neutral,5.1,Neutral,2.2,Low,9.2,Very High,4.6,Neutral,7.7,High,8.1,Very Low,2.6,Low
Mexico,2013,89th,107.7,Elevated Warning,7.9,High,5.2,Neutral,6.1,Low,5.2,Neutral,7.2,Low,5.9,Neutral,6.1,Low,6.6,High,6.3,High,6.5,Low,4,Neutral,6.1,Low,2.3,Low,8.3,Very High,3.3,Low,7.9,High,9.1,Very Low,3.7,Low
Benin,2013,91st,107.6,Elevated Warning,5.8,Neutral,6.1,Low,3.6,High,7.1,High,7.2,Low,6.2,Low,6,Low,8.6,Very High,5.1,Neutral,8.3,Very Low,6.5,Low,7.3,Low,5.2,Neutral,7.7,High,4.1,Neutral,6.2,High,5.8,Neutral,0.8,Very Low
Cape Verde,2013,92nd,107.6,Elevated Warning,5.7,Neutral,5.5,Neutral,4.2,Neutral,6.1,High,6.9,Low,8.3,Very Low,6.3,Low,6.5,High,5.1,Neutral,6.7,Low,4.1,Neutral,8.2,Very Low,2.5,Low,9.3,Very High,5.5,Neutral,7.4,High,7.2,Low,2.1,Low
India,2013,93rd,107.3,Elevated Warning,7.8,High,6.8,Low,8.2,Very Low,5.4,Neutral,8.1,Very Low,5.4,Neutral,5.2,Neutral,6.7,High,5.9,Neutral,7.5,Low,5.2,Neutral,5.2,Neutral,2.4,Low,8.3,Very High,2.8,Low,6.9,High,8.4,Very Low,1.1,Very Low
Venezuela,2013,94th,106.9,Elevated Warning,6.5,High,7.3,Low,6.4,Low,5.4,Neutral,6.9,Low,5.8,Neutral,7.6,Low,6.5,High,7.7,High,5.4,Neutral,4.8,Neutral,4.9,Neutral,2.4,Low,8.2,Very High,3,Low,7.8,High,8.6,Very Low,1.7,Very Low
Morocco,2013,95th,106.8,Elevated Warning,6.3,High,6.6,Low,6.5,Low,5.3,Neutral,6.9,Low,7,Low,6.7,Low,5.9,Neutral,6.6,High,5.8,Neutral,5.9,Neutral,4.9,Neutral,2.6,Low,9.9,Very High,4.7,Neutral,7.6,High,5.9,Neutral,1.7,Very Low
Papua New Guinea,2013,96th,106.6,Elevated Warning,6.6,High,7.1,Low,6.6,Low,6.9,High,9.1,Very Low,7.5,Low,7.1,Low,8.9,Very High,6.2,High,7.6,Low,5,Neutral,6.3,Low,3.8,Low,7.9,High,0,Very Low,6.8,High,2.9,High,0.3,Very Low
Macedonia,2013,97th,106.3,Elevated Warning,6,High,7,Low,7.8,Low,5.9,Neutral,6.2,Low,6.1,Low,6.1,Low,3.9,Low,4.3,Neutral,3.9,High,5.2,Neutral,5.6,Neutral,1.5,Very Low,9.8,Very High,6.1,High,7.7,High,9.8,Very Low,3.4,Low
Paraguay,2013,98th,106.1,Elevated Warning,6.1,High,7.9,Low,6.5,Low,5.1,Neutral,8.6,Very Low,4.9,Neutral,7.9,Low,6.1,High,6.1,High,6.1,Low,2.4,High,4.2,Neutral,2.6,Low,8.6,Very High,4.5,Neutral,7.5,High,9.2,Very Low,1.8,Very Low
Libya,2013,99th,105.8,Elevated Warning,8.9,Very High,8,Very Low,7.4,Low,5,Neutral,6.7,Low,4.2,Neutral,8.4,Very Low,7.3,High,9,Very High,5.5,Neutral,5.4,Neutral,8.8,Very Low,2.4,Low,9.6,Very High,0,Very Low,7.5,High,0,Very High,1.7,Very Low
Armenia,2013,100th,105.6,Elevated Warning,5.3,Neutral,7,Low,5.7,Neutral,5.9,Neutral,5.6,Neutral,6,Low,6.6,Low,4.4,Neutral,6.8,High,4.9,Neutral,7,Low,6.2,Low,1.6,Very Low,9.5,Very High,4.8,Neutral,7.7,High,9.5,Very Low,1.1,Very Low
Equatorial Guinea,2013,101st,105.5,Elevated Warning,7.5,High,8.2,Very Low,6.6,Low,4.5,Neutral,9.1,Very Low,6.6,Low,9.6,Very Low,7.6,High,9.4,Very High,8.3,Very Low,3.3,High,5.5,Neutral,5,Neutral,0.3,Very Low,3.9,Low,5.8,Neutral,3.1,High,1.2,Very Low
Dominican Republic,2013,102nd,105.4,Elevated Warning,5.2,Neutral,6.5,Low,6.1,Low,5.5,Neutral,6.9,Low,7.9,Low,5.4,Neutral,6.2,High,5.7,Neutral,6.4,Low,5.5,Neutral,5.9,Neutral,2.5,Low,8.3,Very High,3.1,Low,7.7,High,8.5,Very Low,2.1,Low
Suriname,2013,103rd,104.9,Warning,5.8,Neutral,5.8,Neutral,6.1,Low,7.1,High,7,Low,7.6,Low,6.1,Low,5.3,Neutral,5.4,Neutral,5.7,Neutral,3,High,6.3,Low,2.4,Low,8.6,Very High,5.3,Neutral,7.4,High,8.8,Very Low,1.2,Very Low
Sao Tome and Principe,2013,104th,104.6,Warning,5.8,Neutral,6.3,Low,4.8,Neutral,7.9,High,6.3,Low,7.9,Low,6.6,Low,6.4,High,4.3,Neutral,6.6,Low,4.3,Neutral,7.3,Low,4.6,Neutral,9.7,Very High,0,Very Low,6.8,High,7.2,Low,1.8,Very Low
Namibia,2013,105th,103.9,Warning,4.9,Neutral,3.5,High,5.3,Neutral,6.7,High,8.7,Very Low,6.5,Low,4.1,Neutral,6.7,High,4.9,Neutral,6.9,Low,5.6,Neutral,6.5,Low,3.6,Low,8.9,Very High,5.8,Neutral,6.5,High,6.4,Low,2.4,Low
Cyprus,2013,106th,103.3,Warning,5,Neutral,7.9,Low,7.3,Low,5.8,Neutral,7,Low,4.8,Neutral,5.5,Neutral,3,Low,3.3,Low,4,Neutral,4.4,Neutral,9,Very Low,1.4,Very Low,9.9,Very High,5.7,Neutral,8.2,Very High,10,Very Low,1.1,Very Low
Kazakhstan,2013,107th,103.1,Warning,6.4,High,7.7,Low,6.2,Low,6.2,High,5.3,Neutral,3.6,High,7.8,Low,5.1,Neutral,7.1,High,5.3,Neutral,3.8,High,5.3,Neutral,2.6,Low,9.8,Very High,2.7,Low,7.5,High,8.3,Very Low,2.4,Low
Belize,2013,108th,103,Warning,5.5,Neutral,4.3,Neutral,4.4,Neutral,5.5,Neutral,6.6,Low,7.1,Low,6,Low,6,High,4.1,Neutral,6.5,Low,4.9,Neutral,6.3,Low,2.6,Low,9.5,Very High,6.7,High,7.3,High,9.4,Very Low,0.3,Very Low
Peru,2013,109th,103,Warning,7,High,6.7,Low,7,Low,4.1,Neutral,7.8,Low,6.1,Low,7.1,Low,6.4,High,5,Neutral,5.9,Neutral,4.7,Neutral,4.5,Neutral,2.5,Low,8.8,Very High,2.5,Low,7.7,High,7,Low,2.2,Low
Malaysia,2013,110th,102.3,Warning,6,High,6.8,Low,6.1,Low,4.1,Neutral,5.9,Neutral,4.8,Neutral,6.2,Low,4.5,Neutral,7.1,High,5.6,Neutral,4.6,Neutral,4.4,Neutral,2.1,Low,9.7,Very High,6.7,High,7.7,High,9,Very Low,1,Very Low
Samoa,2013,111th,102,Warning,5.5,Neutral,5.1,Neutral,4.8,Neutral,5.9,Neutral,6,Low,8.8,Very Low,6,Low,4.8,Neutral,4.5,Neutral,6.8,Low,2.5,High,8,Very Low,4.1,Neutral,6.7,High,4.9,Neutral,7.8,High,9.4,Very Low,0.4,Very Low
Gabon,2013,112th,102,Warning,5.4,Neutral,7.1,Low,3.3,High,5.2,Neutral,7.3,Low,5.5,Neutral,7.6,Low,7,High,6.8,High,6.8,Low,5.6,Neutral,5.4,Neutral,4,Neutral,7.9,High,3.3,Low,6.6,High,5.6,Neutral,1.6,Very Low
Ghana,2013,113th,100.8,Warning,3.8,Low,5,Neutral,4.9,Neutral,6.1,High,6.5,Low,7.3,Low,5.1,Neutral,7.6,High,4.7,Neutral,6.7,Low,5.5,Neutral,6,Low,4.1,Neutral,9,Very High,4.7,Neutral,6.3,High,6.4,Low,1.1,Very Low
Albania,2013,114th,100.5,Warning,5.5,Neutral,6.3,Low,4.8,Neutral,5.3,Neutral,4.8,Neutral,6.6,Low,7,Low,4.8,Neutral,6,High,4.7,Neutral,3.1,High,6.3,Low,1.7,Very Low,9.9,Very High,5.3,Neutral,8,Very High,8.6,Very Low,1.8,Very Low
Jamaica,2013,115th,100.4,Warning,6.3,High,3.7,High,4,Neutral,6.6,High,5.9,Neutral,7.2,Low,6.1,Low,5.7,Neutral,5,Neutral,5.6,Neutral,3.4,High,6.3,Low,2.1,Low,9.3,Very High,5.3,Neutral,7.8,High,8.8,Very Low,1.3,Very Low
Micronesia,2013,116th,99.9,Warning,5.4,Neutral,5.6,Neutral,4.2,Neutral,7.5,High,8,Very Low,8.4,Very Low,6.3,Low,6.3,High,3.1,Low,7.1,Low,3.1,High,7.9,Low,3.3,Low,8.1,Very High,0,Very Low,7,High,8.6,Very Low,0,Very Low
Ukraine,2013,117th,98.6,Warning,4.4,Neutral,8,Very Low,5.9,Neutral,5.4,Neutral,5.3,Neutral,5.7,Neutral,7.8,Low,3.6,Low,5.7,Neutral,4.7,Neutral,3.2,High,6.2,Low,1.5,Very Low,7.6,High,5.2,Neutral,7.6,High,9.9,Very Low,0.9,Very Low
Saudi Arabia,2013,118th,97.9,Warning,7.2,High,8,Very Low,7.4,Low,3.6,Low,6.4,Low,3.1,High,7.8,Low,4,Neutral,8.9,Very High,5.5,Neutral,5.2,Neutral,5.6,Neutral,2.7,Low,9.8,Very High,3.1,Low,7.6,High,0,Very High,2,Low
Seychelles,2013,119th,97.6,Warning,6.4,High,5.7,Neutral,4.8,Neutral,5.2,Neutral,6.6,Low,4.9,Neutral,6.3,Low,3.5,Low,5.2,Neutral,5.2,Neutral,3.3,High,6.9,Low,2.4,Low,9.8,Very High,9.3,Very High,7.7,High,0,Very High,4.4,Neutral
South Africa,2013,120th,97.3,Warning,5.1,Neutral,5.6,Neutral,5.7,Neutral,5.9,Neutral,8,Very Low,4.3,Neutral,5.3,Neutral,6.3,High,4.2,Neutral,7.8,Low,6.5,Low,2.9,High,2.5,Low,7.3,High,3.3,Low,6.3,High,6.1,Low,4.2,Neutral
Brunei Darussalam,2013,121st,97.1,Warning,5.6,Neutral,7.4,Low,6.2,Low,2.8,Low,7.8,Low,4.6,Neutral,7.4,Low,2.6,Low,6.9,High,4.5,Neutral,3.3,High,4.1,Neutral,1.9,Very Low,9.9,Very High,4.3,Neutral,7.9,High,9.9,Very Low,0,Very Low
Botswana,2013,122nd,95.6,Warning,3.5,Low,3.3,High,4.8,Neutral,6.1,High,7.5,Low,5,Neutral,4.4,Neutral,6,High,4.4,Neutral,8.3,Very Low,5.8,Neutral,4.8,Neutral,2.8,Low,9.5,Very High,6.1,High,6.7,High,5.8,Neutral,0.8,Very Low
Bulgaria,2013,123rd,92.8,Warning,4.7,Neutral,5.3,Neutral,4.6,Neutral,5,Neutral,5.1,Neutral,4.9,Neutral,4.8,Neutral,4.4,Neutral,3.7,Low,4.4,Neutral,3.1,High,5,Neutral,1.5,Very Low,9.5,Very High,6.5,High,7.9,High,9.9,Very Low,2.5,Low
Grenada,2013,124th,92.4,Warning,5.3,Neutral,5.6,Neutral,3.9,High,5.8,Neutral,5.9,Neutral,8.5,Very Low,6.2,Low,3.6,Low,3.7,Low,5.2,Neutral,3.2,High,7.7,Low,2.2,Low,9.7,Very High,5,Neutral,7.6,High,0,Very High,3.3,Low
Bahrain,2013,125th,92.3,Warning,6.1,High,7.1,Low,7.3,Low,3.2,Low,5.7,Neutral,3.3,High,7.6,Low,2.4,Low,7.5,High,4.6,Neutral,2.5,High,5.6,Neutral,2.1,Low,9.9,Very High,8.6,Very High,7.8,High,0,Very High,1,Very Low
Brazil,2013,126th,92.2,Warning,5.9,Neutral,4.9,Neutral,5.9,Neutral,3.3,Low,8.3,Very Low,3.9,High,5.3,Neutral,5.4,Neutral,5.3,Neutral,7,Low,3.6,High,3.3,High,1.8,Very Low,9.7,Very High,1.4,Very Low,7.8,High,8.5,Very Low,0.9,Very Low
Romania,2013,127th,91.4,Warning,4.1,Neutral,5.2,Neutral,6.3,Low,5.7,Neutral,5.3,Neutral,4.7,Neutral,6.4,Low,4.3,Neutral,3.9,Low,4.3,Neutral,2.7,High,4.6,Neutral,1.4,Very Low,9.2,Very High,4.1,Neutral,7.9,High,10,Very Low,1.3,Very Low
Panama,2013,128th,90.9,Warning,5.1,Neutral,2.5,High,5,Neutral,3.8,Low,7.9,Low,4.5,Neutral,4.7,Neutral,5,Neutral,4.4,Neutral,5.9,Neutral,3.7,High,3.3,High,2.6,Low,8,Very High,6.9,High,8.1,Very High,8.6,Very Low,0.9,Very Low
Montenegro,2013,129th,90.6,Warning,4.6,Neutral,6.2,Low,6.5,Low,4.6,Neutral,3.5,High,3,High,4.2,Neutral,3.6,Low,4.4,Neutral,3.9,High,4.5,Neutral,5.3,Neutral,1.7,Very Low,9.4,Very High,6.1,High,7.9,High,9.6,Very Low,1.6,Very Low
Mongolia,2013,130th,90.5,Warning,4.4,Neutral,5.5,Neutral,3.7,High,4.7,Neutral,6.3,Low,2.5,High,5.3,Neutral,5.7,Neutral,5.4,Neutral,5.5,Neutral,2.2,High,6.5,Low,2.8,Low,9.8,Very High,6.1,High,7.3,High,5.3,Neutral,1.5,Very Low
Croatia,2013,131st,89.8,Stable,4.8,Neutral,4.4,Neutral,5.3,Neutral,5.1,Neutral,4.4,Neutral,4.4,Neutral,3.9,High,2.9,Low,4.7,Neutral,3.7,High,5.5,Neutral,5,Neutral,1.5,Very Low,9.6,Very High,4.3,Neutral,8,Very High,9.9,Very Low,2.4,Low
Trinidad and Tobago,2013,132nd,89.3,Stable,5.7,Neutral,5.6,Neutral,4.4,Neutral,4.6,Neutral,6.1,Low,7.8,Low,5.6,Neutral,5.2,Neutral,5.2,Neutral,5.3,Neutral,3,High,4.2,Neutral,1.8,Very Low,9.2,Very High,5.3,Neutral,7.4,High,0,Very High,2.9,Low
Malta,2013,133rd,88.6,Stable,3.7,Low,2,High,4,Neutral,3.6,Low,3.5,High,4.1,Neutral,4.1,Neutral,2.3,Low,3.3,Low,2.8,High,5.2,Neutral,3.8,High,1.4,Very Low,9.9,Very High,15.1,Very High,8.4,Very High,10,Very Low,1.4,Very Low
United Arab Emirates,2013,134th,86.9,Stable,2.9,Low,3.6,High,4.3,Neutral,3.5,Low,4.8,Neutral,2.4,High,6.5,Low,2.9,Low,6.4,High,3.9,High,2.5,High,3.5,High,1.8,Very Low,9.8,Very High,8.5,Very High,7.8,High,10,Very Low,1.8,Very Low
Hungary,2013,135th,85.6,Stable,2.3,Low,4.8,Neutral,4.1,Neutral,6,High,4.9,Neutral,3.9,High,5.9,Neutral,3.1,Low,3.4,Low,2.5,High,2.9,High,3.8,High,1.4,Very Low,9.9,Very High,7.9,High,7.9,High,10,Very Low,0.9,Very Low
Greece,2013,136th,85.5,Stable,3.9,Low,3,High,4.8,Neutral,6.4,High,4.3,Neutral,4.4,Neutral,5.4,Neutral,3.9,Low,3,Low,4.3,Neutral,2,High,5.1,Neutral,1.3,Very Low,9.9,Very High,3.3,Low,8.4,Very High,10,Very Low,2.1,Low
Costa Rica,2013,137th,85.3,Stable,2.5,Low,3.8,High,4.1,Neutral,4.3,Neutral,6.1,Low,3.5,High,3.5,High,4.6,Neutral,2.4,Low,4.9,Neutral,4.1,Neutral,4.9,Neutral,1.8,Very Low,9.5,Very High,3.4,Low,8.2,Very High,9.8,Very Low,3.9,Low
Oman,2013,138th,85.2,Stable,5.3,Neutral,6.6,Low,2.7,High,4.5,Neutral,3.6,High,1.8,Very High,6.1,Low,4.4,Neutral,7.5,High,5,Neutral,2,High,2.4,High,2.8,Low,9.8,Very High,5.3,Neutral,7.9,High,7.4,Low,0.1,Very Low
Latvia,2013,139th,85.2,Stable,3.3,Low,4.3,Neutral,5.4,Neutral,4,Neutral,4.9,Neutral,4.2,Neutral,4.5,Neutral,3.4,Low,3.2,Low,3.6,High,3.3,High,3.8,High,1.5,Very Low,9.4,Very High,6.4,High,7.9,High,9.8,Very Low,2.3,Low
Antigua and Barbuda,2013,141st,84.9,Stable,4.9,Neutral,3.7,High,4.1,Neutral,4.5,Neutral,5.6,Neutral,7.6,Low,5.8,Neutral,4,Neutral,4.4,Neutral,4.6,Neutral,3,High,5.8,Neutral,2.1,Low,9.9,Very High,6,High,7.8,High,0,Very High,1.1,Very Low
Slovak Republic,2013,140th,84.9,Stable,2.3,Low,3.7,High,5,Neutral,5.2,Neutral,4.6,Neutral,4.5,Neutral,4.3,Neutral,3.5,Low,3,Low,3.2,High,2,High,3.9,High,1.3,Very Low,9.8,Very High,9,Very High,8,Very High,9.7,Very Low,1.9,Very Low
Estonia,2013,142nd,84.7,Stable,2.9,Low,5.5,Neutral,5.9,Neutral,3.5,Low,4.3,Neutral,3.9,High,3.8,High,3,Low,2.4,Low,3.5,High,3.3,High,3.3,High,1.5,Very Low,9.4,Very High,8.3,Very High,8.2,Very High,9.9,Very Low,2.1,Low
Kuwait,2013,143rd,82.4,Stable,4.4,Neutral,7.9,Low,4.6,Neutral,3.4,Low,5.3,Neutral,3.7,High,7.6,Low,2.6,Low,6.8,High,5.1,Neutral,3.8,High,4.4,Neutral,2,Low,9.9,Very High,2.7,Low,7.6,High,0,Very High,0.6,Very Low
Lithuania,2013,144th,81.8,Stable,2.5,Low,3,High,3.7,High,4.5,Neutral,5.2,Neutral,4.1,Neutral,3.8,High,3.4,Low,2.9,Low,3.8,High,2.9,High,3.2,High,1.6,Very Low,9.3,Very High,8.3,Very High,8,Very High,9.2,Very Low,2.4,Low
Mauritius,2013,145th,81.6,Stable,3.3,Low,3.2,High,3.5,High,4.1,Neutral,4.8,Neutral,3.6,High,4.1,Neutral,3.8,Low,3.5,Low,3.8,High,2.2,High,4.6,Neutral,1.4,Very Low,9.8,Very High,6.2,High,7.8,High,10,Very Low,1.9,Very Low
Bahamas,2013,146th,80.9,Stable,4.3,Neutral,4.5,Neutral,4.4,Neutral,4.5,Neutral,5.6,Neutral,5.6,Neutral,4.9,Neutral,4.4,Neutral,2.8,Low,6.6,Low,2.8,High,4.3,Neutral,1.8,Very Low,9.7,Very High,5.6,Neutral,7.8,High,0,Very High,1.3,Very Low
Spain,2013,147th,80.4,Stable,4.1,Neutral,6,Low,5.8,Neutral,5.5,Neutral,4.1,Neutral,3,High,3.3,High,3.3,Low,2.2,Low,2.8,High,2.3,High,2,High,1.3,Very Low,9.6,Very High,2.9,Low,8.6,Very High,10,Very Low,3.6,Low
Italy,2013,148th,79.9,Stable,5,Neutral,4.8,Neutral,4.7,Neutral,4.8,Neutral,3.6,High,2.6,High,4.7,Neutral,2.4,Low,2.9,Low,3.8,High,3.3,High,2,High,1.4,Very Low,9.6,Very High,2.7,Low,8.5,Very High,10,Very Low,3.1,Low
Czech Republic,2013,149th,78.4,Stable,2.1,Low,4.2,Neutral,3.8,High,4.5,Neutral,3.8,High,3.4,High,4.1,Neutral,3.7,Low,2.4,Low,2.5,High,2.2,High,3.2,High,1.5,Very Low,9.8,Very High,7.1,High,8.1,Very High,10,Very Low,2,Low
Argentina,2013,150th,77,Stable,3,Low,2.7,High,5,Neutral,4,Neutral,6,Low,3,High,4.4,Neutral,3.9,Low,4.1,Neutral,4.1,Neutral,2,High,3.8,High,2.3,Low,9.4,Very High,1.5,Very Low,8,Very High,9.8,Very Low,0,Very Low
Poland,2013,151st,76.7,Stable,2.5,Low,3.6,High,3.8,High,3.5,Low,3.9,High,5,Neutral,3.4,High,2.8,Low,2.9,Low,3.5,High,2.8,High,3.3,High,1.3,Very Low,9.9,Very High,4.4,Neutral,8.1,Very High,9.6,Very Low,2.4,Low
Barbados,2013,152nd,76.1,Stable,4.2,Neutral,4.2,Neutral,4.4,Neutral,5.8,Neutral,5.7,Neutral,6.2,Low,3.6,High,2.7,Low,2.5,Low,3.8,High,2.7,High,5,Neutral,1.8,Very Low,9.1,Very High,4.9,Neutral,7.8,High,0,Very High,1.7,Very Low
Chile,2013,153rd,75.9,Stable,2.9,Low,1.4,Very High,3.5,High,4.1,Neutral,5.5,Neutral,2.8,High,3.8,High,4.3,Neutral,3.5,Low,4.9,Neutral,2.4,High,3.2,High,1.8,Very Low,9.1,Very High,3.3,Low,8.1,Very High,9.9,Very Low,1.4,Very Low
Singapore,2013,154th,73,More Stable,1.5,Very low,4,Neutral,2.7,High,3,Low,3.7,High,3.3,High,3.2,High,1.9,Very Low,4.9,Neutral,2.5,High,1.1,Very High,2.2,High,1.2,Very Low,9.7,Very High,17.2,Very High,8.5,Very High,0,Very High,2.4,Low
Belgium,2013,155th,72.9,More Stable,2,Low,3.9,High,4.1,Neutral,3.5,Low,3.8,High,1.8,Very High,2.1,High,2.2,Low,1.5,Very Low,2.5,High,1.6,Very High,2,High,1.8,Very Low,9.9,Very High,8.1,Very High,8.3,Very High,10,Very Low,3.8,Low
Slovenia,2013,156th,71.9,More Stable,2.5,Low,1.6,Very High,3.3,High,3.6,Low,4.5,Neutral,3.2,High,2.8,High,2.1,Low,2.5,Low,2.5,High,1.4,Very High,2.3,High,1.6,Very Low,9.5,Very High,7,High,8.4,Very High,9.9,Very Low,3.2,Low
Luxembourg,2013,157th,71.5,More Stable,2.3,Low,3.4,High,2.8,High,1.5,Very low,1.5,Very High,2.1,High,1.9,Very High,1.3,Very Low,1,Very Low,1.7,Very High,1.8,Very High,2,High,1.6,Very Low,9.9,Very High,16,Very High,8.4,Very High,10,Very Low,2.3,Low
Uruguay,2013,158th,70.8,More Stable,3.7,Low,2.7,High,2.8,High,3.6,Low,4.4,Neutral,4.7,Neutral,1.7,Very High,3.4,Low,2.3,Low,3.8,High,1.9,Very High,3.5,High,2,Low,9.4,Very High,2.6,Low,8.1,Very High,9,Very Low,1.2,Very Low
Qatar,2013,159th,69.7,More Stable,2.5,Low,5,Neutral,4.9,Neutral,2.9,Low,4.8,Neutral,3.1,High,5.9,Neutral,2,Low,5.6,Neutral,4.3,Neutral,2.1,High,4,Neutral,2,Low,9.7,Very High,3,Low,7.9,High,0,Very High,0,Very Low
France,2013,160th,68.9,More Stable,2.3,Low,1.9,Very High,5.9,Neutral,4,Neutral,4.3,Neutral,1.9,Very High,2.2,High,1.5,Very Low,2.4,Low,2.7,High,2.2,High,1.4,Very High,2,Low,9.9,Very High,3,Low,8.6,Very High,10,Very Low,2.7,Low
Portugal,2013,161st,68.8,More Stable,1.6,Very low,1.3,Very High,2.3,High,5.4,Neutral,3.4,High,2.6,High,2.1,High,3.5,Low,2.7,Low,2.8,High,1.6,Very High,3.3,High,1.2,Very Low,9.8,Very High,3.9,Low,8.4,Very High,10,Very Low,2.9,Low
